station_id,stationname,date,daytype,rides
40430,Clinton-Forest Park,12/27/2017,W,2495
40430,Clinton-Forest Park,12/07/2017,W,3748
40430,Clinton-Forest Park,12/03/2017,U,1142
40430,Clinton-Forest Park,12/10/2017,U,1048
40430,Clinton-Forest Park,12/04/2017,W,3896
40430,Clinton-Forest Park,12/05/2017,W,3779
40430,Clinton-Forest Park,12/26/2017,W,2033
40430,Clinton-Forest Park,12/24/2017,U,866
40430,Clinton-Forest Park,12/08/2017,W,3698
40430,Clinton-Forest Park,12/31/2017,U,1023
40430,Clinton-Forest Park,12/06/2017,W,3767
40430,Clinton-Forest Park,12/19/2017,W,3740
40430,Clinton-Forest Park,12/11/2017,W,3900
40430,Clinton-Forest Park,12/20/2017,W,3635
40430,Clinton-Forest Park,12/28/2017,W,2641
40430,Clinton-Forest Park,12/14/2017,W,3583
40430,Clinton-Forest Park,12/15/2017,W,3548
40430,Clinton-Forest Park,12/16/2017,A,1357
40430,Clinton-Forest Park,12/17/2017,U,1193
40430,Clinton-Forest Park,12/23/2017,A,1196
40430,Clinton-Forest Park,12/13/2017,W,3702
40430,Clinton-Forest Park,12/12/2017,W,3810
40430,Clinton-Forest Park,12/02/2017,A,1243
40430,Clinton-Forest Park,12/25/2017,U,744
40430,Clinton-Forest Park,12/30/2017,A,1143
40430,Clinton-Forest Park,12/01/2017,W,3808
40430,Clinton-Forest Park,12/09/2017,A,1157
40430,Clinton-Forest Park,12/21/2017,W,3400
40430,Clinton-Forest Park,12/22/2017,W,2690
40430,Clinton-Forest Park,12/29/2017,W,2364
40430,Clinton-Forest Park,12/18/2017,W,3735
40430,Clinton-Forest Park,03/11/2018,U,1156
40430,Clinton-Forest Park,03/24/2018,A,1131
40430,Clinton-Forest Park,01/01/2018,U,768
40430,Clinton-Forest Park,01/03/2018,W,3436
40430,Clinton-Forest Park,03/05/2018,W,3739
40430,Clinton-Forest Park,01/31/2018,W,3681
40430,Clinton-Forest Park,01/24/2018,W,3754
40430,Clinton-Forest Park,01/05/2018,W,3175
40430,Clinton-Forest Park,03/04/2018,U,1167
40430,Clinton-Forest Park,01/09/2018,W,3544
40430,Clinton-Forest Park,02/14/2018,W,3798
40430,Clinton-Forest Park,03/25/2018,U,1170
40430,Clinton-Forest Park,02/23/2018,W,3688
40430,Clinton-Forest Park,01/20/2018,A,1220
40430,Clinton-Forest Park,01/11/2018,W,3559
40430,Clinton-Forest Park,01/30/2018,W,3660
40430,Clinton-Forest Park,03/12/2018,W,3735
40430,Clinton-Forest Park,01/21/2018,U,954
40430,Clinton-Forest Park,03/18/2018,U,1133
40430,Clinton-Forest Park,02/17/2018,A,1195
40430,Clinton-Forest Park,01/18/2018,W,3748
40430,Clinton-Forest Park,02/26/2018,W,3650
40430,Clinton-Forest Park,01/15/2018,W,1989
40430,Clinton-Forest Park,02/16/2018,W,3758
40430,Clinton-Forest Park,01/06/2018,A,957
40430,Clinton-Forest Park,01/28/2018,U,916
40430,Clinton-Forest Park,03/14/2018,W,3777
40430,Clinton-Forest Park,02/03/2018,A,1079
40430,Clinton-Forest Park,01/27/2018,A,1054
40430,Clinton-Forest Park,01/14/2018,U,899
40430,Clinton-Forest Park,01/12/2018,W,3387
40430,Clinton-Forest Park,03/19/2018,W,3759
40430,Clinton-Forest Park,02/05/2018,W,3793
40430,Clinton-Forest Park,02/15/2018,W,3714
40430,Clinton-Forest Park,02/02/2018,W,3464
40430,Clinton-Forest Park,03/16/2018,W,3650
40430,Clinton-Forest Park,03/17/2018,A,1758
40430,Clinton-Forest Park,03/27/2018,W,3450
40430,Clinton-Forest Park,01/08/2018,W,3622
40430,Clinton-Forest Park,02/22/2018,W,3767
40430,Clinton-Forest Park,03/10/2018,A,1407
40430,Clinton-Forest Park,01/04/2018,W,3449
40430,Clinton-Forest Park,03/29/2018,W,3437
40430,Clinton-Forest Park,02/19/2018,W,2614
40430,Clinton-Forest Park,02/21/2018,W,3738
40430,Clinton-Forest Park,03/21/2018,W,3755
40430,Clinton-Forest Park,01/16/2018,W,3713
40430,Clinton-Forest Park,02/04/2018,U,914
40430,Clinton-Forest Park,03/26/2018,W,3652
40430,Clinton-Forest Park,02/20/2018,W,3729
40430,Clinton-Forest Park,03/07/2018,W,3930
40430,Clinton-Forest Park,02/13/2018,W,3823
40430,Clinton-Forest Park,03/22/2018,W,3611
40430,Clinton-Forest Park,01/25/2018,W,3648
40430,Clinton-Forest Park,01/17/2018,W,3726
40430,Clinton-Forest Park,02/18/2018,U,1096
40430,Clinton-Forest Park,02/24/2018,A,1223
40430,Clinton-Forest Park,03/23/2018,W,3431
40430,Clinton-Forest Park,01/13/2018,A,1036
40430,Clinton-Forest Park,02/25/2018,U,1005
40430,Clinton-Forest Park,03/20/2018,W,3747
40430,Clinton-Forest Park,03/03/2018,A,1291
40430,Clinton-Forest Park,02/28/2018,W,3690
40430,Clinton-Forest Park,02/12/2018,W,3647
40430,Clinton-Forest Park,01/29/2018,W,3764
40430,Clinton-Forest Park,03/06/2018,W,3748
40430,Clinton-Forest Park,01/23/2018,W,3721
40430,Clinton-Forest Park,01/02/2018,W,3205
40430,Clinton-Forest Park,02/09/2018,W,2229
40430,Clinton-Forest Park,03/31/2018,A,1157
40430,Clinton-Forest Park,01/26/2018,W,3522
40430,Clinton-Forest Park,02/10/2018,A,1155
40430,Clinton-Forest Park,03/15/2018,W,3734
40430,Clinton-Forest Park,02/08/2018,W,3865
40430,Clinton-Forest Park,03/01/2018,W,3746
40430,Clinton-Forest Park,02/11/2018,U,963
40430,Clinton-Forest Park,03/09/2018,W,3630
40430,Clinton-Forest Park,03/28/2018,W,3579
40430,Clinton-Forest Park,03/30/2018,W,2991
40430,Clinton-Forest Park,01/19/2018,W,3498
40430,Clinton-Forest Park,03/08/2018,W,3756
40430,Clinton-Forest Park,03/02/2018,W,3490
40430,Clinton-Forest Park,02/07/2018,W,3686
40430,Clinton-Forest Park,01/22/2018,W,3756
40430,Clinton-Forest Park,01/10/2018,W,3578
40430,Clinton-Forest Park,03/13/2018,W,3819
40430,Clinton-Forest Park,02/27/2018,W,3598
40430,Clinton-Forest Park,02/06/2018,W,3735
40430,Clinton-Forest Park,02/01/2018,W,3872
40430,Clinton-Forest Park,01/07/2018,U,894
40430,Clinton-Forest Park,05/03/2018,W,3534
40430,Clinton-Forest Park,05/08/2018,W,3642
40430,Clinton-Forest Park,06/07/2018,W,3602
40430,Clinton-Forest Park,04/05/2018,W,3791
40430,Clinton-Forest Park,06/21/2018,W,3816
40430,Clinton-Forest Park,04/28/2018,A,1241
40430,Clinton-Forest Park,05/11/2018,W,3610
40430,Clinton-Forest Park,04/23/2018,W,3651
40430,Clinton-Forest Park,04/11/2018,W,3699
40430,Clinton-Forest Park,05/19/2018,A,1238
40430,Clinton-Forest Park,06/01/2018,W,3619
40430,Clinton-Forest Park,04/14/2018,A,1089
40430,Clinton-Forest Park,04/10/2018,W,3623
40430,Clinton-Forest Park,04/02/2018,W,3715
40430,Clinton-Forest Park,04/06/2018,W,3592
40430,Clinton-Forest Park,06/27/2018,W,3698
40430,Clinton-Forest Park,04/07/2018,A,1100
40430,Clinton-Forest Park,04/27/2018,W,3528
40430,Clinton-Forest Park,04/17/2018,W,3813
40430,Clinton-Forest Park,04/16/2018,W,3749
40430,Clinton-Forest Park,05/09/2018,W,3758
40430,Clinton-Forest Park,04/04/2018,W,3709
40430,Clinton-Forest Park,04/01/2018,U,1093
40430,Clinton-Forest Park,06/09/2018,A,1372
40430,Clinton-Forest Park,04/03/2018,W,3748
40430,Clinton-Forest Park,06/18/2018,W,3795
40430,Clinton-Forest Park,06/02/2018,A,1214
40430,Clinton-Forest Park,04/21/2018,A,1151
