station_id,stationname,date,daytype,rides
40230,Cumberland,12/08/2017,W,4589
40230,Cumberland,12/25/2017,U,639
40230,Cumberland,12/27/2017,W,2735
40230,Cumberland,12/22/2017,W,3618
40230,Cumberland,12/20/2017,W,4222
40230,Cumberland,12/07/2017,W,4851
40230,Cumberland,12/09/2017,A,1967
40230,Cumberland,12/06/2017,W,4686
40230,Cumberland,12/14/2017,W,4550
40230,Cumberland,12/15/2017,W,4165
40230,Cumberland,12/10/2017,U,1331
40230,Cumberland,12/26/2017,W,2129
40230,Cumberland,12/05/2017,W,4784
40230,Cumberland,12/24/2017,U,1120
40230,Cumberland,12/16/2017,A,2002
40230,Cumberland,12/01/2017,W,4802
40230,Cumberland,12/29/2017,W,2747
40230,Cumberland,12/28/2017,W,2866
40230,Cumberland,12/04/2017,W,4819
40230,Cumberland,12/30/2017,A,1198
40230,Cumberland,12/19/2017,W,4388
40230,Cumberland,12/02/2017,A,2238
40230,Cumberland,12/13/2017,W,4559
40230,Cumberland,12/11/2017,W,4372
40230,Cumberland,12/03/2017,U,1617
40230,Cumberland,12/23/2017,A,1896
40230,Cumberland,12/31/2017,U,1340
40230,Cumberland,12/12/2017,W,4517
40230,Cumberland,12/17/2017,U,1377
40230,Cumberland,12/18/2017,W,4253
40230,Cumberland,12/21/2017,W,4227
40230,Cumberland,03/23/2018,W,4252
40230,Cumberland,03/03/2018,A,1575
40230,Cumberland,02/14/2018,W,4534
40230,Cumberland,03/07/2018,W,4549
40230,Cumberland,01/13/2018,A,1258
40230,Cumberland,03/02/2018,W,4211
40230,Cumberland,02/19/2018,W,3234
40230,Cumberland,01/20/2018,A,1961
40230,Cumberland,02/02/2018,W,3863
40230,Cumberland,02/12/2018,W,4320
40230,Cumberland,02/08/2018,W,4536
40230,Cumberland,03/22/2018,W,4518
40230,Cumberland,02/18/2018,U,1246
40230,Cumberland,01/28/2018,U,1097
40230,Cumberland,02/20/2018,W,4486
40230,Cumberland,01/14/2018,U,990
40230,Cumberland,03/11/2018,U,1148
40230,Cumberland,01/26/2018,W,4204
40230,Cumberland,02/04/2018,U,915
40230,Cumberland,01/08/2018,W,4104
40230,Cumberland,02/21/2018,W,4566
40230,Cumberland,03/20/2018,W,4448
40230,Cumberland,03/09/2018,W,4256
40230,Cumberland,03/19/2018,W,4356
40230,Cumberland,03/13/2018,W,4553
40230,Cumberland,03/05/2018,W,4188
40230,Cumberland,01/24/2018,W,4515
40230,Cumberland,03/26/2018,W,4184
40230,Cumberland,03/24/2018,A,1639
40230,Cumberland,02/13/2018,W,4475
40230,Cumberland,03/21/2018,W,4514
40230,Cumberland,03/10/2018,A,1589
40230,Cumberland,01/12/2018,W,3896
40230,Cumberland,03/16/2018,W,4484
40230,Cumberland,02/28/2018,W,4534
40230,Cumberland,01/21/2018,U,988
40230,Cumberland,01/04/2018,W,3666
40230,Cumberland,02/09/2018,W,2403
40230,Cumberland,03/12/2018,W,4368
40230,Cumberland,01/10/2018,W,4289
40230,Cumberland,03/15/2018,W,4711
40230,Cumberland,01/09/2018,W,4244
40230,Cumberland,01/06/2018,A,1111
40230,Cumberland,02/27/2018,W,4601
40230,Cumberland,03/28/2018,W,4387
40230,Cumberland,03/18/2018,U,1212
40230,Cumberland,03/31/2018,A,1353
40230,Cumberland,03/29/2018,W,4323
40230,Cumberland,03/14/2018,W,4615
40230,Cumberland,03/30/2018,W,3430
40230,Cumberland,02/05/2018,W,4224
40230,Cumberland,02/22/2018,W,4588
40230,Cumberland,03/04/2018,U,1165
40230,Cumberland,01/18/2018,W,4492
40230,Cumberland,03/01/2018,W,4493
40230,Cumberland,01/17/2018,W,4437
40230,Cumberland,02/11/2018,U,959
40230,Cumberland,03/17/2018,A,4444
40230,Cumberland,02/24/2018,A,1432
40230,Cumberland,02/10/2018,A,1339
40230,Cumberland,01/16/2018,W,4411
40230,Cumberland,01/23/2018,W,4670
40230,Cumberland,01/29/2018,W,4292
40230,Cumberland,01/03/2018,W,3646
40230,Cumberland,02/15/2018,W,4611
40230,Cumberland,02/23/2018,W,4194
40230,Cumberland,02/01/2018,W,4523
40230,Cumberland,02/17/2018,A,1577
40230,Cumberland,01/15/2018,W,2517
40230,Cumberland,01/22/2018,W,4503
40230,Cumberland,01/01/2018,U,651
40230,Cumberland,01/30/2018,W,4428
40230,Cumberland,01/31/2018,W,4462
40230,Cumberland,01/27/2018,A,1484
40230,Cumberland,02/25/2018,U,1103
40230,Cumberland,02/26/2018,W,4479
40230,Cumberland,02/07/2018,W,4506
40230,Cumberland,01/25/2018,W,4620
40230,Cumberland,02/16/2018,W,4147
40230,Cumberland,01/07/2018,U,899
40230,Cumberland,03/27/2018,W,4627
40230,Cumberland,01/11/2018,W,4325
40230,Cumberland,01/02/2018,W,3205
40230,Cumberland,02/03/2018,A,1318
40230,Cumberland,01/05/2018,W,3405
40230,Cumberland,03/08/2018,W,4529
40230,Cumberland,02/06/2018,W,4384
40230,Cumberland,01/19/2018,W,4173
40230,Cumberland,03/06/2018,W,4407
40230,Cumberland,03/25/2018,U,1316
40230,Cumberland,06/29/2018,W,4571
