station_id,stationname,date,daytype,rides
40090,Damen-Brown,12/18/2017,W,2813
40090,Damen-Brown,12/14/2017,W,3005
40090,Damen-Brown,12/08/2017,W,2941
40090,Damen-Brown,12/31/2017,U,888
40090,Damen-Brown,12/29/2017,W,1570
40090,Damen-Brown,12/13/2017,W,3039
40090,Damen-Brown,12/10/2017,U,1071
40090,Damen-Brown,12/25/2017,U,253
40090,Damen-Brown,12/21/2017,W,2818
40090,Damen-Brown,12/28/2017,W,1562
40090,Damen-Brown,12/23/2017,A,1013
40090,Damen-Brown,12/20/2017,W,2924
40090,Damen-Brown,12/24/2017,U,557
40090,Damen-Brown,12/27/2017,W,1361
40090,Damen-Brown,12/26/2017,W,997
40090,Damen-Brown,12/19/2017,W,2949
40090,Damen-Brown,12/11/2017,W,2843
40090,Damen-Brown,12/30/2017,A,926
40090,Damen-Brown,12/17/2017,U,991
40090,Damen-Brown,12/06/2017,W,3128
40090,Damen-Brown,12/01/2017,W,3157
40090,Damen-Brown,12/15/2017,W,3025
40090,Damen-Brown,12/03/2017,U,1115
40090,Damen-Brown,12/02/2017,A,1895
40090,Damen-Brown,12/16/2017,A,1566
40090,Damen-Brown,12/12/2017,W,3069
40090,Damen-Brown,12/09/2017,A,1616
40090,Damen-Brown,12/07/2017,W,2987
40090,Damen-Brown,12/05/2017,W,3039
40090,Damen-Brown,12/22/2017,W,2241
40090,Damen-Brown,12/04/2017,W,2935
40090,Damen-Brown,03/29/2018,W,2900
40090,Damen-Brown,03/14/2018,W,2991
40090,Damen-Brown,02/17/2018,A,1466
40090,Damen-Brown,03/24/2018,A,1394
40090,Damen-Brown,01/24/2018,W,3052
40090,Damen-Brown,02/28/2018,W,3042
40090,Damen-Brown,01/10/2018,W,2984
40090,Damen-Brown,02/23/2018,W,2828
40090,Damen-Brown,03/11/2018,U,949
40090,Damen-Brown,02/03/2018,A,1304
40090,Damen-Brown,03/12/2018,W,2785
40090,Damen-Brown,03/25/2018,U,1020
40090,Damen-Brown,02/10/2018,A,1506
40090,Damen-Brown,02/16/2018,W,2812
40090,Damen-Brown,02/14/2018,W,3106
40090,Damen-Brown,01/18/2018,W,2952
40090,Damen-Brown,03/23/2018,W,2825
40090,Damen-Brown,02/05/2018,W,2791
40090,Damen-Brown,03/21/2018,W,2991
40090,Damen-Brown,01/23/2018,W,3056
40090,Damen-Brown,03/08/2018,W,2931
40090,Damen-Brown,03/04/2018,U,953
40090,Damen-Brown,03/17/2018,A,2088
40090,Damen-Brown,01/31/2018,W,3053
40090,Damen-Brown,02/27/2018,W,3025
40090,Damen-Brown,01/06/2018,A,1021
40090,Damen-Brown,01/28/2018,U,907
40090,Damen-Brown,02/12/2018,W,2853
40090,Damen-Brown,01/11/2018,W,2873
40090,Damen-Brown,02/19/2018,W,1940
40090,Damen-Brown,02/15/2018,W,3118
40090,Damen-Brown,03/28/2018,W,2978
40090,Damen-Brown,01/17/2018,W,2969
40090,Damen-Brown,02/18/2018,U,1060
40090,Damen-Brown,02/21/2018,W,2901
40090,Damen-Brown,01/29/2018,W,2891
40090,Damen-Brown,02/01/2018,W,2908
40090,Damen-Brown,01/13/2018,A,1155
40090,Damen-Brown,03/07/2018,W,2990
40090,Damen-Brown,01/16/2018,W,2906
40090,Damen-Brown,02/11/2018,U,995
40090,Damen-Brown,01/15/2018,W,1654
40090,Damen-Brown,03/06/2018,W,2975
40090,Damen-Brown,02/08/2018,W,2946
40090,Damen-Brown,02/20/2018,W,2780
40090,Damen-Brown,02/06/2018,W,2925
40090,Damen-Brown,01/05/2018,W,2273
40090,Damen-Brown,01/07/2018,U,756
40090,Damen-Brown,01/03/2018,W,2335
40090,Damen-Brown,01/14/2018,U,911
40090,Damen-Brown,01/08/2018,W,2875
40090,Damen-Brown,03/16/2018,W,2856
40090,Damen-Brown,02/04/2018,U,822
40090,Damen-Brown,01/04/2018,W,2350
40090,Damen-Brown,01/19/2018,W,2928
40090,Damen-Brown,03/22/2018,W,3025
40090,Damen-Brown,03/01/2018,W,2964
40090,Damen-Brown,03/20/2018,W,2888
40090,Damen-Brown,03/30/2018,W,2335
40090,Damen-Brown,03/27/2018,W,3085
40090,Damen-Brown,03/31/2018,A,1193
40090,Damen-Brown,01/09/2018,W,2998
40090,Damen-Brown,02/02/2018,W,2611
40090,Damen-Brown,03/09/2018,W,2817
40090,Damen-Brown,01/20/2018,A,1877
40090,Damen-Brown,03/13/2018,W,2948
40090,Damen-Brown,01/22/2018,W,2824
40090,Damen-Brown,01/02/2018,W,2035
40090,Damen-Brown,03/15/2018,W,2992
40090,Damen-Brown,01/25/2018,W,2988
40090,Damen-Brown,01/01/2018,U,434
40090,Damen-Brown,02/25/2018,U,970
40090,Damen-Brown,02/22/2018,W,2876
40090,Damen-Brown,02/26/2018,W,2924
40090,Damen-Brown,01/26/2018,W,2897
40090,Damen-Brown,03/02/2018,W,2963
40090,Damen-Brown,01/27/2018,A,1398
40090,Damen-Brown,01/12/2018,W,2900
40090,Damen-Brown,03/10/2018,A,1542
40090,Damen-Brown,02/09/2018,W,1998
40090,Damen-Brown,01/30/2018,W,2990
40090,Damen-Brown,03/05/2018,W,2781
40090,Damen-Brown,02/24/2018,A,1367
40090,Damen-Brown,02/13/2018,W,3056
40090,Damen-Brown,03/03/2018,A,1471
40090,Damen-Brown,03/26/2018,W,2645
40090,Damen-Brown,03/18/2018,U,1008
40090,Damen-Brown,02/07/2018,W,3009
40090,Damen-Brown,03/19/2018,W,2864
40090,Damen-Brown,01/21/2018,U,892
40090,Damen-Brown,05/08/2018,W,3050
40090,Damen-Brown,05/11/2018,W,2848
40090,Damen-Brown,05/23/2018,W,2983
40090,Damen-Brown,04/27/2018,W,2823
40090,Damen-Brown,05/01/2018,W,2929
40090,Damen-Brown,05/17/2018,W,3050
40090,Damen-Brown,05/13/2018,U,924
40090,Damen-Brown,05/12/2018,A,1390
40090,Damen-Brown,05/06/2018,U,1039
40090,Damen-Brown,06/05/2018,W,3034
40090,Damen-Brown,04/03/2018,W,2940
40090,Damen-Brown,04/11/2018,W,2963
40090,Damen-Brown,06/06/2018,W,3102
40090,Damen-Brown,04/12/2018,W,3040
40090,Damen-Brown,06/15/2018,W,2813
40090,Damen-Brown,04/06/2018,W,2887
40090,Damen-Brown,06/24/2018,U,1433
40090,Damen-Brown,04/23/2018,W,2687
40090,Damen-Brown,04/02/2018,W,2739
40090,Damen-Brown,04/26/2018,W,2848
40090,Damen-Brown,06/13/2018,W,3041
40090,Damen-Brown,05/02/2018,W,2934
40090,Damen-Brown,06/23/2018,A,1570
40090,Damen-Brown,04/30/2018,W,2915
40090,Damen-Brown,04/01/2018,U,708
40090,Damen-Brown,06/26/2018,W,2769
40090,Damen-Brown,05/04/2018,W,2936
40090,Damen-Brown,05/16/2018,W,3068
40090,Damen-Brown,06/04/2018,W,2920
40090,Damen-Brown,05/25/2018,W,2761
40090,Damen-Brown,05/09/2018,W,2990
40090,Damen-Brown,04/16/2018,W,2785
40090,Damen-Brown,04/22/2018,U,901
40090,Damen-Brown,04/07/2018,A,1376
40090,Damen-Brown,04/04/2018,W,3023
40090,Damen-Brown,04/19/2018,W,2728
