station_id,stationname,date,daytype,rides
40530,Diversey,12/10/2017,U,1912
40530,Diversey,12/21/2017,W,5020
40530,Diversey,12/15/2017,W,5491
40530,Diversey,12/03/2017,U,2067
40530,Diversey,12/27/2017,W,2533
40530,Diversey,12/20/2017,W,5334
40530,Diversey,12/11/2017,W,5419
40530,Diversey,12/06/2017,W,5741
40530,Diversey,12/16/2017,A,2915
40530,Diversey,12/23/2017,A,1657
40530,Diversey,12/01/2017,W,5866
40530,Diversey,12/07/2017,W,5712
40530,Diversey,12/31/2017,U,1519
40530,Diversey,12/08/2017,W,5601
40530,Diversey,12/17/2017,U,1843
40530,Diversey,12/14/2017,W,5685
40530,Diversey,12/05/2017,W,5758
40530,Diversey,12/09/2017,A,2846
40530,Diversey,12/02/2017,A,3371
40530,Diversey,12/30/2017,A,1686
40530,Diversey,12/12/2017,W,5618
40530,Diversey,12/28/2017,W,3018
40530,Diversey,12/25/2017,U,384
40530,Diversey,12/22/2017,W,3793
40530,Diversey,12/24/2017,U,841
40530,Diversey,12/26/2017,W,1559
40530,Diversey,12/04/2017,W,5667
40530,Diversey,12/18/2017,W,5267
40530,Diversey,12/13/2017,W,5663
40530,Diversey,12/19/2017,W,5585
40530,Diversey,12/29/2017,W,3019
40530,Diversey,02/25/2018,U,1816
40530,Diversey,01/25/2018,W,5888
40530,Diversey,01/20/2018,A,3006
40530,Diversey,01/21/2018,U,1694
40530,Diversey,01/17/2018,W,5667
40530,Diversey,03/21/2018,W,5507
40530,Diversey,01/26/2018,W,5704
40530,Diversey,01/03/2018,W,5149
40530,Diversey,02/03/2018,A,2451
40530,Diversey,03/06/2018,W,5726
40530,Diversey,03/05/2018,W,5393
40530,Diversey,03/19/2018,W,5512
40530,Diversey,01/31/2018,W,5772
40530,Diversey,03/12/2018,W,5601
40530,Diversey,01/27/2018,A,2929
40530,Diversey,02/04/2018,U,1653
40530,Diversey,01/18/2018,W,5738
40530,Diversey,02/23/2018,W,5605
40530,Diversey,02/17/2018,A,2812
40530,Diversey,01/05/2018,W,4936
40530,Diversey,01/13/2018,A,2408
40530,Diversey,03/03/2018,A,2804
40530,Diversey,01/29/2018,W,5465
40530,Diversey,01/09/2018,W,5741
40530,Diversey,03/15/2018,W,5894
40530,Diversey,02/09/2018,W,4030
40530,Diversey,03/25/2018,U,1880
40530,Diversey,02/19/2018,W,3989
40530,Diversey,01/28/2018,U,1815
40530,Diversey,02/07/2018,W,5641
40530,Diversey,03/28/2018,W,5686
40530,Diversey,02/18/2018,U,1945
40530,Diversey,03/22/2018,W,5594
40530,Diversey,01/11/2018,W,5685
40530,Diversey,03/16/2018,W,5766
40530,Diversey,02/06/2018,W,5675
40530,Diversey,01/02/2018,W,4266
40530,Diversey,02/26/2018,W,5588
40530,Diversey,01/19/2018,W,5699
40530,Diversey,03/27/2018,W,5614
40530,Diversey,03/24/2018,A,2441
40530,Diversey,02/27/2018,W,5844
40530,Diversey,03/08/2018,W,5691
40530,Diversey,02/28/2018,W,5792
40530,Diversey,01/22/2018,W,5465
40530,Diversey,02/02/2018,W,5287
40530,Diversey,01/14/2018,U,1576
40530,Diversey,02/20/2018,W,5550
40530,Diversey,02/14/2018,W,5777
40530,Diversey,01/06/2018,A,2090
40530,Diversey,01/23/2018,W,5879
40530,Diversey,03/26/2018,W,5354
40530,Diversey,02/11/2018,U,1884
40530,Diversey,03/17/2018,A,4876
40530,Diversey,03/02/2018,W,5707
40530,Diversey,01/16/2018,W,5688
40530,Diversey,02/01/2018,W,5508
40530,Diversey,03/30/2018,W,4679
40530,Diversey,02/22/2018,W,5783
40530,Diversey,03/04/2018,U,1838
40530,Diversey,02/10/2018,A,2805
40530,Diversey,01/24/2018,W,5832
40530,Diversey,02/15/2018,W,5572
40530,Diversey,03/14/2018,W,5895
40530,Diversey,01/07/2018,U,1560
40530,Diversey,01/10/2018,W,5695
40530,Diversey,02/13/2018,W,5751
40530,Diversey,01/04/2018,W,5072
40530,Diversey,01/01/2018,U,1068
40530,Diversey,03/10/2018,A,3072
40530,Diversey,03/13/2018,W,5762
40530,Diversey,03/20/2018,W,5558
40530,Diversey,03/29/2018,W,5572
40530,Diversey,01/30/2018,W,5818
40530,Diversey,01/12/2018,W,5253
40530,Diversey,02/05/2018,W,5182
40530,Diversey,02/21/2018,W,5806
40530,Diversey,03/01/2018,W,5727
40530,Diversey,02/08/2018,W,5542
40530,Diversey,02/16/2018,W,5431
40530,Diversey,02/24/2018,A,2728
40530,Diversey,03/23/2018,W,5320
40530,Diversey,01/08/2018,W,5551
40530,Diversey,03/09/2018,W,5594
40530,Diversey,03/07/2018,W,5755
40530,Diversey,03/31/2018,A,2232
40530,Diversey,02/12/2018,W,5493
40530,Diversey,01/15/2018,W,3477
40530,Diversey,03/11/2018,U,1777
40530,Diversey,03/18/2018,U,2104
40530,Diversey,06/01/2018,W,6219
40530,Diversey,05/03/2018,W,5876
40530,Diversey,04/05/2018,W,5821
40530,Diversey,06/03/2018,U,2805
40530,Diversey,04/08/2018,U,1767
40530,Diversey,05/30/2018,W,5751
40530,Diversey,04/30/2018,W,5520
40530,Diversey,04/29/2018,U,1962
40530,Diversey,04/06/2018,W,5486
40530,Diversey,05/14/2018,W,5247
40530,Diversey,05/24/2018,W,5869
40530,Diversey,06/27/2018,W,5801
40530,Diversey,04/01/2018,U,1274
40530,Diversey,04/20/2018,W,5583
40530,Diversey,04/13/2018,W,5445
40530,Diversey,04/19/2018,W,5885
40530,Diversey,05/28/2018,U,1745
40530,Diversey,06/28/2018,W,5806
40530,Diversey,06/18/2018,W,5369
40530,Diversey,04/24/2018,W,5698
40530,Diversey,06/05/2018,W,6135
40530,Diversey,05/08/2018,W,5983
40530,Diversey,06/13/2018,W,5998
40530,Diversey,06/26/2018,W,5737
40530,Diversey,05/01/2018,W,5842
40530,Diversey,05/27/2018,U,2071
40530,Diversey,06/15/2018,W,5726
40530,Diversey,04/02/2018,W,5269
40530,Diversey,04/23/2018,W,5225
40530,Diversey,06/25/2018,W,5602
40530,Diversey,04/21/2018,A,2631
40530,Diversey,04/11/2018,W,5835
40530,Diversey,05/31/2018,W,6065
40530,Diversey,04/14/2018,A,2438
40530,Diversey,06/06/2018,W,6013
40530,Diversey,05/02/2018,W,5831
40530,Diversey,06/11/2018,W,5744
40530,Diversey,04/17/2018,W,5906
40530,Diversey,04/10/2018,W,5659
40530,Diversey,06/10/2018,U,1980
40530,Diversey,06/20/2018,W,5878
40530,Diversey,04/04/2018,W,5729
40530,Diversey,06/24/2018,U,6788
40530,Diversey,06/09/2018,A,3242
40530,Diversey,04/26/2018,W,5832
40530,Diversey,05/21/2018,W,5148
40530,Diversey,05/10/2018,W,6005
40530,Diversey,06/17/2018,U,1658
40530,Diversey,06/12/2018,W,6000
40530,Diversey,05/09/2018,W,5788
40530,Diversey,05/26/2018,A,2774
40530,Diversey,05/23/2018,W,5863
40530,Diversey,04/15/2018,U,1555
40530,Diversey,04/07/2018,A,2684
40530,Diversey,05/25/2018,W,5196
40530,Diversey,05/15/2018,W,5842
40530,Diversey,06/21/2018,W,5304
40530,Diversey,04/03/2018,W,5601
