station_id,stationname,date,daytype,rides
40320,Division/Milwaukee,12/05/2017,W,6278
40320,Division/Milwaukee,12/21/2017,W,5992
40320,Division/Milwaukee,12/06/2017,W,6329
40320,Division/Milwaukee,12/03/2017,U,2550
40320,Division/Milwaukee,12/10/2017,U,2300
40320,Division/Milwaukee,12/17/2017,U,2284
40320,Division/Milwaukee,12/24/2017,U,1394
40320,Division/Milwaukee,12/27/2017,W,3082
40320,Division/Milwaukee,12/09/2017,A,3260
40320,Division/Milwaukee,12/01/2017,W,6968
40320,Division/Milwaukee,12/25/2017,U,704
40320,Division/Milwaukee,12/13/2017,W,6263
40320,Division/Milwaukee,12/07/2017,W,6505
40320,Division/Milwaukee,12/12/2017,W,6238
40320,Division/Milwaukee,12/14/2017,W,6373
40320,Division/Milwaukee,12/18/2017,W,6090
40320,Division/Milwaukee,12/19/2017,W,6260
40320,Division/Milwaukee,12/04/2017,W,6340
40320,Division/Milwaukee,12/30/2017,A,1980
40320,Division/Milwaukee,12/16/2017,A,3227
40320,Division/Milwaukee,12/26/2017,W,2152
40320,Division/Milwaukee,12/15/2017,W,6110
40320,Division/Milwaukee,12/22/2017,W,5037
40320,Division/Milwaukee,12/29/2017,W,3466
40320,Division/Milwaukee,12/11/2017,W,6112
40320,Division/Milwaukee,12/23/2017,A,2362
40320,Division/Milwaukee,12/02/2017,A,3519
40320,Division/Milwaukee,12/08/2017,W,6368
40320,Division/Milwaukee,12/31/2017,U,1653
40320,Division/Milwaukee,12/20/2017,W,6255
40320,Division/Milwaukee,12/28/2017,W,3555
40320,Division/Milwaukee,02/09/2018,W,4237
40320,Division/Milwaukee,03/02/2018,W,6166
40320,Division/Milwaukee,03/18/2018,U,2605
40320,Division/Milwaukee,02/28/2018,W,6376
40320,Division/Milwaukee,01/24/2018,W,6205
40320,Division/Milwaukee,03/15/2018,W,6539
40320,Division/Milwaukee,01/01/2018,U,1725
40320,Division/Milwaukee,02/13/2018,W,6525
40320,Division/Milwaukee,01/07/2018,U,1609
40320,Division/Milwaukee,01/22/2018,W,6104
40320,Division/Milwaukee,01/31/2018,W,6264
40320,Division/Milwaukee,01/29/2018,W,6055
40320,Division/Milwaukee,01/26/2018,W,6216
40320,Division/Milwaukee,01/09/2018,W,5987
40320,Division/Milwaukee,02/25/2018,U,2170
40320,Division/Milwaukee,01/13/2018,A,2466
40320,Division/Milwaukee,03/26/2018,W,5700
40320,Division/Milwaukee,02/07/2018,W,6323
40320,Division/Milwaukee,03/06/2018,W,6265
40320,Division/Milwaukee,03/09/2018,W,6353
40320,Division/Milwaukee,02/27/2018,W,6385
40320,Division/Milwaukee,01/21/2018,U,1939
40320,Division/Milwaukee,01/19/2018,W,6301
40320,Division/Milwaukee,01/02/2018,W,4195
40320,Division/Milwaukee,03/16/2018,W,6358
40320,Division/Milwaukee,03/12/2018,W,6056
40320,Division/Milwaukee,03/24/2018,A,2987
40320,Division/Milwaukee,02/16/2018,W,6460
40320,Division/Milwaukee,01/04/2018,W,5006
40320,Division/Milwaukee,02/19/2018,W,4178
40320,Division/Milwaukee,03/05/2018,W,6116
40320,Division/Milwaukee,03/30/2018,W,5180
40320,Division/Milwaukee,03/08/2018,W,6578
40320,Division/Milwaukee,01/23/2018,W,6356
40320,Division/Milwaukee,01/08/2018,W,5804
40320,Division/Milwaukee,03/11/2018,U,2143
40320,Division/Milwaukee,03/10/2018,A,3044
40320,Division/Milwaukee,01/11/2018,W,5947
40320,Division/Milwaukee,03/14/2018,W,6442
40320,Division/Milwaukee,02/15/2018,W,6471
40320,Division/Milwaukee,01/30/2018,W,6201
40320,Division/Milwaukee,03/22/2018,W,6183
40320,Division/Milwaukee,02/08/2018,W,6258
40320,Division/Milwaukee,03/20/2018,W,6443
40320,Division/Milwaukee,01/14/2018,U,1905
40320,Division/Milwaukee,01/12/2018,W,5938
40320,Division/Milwaukee,03/13/2018,W,6367
40320,Division/Milwaukee,02/01/2018,W,6173
40320,Division/Milwaukee,03/31/2018,A,2662
40320,Division/Milwaukee,01/20/2018,A,3504
40320,Division/Milwaukee,02/06/2018,W,6198
40320,Division/Milwaukee,02/12/2018,W,6168
40320,Division/Milwaukee,03/21/2018,W,6168
40320,Division/Milwaukee,02/18/2018,U,2280
40320,Division/Milwaukee,02/03/2018,A,2580
40320,Division/Milwaukee,02/26/2018,W,6148
40320,Division/Milwaukee,01/25/2018,W,6283
40320,Division/Milwaukee,02/17/2018,A,2925
40320,Division/Milwaukee,03/17/2018,A,4749
40320,Division/Milwaukee,02/20/2018,W,6118
40320,Division/Milwaukee,01/16/2018,W,6195
40320,Division/Milwaukee,01/05/2018,W,4841
40320,Division/Milwaukee,03/27/2018,W,5859
40320,Division/Milwaukee,02/11/2018,U,2186
40320,Division/Milwaukee,02/24/2018,A,2925
40320,Division/Milwaukee,01/17/2018,W,6121
40320,Division/Milwaukee,03/19/2018,W,6283
40320,Division/Milwaukee,01/03/2018,W,4877
40320,Division/Milwaukee,02/10/2018,A,2799
40320,Division/Milwaukee,03/04/2018,U,2183
40320,Division/Milwaukee,02/21/2018,W,6277
40320,Division/Milwaukee,01/28/2018,U,1931
40320,Division/Milwaukee,03/03/2018,A,3203
40320,Division/Milwaukee,02/22/2018,W,6355
40320,Division/Milwaukee,03/25/2018,U,2330
40320,Division/Milwaukee,02/02/2018,W,5861
40320,Division/Milwaukee,03/29/2018,W,5762
40320,Division/Milwaukee,02/04/2018,U,1834
40320,Division/Milwaukee,01/27/2018,A,2942
40320,Division/Milwaukee,02/05/2018,W,5893
40320,Division/Milwaukee,03/01/2018,W,6157
40320,Division/Milwaukee,02/23/2018,W,6314
40320,Division/Milwaukee,01/18/2018,W,6238
40320,Division/Milwaukee,01/10/2018,W,6054
40320,Division/Milwaukee,01/06/2018,A,2197
40320,Division/Milwaukee,01/15/2018,W,3561
40320,Division/Milwaukee,03/28/2018,W,5894
40320,Division/Milwaukee,03/23/2018,W,6146
40320,Division/Milwaukee,02/14/2018,W,6462
40320,Division/Milwaukee,03/07/2018,W,6285
40320,Division/Milwaukee,04/20/2018,W,6558
40320,Division/Milwaukee,06/29/2018,W,6095
40320,Division/Milwaukee,05/21/2018,W,5900
40320,Division/Milwaukee,06/15/2018,W,6280
40320,Division/Milwaukee,05/08/2018,W,6591
40320,Division/Milwaukee,05/25/2018,W,6050
40320,Division/Milwaukee,05/29/2018,W,6084
40320,Division/Milwaukee,05/26/2018,A,3071
40320,Division/Milwaukee,04/21/2018,A,3027
40320,Division/Milwaukee,06/06/2018,W,6547
40320,Division/Milwaukee,06/30/2018,A,3142
40320,Division/Milwaukee,04/26/2018,W,6430
40320,Division/Milwaukee,06/05/2018,W,6502
40320,Division/Milwaukee,05/05/2018,A,2996
40320,Division/Milwaukee,04/11/2018,W,6404
40320,Division/Milwaukee,05/30/2018,W,6179
40320,Division/Milwaukee,05/01/2018,W,6496
40320,Division/Milwaukee,04/04/2018,W,6290
40320,Division/Milwaukee,06/04/2018,W,6223
40320,Division/Milwaukee,04/07/2018,A,3115
40320,Division/Milwaukee,05/15/2018,W,6446
40320,Division/Milwaukee,04/15/2018,U,1955
40320,Division/Milwaukee,05/07/2018,W,6233
40320,Division/Milwaukee,04/19/2018,W,6662
40320,Division/Milwaukee,06/24/2018,U,2711
40320,Division/Milwaukee,06/20/2018,W,6254
40320,Division/Milwaukee,06/18/2018,W,5884
40320,Division/Milwaukee,06/01/2018,W,6827
40320,Division/Milwaukee,06/10/2018,U,2435
40320,Division/Milwaukee,06/23/2018,A,3225
40320,Division/Milwaukee,05/19/2018,A,3020
40320,Division/Milwaukee,04/08/2018,U,2170
40320,Division/Milwaukee,06/27/2018,W,6221
40320,Division/Milwaukee,05/16/2018,W,6426
40320,Division/Milwaukee,04/18/2018,W,6269
40320,Division/Milwaukee,04/29/2018,U,2192
40320,Division/Milwaukee,05/13/2018,U,2139
40320,Division/Milwaukee,04/12/2018,W,6595
40320,Division/Milwaukee,05/06/2018,U,2291
40320,Division/Milwaukee,05/11/2018,W,6603
40320,Division/Milwaukee,06/03/2018,U,3172
40320,Division/Milwaukee,05/10/2018,W,6715
40320,Division/Milwaukee,06/07/2018,W,6639
40320,Division/Milwaukee,04/14/2018,A,2706
