station_id,stationname,date,daytype,rides
40720,East 63rd-Cottage Grove,12/26/2017,W,613
40720,East 63rd-Cottage Grove,12/27/2017,W,708
40720,East 63rd-Cottage Grove,12/15/2017,W,1092
40720,East 63rd-Cottage Grove,12/18/2017,W,1037
40720,East 63rd-Cottage Grove,12/06/2017,W,1151
40720,East 63rd-Cottage Grove,12/14/2017,W,1088
40720,East 63rd-Cottage Grove,12/04/2017,W,1217
40720,East 63rd-Cottage Grove,12/20/2017,W,1089
40720,East 63rd-Cottage Grove,12/28/2017,W,733
40720,East 63rd-Cottage Grove,12/17/2017,U,504
40720,East 63rd-Cottage Grove,12/09/2017,A,586
40720,East 63rd-Cottage Grove,12/12/2017,W,1034
40720,East 63rd-Cottage Grove,12/30/2017,A,515
40720,East 63rd-Cottage Grove,12/13/2017,W,1108
40720,East 63rd-Cottage Grove,12/21/2017,W,1001
40720,East 63rd-Cottage Grove,12/05/2017,W,1084
40720,East 63rd-Cottage Grove,12/10/2017,U,476
40720,East 63rd-Cottage Grove,12/24/2017,U,414
40720,East 63rd-Cottage Grove,12/01/2017,W,1268
40720,East 63rd-Cottage Grove,12/07/2017,W,1104
40720,East 63rd-Cottage Grove,12/29/2017,W,848
40720,East 63rd-Cottage Grove,12/23/2017,A,574
40720,East 63rd-Cottage Grove,12/22/2017,W,982
40720,East 63rd-Cottage Grove,12/02/2017,A,700
40720,East 63rd-Cottage Grove,12/16/2017,A,671
40720,East 63rd-Cottage Grove,12/25/2017,U,390
40720,East 63rd-Cottage Grove,12/08/2017,W,1101
40720,East 63rd-Cottage Grove,12/11/2017,W,1109
40720,East 63rd-Cottage Grove,12/31/2017,U,404
40720,East 63rd-Cottage Grove,12/03/2017,U,589
40720,East 63rd-Cottage Grove,12/19/2017,W,1127
40720,East 63rd-Cottage Grove,03/05/2018,W,1059
40720,East 63rd-Cottage Grove,01/04/2018,W,869
40720,East 63rd-Cottage Grove,01/22/2018,W,1120
40720,East 63rd-Cottage Grove,02/04/2018,U,401
40720,East 63rd-Cottage Grove,02/21/2018,W,1087
40720,East 63rd-Cottage Grove,03/22/2018,W,1091
40720,East 63rd-Cottage Grove,03/14/2018,W,1108
40720,East 63rd-Cottage Grove,02/12/2018,W,944
40720,East 63rd-Cottage Grove,01/05/2018,W,903
40720,East 63rd-Cottage Grove,02/18/2018,U,467
40720,East 63rd-Cottage Grove,01/18/2018,W,1069
40720,East 63rd-Cottage Grove,03/09/2018,W,1111
40720,East 63rd-Cottage Grove,01/20/2018,A,607
40720,East 63rd-Cottage Grove,01/30/2018,W,1002
40720,East 63rd-Cottage Grove,02/05/2018,W,968
40720,East 63rd-Cottage Grove,03/30/2018,W,1034
40720,East 63rd-Cottage Grove,02/14/2018,W,1118
40720,East 63rd-Cottage Grove,01/07/2018,U,436
40720,East 63rd-Cottage Grove,03/04/2018,U,504
40720,East 63rd-Cottage Grove,03/13/2018,W,1040
40720,East 63rd-Cottage Grove,01/19/2018,W,1090
40720,East 63rd-Cottage Grove,02/03/2018,A,526
40720,East 63rd-Cottage Grove,03/20/2018,W,1056
40720,East 63rd-Cottage Grove,01/12/2018,W,1008
40720,East 63rd-Cottage Grove,02/22/2018,W,1138
40720,East 63rd-Cottage Grove,01/27/2018,A,679
40720,East 63rd-Cottage Grove,01/10/2018,W,1005
40720,East 63rd-Cottage Grove,02/06/2018,W,1036
40720,East 63rd-Cottage Grove,03/16/2018,W,1164
40720,East 63rd-Cottage Grove,02/02/2018,W,1016
40720,East 63rd-Cottage Grove,01/06/2018,A,525
40720,East 63rd-Cottage Grove,03/15/2018,W,1096
40720,East 63rd-Cottage Grove,02/25/2018,U,533
40720,East 63rd-Cottage Grove,03/25/2018,U,536
40720,East 63rd-Cottage Grove,03/24/2018,A,561
40720,East 63rd-Cottage Grove,03/26/2018,W,999
40720,East 63rd-Cottage Grove,02/24/2018,A,667
40720,East 63rd-Cottage Grove,02/10/2018,A,517
40720,East 63rd-Cottage Grove,02/17/2018,A,546
40720,East 63rd-Cottage Grove,01/14/2018,U,404
40720,East 63rd-Cottage Grove,01/02/2018,W,780
40720,East 63rd-Cottage Grove,02/20/2018,W,1082
40720,East 63rd-Cottage Grove,03/23/2018,W,1027
40720,East 63rd-Cottage Grove,02/11/2018,U,420
40720,East 63rd-Cottage Grove,03/11/2018,U,499
40720,East 63rd-Cottage Grove,01/03/2018,W,842
40720,East 63rd-Cottage Grove,03/21/2018,W,977
40720,East 63rd-Cottage Grove,02/19/2018,W,771
40720,East 63rd-Cottage Grove,02/26/2018,W,1155
40720,East 63rd-Cottage Grove,03/02/2018,W,1246
40720,East 63rd-Cottage Grove,02/13/2018,W,998
40720,East 63rd-Cottage Grove,01/08/2018,W,1065
40720,East 63rd-Cottage Grove,03/17/2018,A,654
40720,East 63rd-Cottage Grove,01/29/2018,W,1042
40720,East 63rd-Cottage Grove,01/26/2018,W,1157
40720,East 63rd-Cottage Grove,03/07/2018,W,1109
40720,East 63rd-Cottage Grove,01/15/2018,W,644
40720,East 63rd-Cottage Grove,03/19/2018,W,1050
40720,East 63rd-Cottage Grove,03/18/2018,U,496
40720,East 63rd-Cottage Grove,02/08/2018,W,1032
40720,East 63rd-Cottage Grove,02/09/2018,W,757
40720,East 63rd-Cottage Grove,03/08/2018,W,1105
40720,East 63rd-Cottage Grove,03/03/2018,A,650
40720,East 63rd-Cottage Grove,01/24/2018,W,1042
