station_id,stationname,date,daytype,rides
41170,Garfield-Dan Ryan,12/22/2017,W,3040
41170,Garfield-Dan Ryan,12/05/2017,W,3217
41170,Garfield-Dan Ryan,12/27/2017,W,2016
41170,Garfield-Dan Ryan,12/02/2017,A,2624
41170,Garfield-Dan Ryan,12/19/2017,W,2958
41170,Garfield-Dan Ryan,12/31/2017,U,1415
41170,Garfield-Dan Ryan,12/28/2017,W,2114
41170,Garfield-Dan Ryan,12/17/2017,U,1580
41170,Garfield-Dan Ryan,12/14/2017,W,3043
41170,Garfield-Dan Ryan,12/15/2017,W,3205
41170,Garfield-Dan Ryan,12/24/2017,U,1461
41170,Garfield-Dan Ryan,12/10/2017,U,1537
41170,Garfield-Dan Ryan,12/26/2017,W,1784
41170,Garfield-Dan Ryan,12/20/2017,W,3076
41170,Garfield-Dan Ryan,12/03/2017,U,1866
41170,Garfield-Dan Ryan,12/08/2017,W,3502
41170,Garfield-Dan Ryan,12/06/2017,W,3231
41170,Garfield-Dan Ryan,12/04/2017,W,3226
41170,Garfield-Dan Ryan,12/16/2017,A,2265
41170,Garfield-Dan Ryan,12/25/2017,U,831
41170,Garfield-Dan Ryan,12/18/2017,W,2945
41170,Garfield-Dan Ryan,12/23/2017,A,2075
41170,Garfield-Dan Ryan,12/13/2017,W,3094
41170,Garfield-Dan Ryan,12/01/2017,W,3642
41170,Garfield-Dan Ryan,12/21/2017,W,3012
41170,Garfield-Dan Ryan,12/07/2017,W,3204
41170,Garfield-Dan Ryan,12/09/2017,A,2213
41170,Garfield-Dan Ryan,12/12/2017,W,3022
41170,Garfield-Dan Ryan,12/11/2017,W,3011
41170,Garfield-Dan Ryan,12/30/2017,A,1637
41170,Garfield-Dan Ryan,12/29/2017,W,2494
41170,Garfield-Dan Ryan,01/31/2018,W,3067
41170,Garfield-Dan Ryan,03/17/2018,A,2310
41170,Garfield-Dan Ryan,02/25/2018,U,1690
41170,Garfield-Dan Ryan,03/12/2018,W,2861
41170,Garfield-Dan Ryan,03/03/2018,A,2576
41170,Garfield-Dan Ryan,02/27/2018,W,3164
41170,Garfield-Dan Ryan,01/07/2018,U,1427
41170,Garfield-Dan Ryan,02/09/2018,W,2174
41170,Garfield-Dan Ryan,03/25/2018,U,1613
41170,Garfield-Dan Ryan,01/08/2018,W,2763
41170,Garfield-Dan Ryan,01/09/2018,W,2939
41170,Garfield-Dan Ryan,01/26/2018,W,3461
41170,Garfield-Dan Ryan,01/14/2018,U,1515
41170,Garfield-Dan Ryan,02/04/2018,U,1386
41170,Garfield-Dan Ryan,02/23/2018,W,3337
41170,Garfield-Dan Ryan,01/29/2018,W,2831
41170,Garfield-Dan Ryan,02/13/2018,W,2980
41170,Garfield-Dan Ryan,02/08/2018,W,2987
41170,Garfield-Dan Ryan,03/06/2018,W,2886
41170,Garfield-Dan Ryan,02/24/2018,A,2552
41170,Garfield-Dan Ryan,03/22/2018,W,2984
41170,Garfield-Dan Ryan,01/03/2018,W,2376
41170,Garfield-Dan Ryan,03/10/2018,A,2360
41170,Garfield-Dan Ryan,01/01/2018,U,976
41170,Garfield-Dan Ryan,03/13/2018,W,2986
41170,Garfield-Dan Ryan,01/18/2018,W,3042
41170,Garfield-Dan Ryan,01/11/2018,W,3126
41170,Garfield-Dan Ryan,03/29/2018,W,2794
41170,Garfield-Dan Ryan,02/17/2018,A,2414
41170,Garfield-Dan Ryan,03/24/2018,A,1920
41170,Garfield-Dan Ryan,03/28/2018,W,2798
41170,Garfield-Dan Ryan,01/12/2018,W,3013
41170,Garfield-Dan Ryan,01/02/2018,W,2000
41170,Garfield-Dan Ryan,02/07/2018,W,2918
41170,Garfield-Dan Ryan,02/03/2018,A,2237
41170,Garfield-Dan Ryan,01/30/2018,W,2934
41170,Garfield-Dan Ryan,02/14/2018,W,3265
41170,Garfield-Dan Ryan,02/21/2018,W,3109
41170,Garfield-Dan Ryan,02/16/2018,W,3452
41170,Garfield-Dan Ryan,02/01/2018,W,3022
41170,Garfield-Dan Ryan,01/06/2018,A,1995
41170,Garfield-Dan Ryan,02/26/2018,W,3015
41170,Garfield-Dan Ryan,03/08/2018,W,3170
41170,Garfield-Dan Ryan,02/28/2018,W,3115
41170,Garfield-Dan Ryan,02/11/2018,U,1408
41170,Garfield-Dan Ryan,01/15/2018,W,2051
41170,Garfield-Dan Ryan,03/01/2018,W,3019
41170,Garfield-Dan Ryan,03/14/2018,W,3182
41170,Garfield-Dan Ryan,03/23/2018,W,2968
41170,Garfield-Dan Ryan,03/30/2018,W,3108
41170,Garfield-Dan Ryan,03/05/2018,W,2842
41170,Garfield-Dan Ryan,03/26/2018,W,2674
41170,Garfield-Dan Ryan,02/06/2018,W,2814
41170,Garfield-Dan Ryan,02/20/2018,W,3028
41170,Garfield-Dan Ryan,02/19/2018,W,2236
41170,Garfield-Dan Ryan,01/20/2018,A,2302
41170,Garfield-Dan Ryan,02/22/2018,W,3062
41170,Garfield-Dan Ryan,03/18/2018,U,1680
41170,Garfield-Dan Ryan,01/27/2018,A,2298
41170,Garfield-Dan Ryan,03/09/2018,W,3216
41170,Garfield-Dan Ryan,02/02/2018,W,2920
41170,Garfield-Dan Ryan,01/23/2018,W,2924
41170,Garfield-Dan Ryan,03/02/2018,W,3327
41170,Garfield-Dan Ryan,01/22/2018,W,3038
41170,Garfield-Dan Ryan,01/05/2018,W,2649
41170,Garfield-Dan Ryan,01/25/2018,W,3032
41170,Garfield-Dan Ryan,03/11/2018,U,1540
41170,Garfield-Dan Ryan,01/04/2018,W,2402
41170,Garfield-Dan Ryan,03/19/2018,W,2938
41170,Garfield-Dan Ryan,03/07/2018,W,3031
41170,Garfield-Dan Ryan,03/15/2018,W,3237
41170,Garfield-Dan Ryan,01/13/2018,A,2177
41170,Garfield-Dan Ryan,01/17/2018,W,2951
41170,Garfield-Dan Ryan,03/31/2018,A,2300
41170,Garfield-Dan Ryan,03/21/2018,W,2942
41170,Garfield-Dan Ryan,01/19/2018,W,3151
41170,Garfield-Dan Ryan,03/20/2018,W,2853
41170,Garfield-Dan Ryan,01/10/2018,W,3031
41170,Garfield-Dan Ryan,01/16/2018,W,2797
41170,Garfield-Dan Ryan,01/28/2018,U,1604
41170,Garfield-Dan Ryan,03/16/2018,W,3208
41170,Garfield-Dan Ryan,01/21/2018,U,1562
41170,Garfield-Dan Ryan,02/10/2018,A,2104
41170,Garfield-Dan Ryan,02/12/2018,W,2784
41170,Garfield-Dan Ryan,02/15/2018,W,3145
41170,Garfield-Dan Ryan,01/24/2018,W,3006
41170,Garfield-Dan Ryan,03/27/2018,W,2641
41170,Garfield-Dan Ryan,02/05/2018,W,2633
41170,Garfield-Dan Ryan,03/04/2018,U,1765
41170,Garfield-Dan Ryan,02/18/2018,U,1651
41170,Garfield-Dan Ryan,04/19/2018,W,3241
41170,Garfield-Dan Ryan,06/30/2018,A,2720
41170,Garfield-Dan Ryan,05/26/2018,A,2698
41170,Garfield-Dan Ryan,05/17/2018,W,3373
41170,Garfield-Dan Ryan,06/12/2018,W,3142
41170,Garfield-Dan Ryan,04/04/2018,W,2954
41170,Garfield-Dan Ryan,06/04/2018,W,3098
41170,Garfield-Dan Ryan,04/01/2018,U,1505
41170,Garfield-Dan Ryan,06/13/2018,W,3297
41170,Garfield-Dan Ryan,05/22/2018,W,3357
41170,Garfield-Dan Ryan,04/15/2018,U,1447
41170,Garfield-Dan Ryan,05/23/2018,W,3450
41170,Garfield-Dan Ryan,06/20/2018,W,3275
41170,Garfield-Dan Ryan,05/24/2018,W,3457
41170,Garfield-Dan Ryan,06/10/2018,U,1740
41170,Garfield-Dan Ryan,06/26/2018,W,3089
41170,Garfield-Dan Ryan,06/02/2018,A,2589
41170,Garfield-Dan Ryan,05/10/2018,W,3289
41170,Garfield-Dan Ryan,04/08/2018,U,1595
41170,Garfield-Dan Ryan,05/07/2018,W,3129
41170,Garfield-Dan Ryan,06/22/2018,W,2893
41170,Garfield-Dan Ryan,04/12/2018,W,3279
41170,Garfield-Dan Ryan,05/09/2018,W,3211
41170,Garfield-Dan Ryan,05/28/2018,U,1841
41170,Garfield-Dan Ryan,06/17/2018,U,1792
41170,Garfield-Dan Ryan,06/11/2018,W,2819
41170,Garfield-Dan Ryan,06/15/2018,W,3303
41170,Garfield-Dan Ryan,05/11/2018,W,3340
41170,Garfield-Dan Ryan,04/26/2018,W,3288
41170,Garfield-Dan Ryan,06/21/2018,W,2776
41170,Garfield-Dan Ryan,06/09/2018,A,2369
41170,Garfield-Dan Ryan,05/29/2018,W,3080
41170,Garfield-Dan Ryan,06/23/2018,A,2446
41170,Garfield-Dan Ryan,05/14/2018,W,2936
41170,Garfield-Dan Ryan,05/19/2018,A,2451
41170,Garfield-Dan Ryan,04/25/2018,W,3099
41170,Garfield-Dan Ryan,06/25/2018,W,3036
41170,Garfield-Dan Ryan,06/27/2018,W,3112
41170,Garfield-Dan Ryan,04/24/2018,W,3081
41170,Garfield-Dan Ryan,06/07/2018,W,3481
41170,Garfield-Dan Ryan,05/30/2018,W,3180
41170,Garfield-Dan Ryan,04/05/2018,W,3077
41170,Garfield-Dan Ryan,06/06/2018,W,3324
41170,Garfield-Dan Ryan,05/05/2018,A,2705
41170,Garfield-Dan Ryan,04/07/2018,A,2381
41170,Garfield-Dan Ryan,04/21/2018,A,2406
41170,Garfield-Dan Ryan,04/10/2018,W,2884
41170,Garfield-Dan Ryan,06/16/2018,A,2330
41170,Garfield-Dan Ryan,04/29/2018,U,1760
41170,Garfield-Dan Ryan,05/04/2018,W,3537
41170,Garfield-Dan Ryan,05/16/2018,W,3349
41170,Garfield-Dan Ryan,05/02/2018,W,3207
41170,Garfield-Dan Ryan,06/14/2018,W,3193
41170,Garfield-Dan Ryan,05/13/2018,U,1693
41170,Garfield-Dan Ryan,05/31/2018,W,3501
41170,Garfield-Dan Ryan,04/17/2018,W,3051
41170,Garfield-Dan Ryan,05/01/2018,W,3308
41170,Garfield-Dan Ryan,04/13/2018,W,3270
41170,Garfield-Dan Ryan,06/05/2018,W,3227
41170,Garfield-Dan Ryan,05/20/2018,U,1759
41170,Garfield-Dan Ryan,05/18/2018,W,3459
41170,Garfield-Dan Ryan,04/18/2018,W,2932
41170,Garfield-Dan Ryan,05/15/2018,W,3104
41170,Garfield-Dan Ryan,04/28/2018,A,2469
41170,Garfield-Dan Ryan,04/20/2018,W,3460
41170,Garfield-Dan Ryan,05/03/2018,W,3246
41170,Garfield-Dan Ryan,04/03/2018,W,2950
41170,Garfield-Dan Ryan,04/22/2018,U,1692
41170,Garfield-Dan Ryan,05/12/2018,A,2474
41170,Garfield-Dan Ryan,04/09/2018,W,2757
41170,Garfield-Dan Ryan,06/29/2018,W,3490
41170,Garfield-Dan Ryan,06/18/2018,W,2923
41170,Garfield-Dan Ryan,04/06/2018,W,3194
41170,Garfield-Dan Ryan,06/01/2018,W,3617
41170,Garfield-Dan Ryan,06/24/2018,U,2756
41170,Garfield-Dan Ryan,04/11/2018,W,3194
41170,Garfield-Dan Ryan,05/21/2018,W,2994
41170,Garfield-Dan Ryan,05/25/2018,W,3599
41170,Garfield-Dan Ryan,04/02/2018,W,2817
41170,Garfield-Dan Ryan,05/27/2018,U,2096
41170,Garfield-Dan Ryan,04/14/2018,A,2338
41170,Garfield-Dan Ryan,04/27/2018,W,3496
41170,Garfield-Dan Ryan,06/08/2018,W,3315
41170,Garfield-Dan Ryan,05/08/2018,W,3318
41170,Garfield-Dan Ryan,04/30/2018,W,3160
41170,Garfield-Dan Ryan,04/23/2018,W,3064
41170,Garfield-Dan Ryan,06/28/2018,W,3283
41170,Garfield-Dan Ryan,06/19/2018,W,3136
41170,Garfield-Dan Ryan,06/03/2018,U,2011
41170,Garfield-Dan Ryan,04/16/2018,W,2838
41170,Garfield-Dan Ryan,05/06/2018,U,1772
41170,Garfield-Dan Ryan,07/01/2018,U,1824
