station_id,stationname,date,daytype,rides
40760,Granville,12/05/2017,W,4230
40760,Granville,12/18/2017,W,3364
40760,Granville,12/28/2017,W,2308
40760,Granville,12/15/2017,W,4058
40760,Granville,12/22/2017,W,2918
40760,Granville,12/30/2017,A,1742
40760,Granville,12/16/2017,A,3270
40760,Granville,12/11/2017,W,3822
40760,Granville,12/13/2017,W,4129
40760,Granville,12/04/2017,W,4062
40760,Granville,12/03/2017,U,2657
40760,Granville,12/27/2017,W,2129
40760,Granville,12/09/2017,A,3117
40760,Granville,12/25/2017,U,714
40760,Granville,12/20/2017,W,3411
40760,Granville,12/19/2017,W,3433
40760,Granville,12/14/2017,W,4081
40760,Granville,12/26/2017,W,1701
40760,Granville,12/21/2017,W,3220
40760,Granville,12/12/2017,W,4134
40760,Granville,12/24/2017,U,1357
40760,Granville,12/08/2017,W,4555
40760,Granville,12/29/2017,W,2477
40760,Granville,12/01/2017,W,4929
40760,Granville,12/31/2017,U,1711
40760,Granville,12/10/2017,U,2267
40760,Granville,12/23/2017,A,2017
40760,Granville,12/02/2017,A,3731
40760,Granville,12/07/2017,W,4099
40760,Granville,12/06/2017,W,4121
40760,Granville,12/17/2017,U,2211
40760,Granville,03/03/2018,A,2790
40760,Granville,01/04/2018,W,3020
40760,Granville,02/28/2018,W,3958
40760,Granville,03/21/2018,W,3873
40760,Granville,03/01/2018,W,4123
40760,Granville,01/01/2018,U,1077
40760,Granville,03/07/2018,W,3681
40760,Granville,02/09/2018,W,3634
40760,Granville,02/19/2018,W,3262
40760,Granville,02/13/2018,W,4066
40760,Granville,03/28/2018,W,3939
40760,Granville,02/21/2018,W,4099
40760,Granville,03/12/2018,W,3959
40760,Granville,01/20/2018,A,3719
40760,Granville,01/15/2018,W,3074
40760,Granville,01/24/2018,W,4064
40760,Granville,02/10/2018,A,3246
40760,Granville,03/10/2018,A,2669
40760,Granville,01/31/2018,W,4020
40760,Granville,01/23/2018,W,4033
40760,Granville,01/05/2018,W,2876
40760,Granville,01/02/2018,W,2668
40760,Granville,03/06/2018,W,3562
40760,Granville,02/16/2018,W,4449
40760,Granville,02/18/2018,U,2333
40760,Granville,03/31/2018,A,2500
40760,Granville,01/13/2018,A,2241
40760,Granville,02/01/2018,W,4018
40760,Granville,02/22/2018,W,4133
40760,Granville,03/08/2018,W,3684
40760,Granville,01/09/2018,W,3375
40760,Granville,03/14/2018,W,4114
40760,Granville,02/25/2018,U,2368
40760,Granville,02/11/2018,U,2250
40760,Granville,01/11/2018,W,3483
40760,Granville,03/15/2018,W,4163
40760,Granville,02/05/2018,W,3746
40760,Granville,01/12/2018,W,2741
40760,Granville,03/29/2018,W,3922
40760,Granville,02/20/2018,W,3912
40760,Granville,01/25/2018,W,4205
40760,Granville,01/18/2018,W,3928
40760,Granville,01/10/2018,W,3342
40760,Granville,02/07/2018,W,3947
