station_id,stationname,date,daytype,rides
41130,Halsted-Orange,12/24/2017,U,644
41130,Halsted-Orange,12/14/2017,W,2586
41130,Halsted-Orange,12/09/2017,A,1085
41130,Halsted-Orange,12/16/2017,A,1246
41130,Halsted-Orange,12/03/2017,U,1027
41130,Halsted-Orange,12/06/2017,W,2940
41130,Halsted-Orange,12/13/2017,W,2590
41130,Halsted-Orange,12/01/2017,W,2905
41130,Halsted-Orange,12/05/2017,W,2897
41130,Halsted-Orange,12/02/2017,A,1405
41130,Halsted-Orange,12/12/2017,W,2542
41130,Halsted-Orange,12/17/2017,U,841
41130,Halsted-Orange,12/30/2017,A,710
41130,Halsted-Orange,12/07/2017,W,2884
41130,Halsted-Orange,12/08/2017,W,2841
41130,Halsted-Orange,12/28/2017,W,1489
41130,Halsted-Orange,12/27/2017,W,1384
41130,Halsted-Orange,12/10/2017,U,752
41130,Halsted-Orange,12/31/2017,U,600
41130,Halsted-Orange,12/20/2017,W,2246
41130,Halsted-Orange,12/23/2017,A,1126
41130,Halsted-Orange,12/22/2017,W,2027
41130,Halsted-Orange,12/26/2017,W,1126
41130,Halsted-Orange,12/25/2017,U,328
41130,Halsted-Orange,12/11/2017,W,2500
41130,Halsted-Orange,12/29/2017,W,1481
41130,Halsted-Orange,12/04/2017,W,2981
41130,Halsted-Orange,12/18/2017,W,2110
41130,Halsted-Orange,12/19/2017,W,2298
41130,Halsted-Orange,12/21/2017,W,2148
41130,Halsted-Orange,12/15/2017,W,2400
41130,Halsted-Orange,02/26/2018,W,2802
41130,Halsted-Orange,01/07/2018,U,595
41130,Halsted-Orange,03/15/2018,W,2859
41130,Halsted-Orange,02/09/2018,W,1537
41130,Halsted-Orange,01/30/2018,W,2800
41130,Halsted-Orange,01/12/2018,W,2051
41130,Halsted-Orange,01/31/2018,W,2818
41130,Halsted-Orange,01/01/2018,U,424
41130,Halsted-Orange,02/22/2018,W,2718
41130,Halsted-Orange,03/02/2018,W,2668
41130,Halsted-Orange,01/21/2018,U,716
41130,Halsted-Orange,01/04/2018,W,1742
41130,Halsted-Orange,02/15/2018,W,2806
41130,Halsted-Orange,03/04/2018,U,809
41130,Halsted-Orange,02/28/2018,W,2807
41130,Halsted-Orange,02/04/2018,U,548
41130,Halsted-Orange,03/30/2018,W,2040
41130,Halsted-Orange,02/24/2018,A,1126
41130,Halsted-Orange,03/23/2018,W,2641
41130,Halsted-Orange,01/11/2018,W,2184
41130,Halsted-Orange,03/09/2018,W,2670
41130,Halsted-Orange,02/06/2018,W,2682
41130,Halsted-Orange,01/15/2018,W,1269
41130,Halsted-Orange,02/17/2018,A,1075
41130,Halsted-Orange,01/18/2018,W,2672
41130,Halsted-Orange,03/26/2018,W,2027
41130,Halsted-Orange,01/02/2018,W,1421
41130,Halsted-Orange,02/07/2018,W,2646
41130,Halsted-Orange,03/13/2018,W,2798
41130,Halsted-Orange,03/19/2018,W,2761
41130,Halsted-Orange,03/16/2018,W,2723
41130,Halsted-Orange,03/11/2018,U,746
41130,Halsted-Orange,02/18/2018,U,776
41130,Halsted-Orange,03/14/2018,W,2842
41130,Halsted-Orange,03/28/2018,W,2168
41130,Halsted-Orange,02/16/2018,W,2583
41130,Halsted-Orange,01/24/2018,W,2786
41130,Halsted-Orange,01/17/2018,W,2746
41130,Halsted-Orange,03/03/2018,A,1205
41130,Halsted-Orange,03/29/2018,W,2108
41130,Halsted-Orange,03/12/2018,W,2747
41130,Halsted-Orange,03/06/2018,W,2820
41130,Halsted-Orange,03/31/2018,A,960
41130,Halsted-Orange,03/24/2018,A,1061
41130,Halsted-Orange,03/27/2018,W,2095
41130,Halsted-Orange,03/07/2018,W,2773
41130,Halsted-Orange,01/27/2018,A,1070
41130,Halsted-Orange,03/10/2018,A,1098
41130,Halsted-Orange,02/10/2018,A,946
41130,Halsted-Orange,02/19/2018,W,2012
41130,Halsted-Orange,02/01/2018,W,2762
41130,Halsted-Orange,01/05/2018,W,1666
41130,Halsted-Orange,01/09/2018,W,2131
41130,Halsted-Orange,03/20/2018,W,2751
41130,Halsted-Orange,02/02/2018,W,2352
41130,Halsted-Orange,03/05/2018,W,2644
41130,Halsted-Orange,01/20/2018,A,1150
41130,Halsted-Orange,02/25/2018,U,809
41130,Halsted-Orange,01/08/2018,W,1978
41130,Halsted-Orange,01/26/2018,W,2646
41130,Halsted-Orange,02/13/2018,W,2777
41130,Halsted-Orange,03/21/2018,W,2788
41130,Halsted-Orange,03/25/2018,U,929
41130,Halsted-Orange,02/27/2018,W,2871
41130,Halsted-Orange,01/19/2018,W,2719
41130,Halsted-Orange,01/03/2018,W,1719
41130,Halsted-Orange,01/22/2018,W,2728
41130,Halsted-Orange,03/18/2018,U,882
41130,Halsted-Orange,02/03/2018,A,944
41130,Halsted-Orange,02/21/2018,W,2750
41130,Halsted-Orange,02/14/2018,W,2776
41130,Halsted-Orange,03/17/2018,A,1583
41130,Halsted-Orange,01/23/2018,W,2747
41130,Halsted-Orange,03/08/2018,W,2779
41130,Halsted-Orange,02/23/2018,W,2790
41130,Halsted-Orange,03/01/2018,W,2758
41130,Halsted-Orange,01/29/2018,W,2640
41130,Halsted-Orange,01/28/2018,U,688
41130,Halsted-Orange,02/20/2018,W,2679
41130,Halsted-Orange,01/16/2018,W,2657
41130,Halsted-Orange,01/14/2018,U,678
41130,Halsted-Orange,01/06/2018,A,803
41130,Halsted-Orange,02/08/2018,W,2697
41130,Halsted-Orange,02/11/2018,U,607
41130,Halsted-Orange,01/13/2018,A,882
41130,Halsted-Orange,02/12/2018,W,2551
41130,Halsted-Orange,03/22/2018,W,2742
41130,Halsted-Orange,01/25/2018,W,2828
41130,Halsted-Orange,02/05/2018,W,2395
41130,Halsted-Orange,01/10/2018,W,2177
41130,Halsted-Orange,06/17/2018,U,832
41130,Halsted-Orange,05/15/2018,W,2280
41130,Halsted-Orange,06/30/2018,A,1145
41130,Halsted-Orange,05/03/2018,W,2865
41130,Halsted-Orange,06/09/2018,A,1218
41130,Halsted-Orange,05/02/2018,W,2850
41130,Halsted-Orange,06/01/2018,W,2496
41130,Halsted-Orange,06/05/2018,W,2402
41130,Halsted-Orange,04/06/2018,W,2576
41130,Halsted-Orange,06/10/2018,U,844
41130,Halsted-Orange,04/24/2018,W,2798
41130,Halsted-Orange,06/20/2018,W,2460
41130,Halsted-Orange,06/16/2018,A,1263
41130,Halsted-Orange,06/15/2018,W,2319
41130,Halsted-Orange,06/26/2018,W,2289
41130,Halsted-Orange,06/14/2018,W,2508
41130,Halsted-Orange,05/12/2018,A,1117
41130,Halsted-Orange,04/20/2018,W,2683
41130,Halsted-Orange,05/13/2018,U,786
41130,Halsted-Orange,05/11/2018,W,2516
41130,Halsted-Orange,06/23/2018,A,1266
41130,Halsted-Orange,05/26/2018,A,1268
41130,Halsted-Orange,05/09/2018,W,2676
41130,Halsted-Orange,04/05/2018,W,2796
41130,Halsted-Orange,04/02/2018,W,2588
41130,Halsted-Orange,05/14/2018,W,2128
41130,Halsted-Orange,04/12/2018,W,2836
41130,Halsted-Orange,06/27/2018,W,2346
41130,Halsted-Orange,06/19/2018,W,2400
41130,Halsted-Orange,04/17/2018,W,2780
41130,Halsted-Orange,04/27/2018,W,2713
41130,Halsted-Orange,06/03/2018,U,981
41130,Halsted-Orange,05/31/2018,W,2450
41130,Halsted-Orange,06/02/2018,A,1307
41130,Halsted-Orange,04/03/2018,W,2688
41130,Halsted-Orange,04/11/2018,W,2856
41130,Halsted-Orange,06/25/2018,W,2357
41130,Halsted-Orange,06/06/2018,W,2478
41130,Halsted-Orange,06/11/2018,W,2423
41130,Halsted-Orange,06/07/2018,W,2555
41130,Halsted-Orange,06/29/2018,W,2338
41130,Halsted-Orange,04/10/2018,W,2767
41130,Halsted-Orange,05/18/2018,W,2299
41130,Halsted-Orange,05/07/2018,W,2626
41130,Halsted-Orange,05/30/2018,W,2280
41130,Halsted-Orange,06/12/2018,W,2365
41130,Halsted-Orange,04/23/2018,W,2766
41130,Halsted-Orange,05/22/2018,W,2418
41130,Halsted-Orange,04/09/2018,W,2640
41130,Halsted-Orange,05/17/2018,W,2283
41130,Halsted-Orange,04/21/2018,A,1132
41130,Halsted-Orange,05/01/2018,W,2903
41130,Halsted-Orange,05/16/2018,W,2346
41130,Halsted-Orange,06/13/2018,W,2461
41130,Halsted-Orange,04/01/2018,U,642
41130,Halsted-Orange,06/04/2018,W,2392
41130,Halsted-Orange,04/13/2018,W,2552
41130,Halsted-Orange,04/22/2018,U,852
41130,Halsted-Orange,04/30/2018,W,2806
41130,Halsted-Orange,05/27/2018,U,993
41130,Halsted-Orange,04/16/2018,W,2608
41130,Halsted-Orange,04/28/2018,A,1167
41130,Halsted-Orange,05/04/2018,W,2735
41130,Halsted-Orange,05/21/2018,W,2081
41130,Halsted-Orange,04/26/2018,W,2801
41130,Halsted-Orange,04/19/2018,W,2804
41130,Halsted-Orange,06/22/2018,W,2167
41130,Halsted-Orange,06/18/2018,W,2301
41130,Halsted-Orange,04/25/2018,W,2841
41130,Halsted-Orange,05/28/2018,U,918
41130,Halsted-Orange,05/25/2018,W,2363
41130,Halsted-Orange,04/07/2018,A,1087
41130,Halsted-Orange,04/08/2018,U,785
41130,Halsted-Orange,06/28/2018,W,2498
41130,Halsted-Orange,05/24/2018,W,2419
41130,Halsted-Orange,04/29/2018,U,843
41130,Halsted-Orange,05/05/2018,A,1261
41130,Halsted-Orange,05/10/2018,W,2718
41130,Halsted-Orange,05/23/2018,W,2388
41130,Halsted-Orange,05/29/2018,W,2259
41130,Halsted-Orange,05/08/2018,W,2706
41130,Halsted-Orange,04/14/2018,A,1010
41130,Halsted-Orange,04/15/2018,U,696
41130,Halsted-Orange,06/24/2018,U,1134
41130,Halsted-Orange,06/21/2018,W,2178
41130,Halsted-Orange,04/18/2018,W,2705
41130,Halsted-Orange,05/06/2018,U,862
41130,Halsted-Orange,04/04/2018,W,2783
41130,Halsted-Orange,05/20/2018,U,779
41130,Halsted-Orange,05/19/2018,A,1193
41130,Halsted-Orange,06/08/2018,W,2377
41130,Halsted-Orange,07/01/2018,U,766
41130,Halsted-Orange,07/02/2018,W,2243
41130,Halsted-Orange,07/03/2018,W,2215
41130,Halsted-Orange,07/04/2018,U,884
41130,Halsted-Orange,07/05/2018,W,2008
41130,Halsted-Orange,07/06/2018,W,2182
41130,Halsted-Orange,07/07/2018,A,1267
41130,Halsted-Orange,07/08/2018,U,933
41130,Halsted-Orange,07/09/2018,W,2288
41130,Halsted-Orange,07/10/2018,W,2378
41130,Halsted-Orange,07/11/2018,W,2510
41130,Halsted-Orange,07/12/2018,W,2550
41130,Halsted-Orange,07/13/2018,W,2573
41130,Halsted-Orange,07/14/2018,A,1287
41130,Halsted-Orange,07/15/2018,U,1000
41130,Halsted-Orange,07/16/2018,W,2348
41130,Halsted-Orange,07/17/2018,W,2400
41130,Halsted-Orange,07/18/2018,W,2407
41130,Halsted-Orange,07/19/2018,W,2483
41130,Halsted-Orange,07/20/2018,W,2317
