station_id,stationname,date,daytype,rides
40980,Harlem-Forest Park,12/31/2017,U,271
40980,Harlem-Forest Park,12/29/2017,W,828
40980,Harlem-Forest Park,12/25/2017,U,201
40980,Harlem-Forest Park,12/16/2017,A,619
40980,Harlem-Forest Park,12/10/2017,U,406
40980,Harlem-Forest Park,12/15/2017,W,1215
40980,Harlem-Forest Park,12/20/2017,W,1238
40980,Harlem-Forest Park,12/27/2017,W,743
40980,Harlem-Forest Park,12/07/2017,W,1294
40980,Harlem-Forest Park,12/05/2017,W,1248
40980,Harlem-Forest Park,12/09/2017,A,608
40980,Harlem-Forest Park,12/21/2017,W,1150
40980,Harlem-Forest Park,12/24/2017,U,306
40980,Harlem-Forest Park,12/28/2017,W,820
40980,Harlem-Forest Park,12/13/2017,W,1264
40980,Harlem-Forest Park,12/23/2017,A,498
40980,Harlem-Forest Park,12/17/2017,U,470
40980,Harlem-Forest Park,12/12/2017,W,1179
40980,Harlem-Forest Park,12/19/2017,W,1180
40980,Harlem-Forest Park,12/30/2017,A,413
40980,Harlem-Forest Park,12/04/2017,W,1222
40980,Harlem-Forest Park,12/14/2017,W,1336
40980,Harlem-Forest Park,12/11/2017,W,1158
40980,Harlem-Forest Park,12/02/2017,A,563
40980,Harlem-Forest Park,12/01/2017,W,1375
40980,Harlem-Forest Park,12/26/2017,W,525
40980,Harlem-Forest Park,12/22/2017,W,1021
40980,Harlem-Forest Park,12/03/2017,U,439
40980,Harlem-Forest Park,12/08/2017,W,1203
40980,Harlem-Forest Park,12/06/2017,W,1295
40980,Harlem-Forest Park,12/18/2017,W,1131
40980,Harlem-Forest Park,03/04/2018,U,395
40980,Harlem-Forest Park,01/29/2018,W,1073
40980,Harlem-Forest Park,02/06/2018,W,1137
40980,Harlem-Forest Park,02/28/2018,W,1209
40980,Harlem-Forest Park,03/12/2018,W,1087
40980,Harlem-Forest Park,02/16/2018,W,1197
40980,Harlem-Forest Park,02/03/2018,A,481
40980,Harlem-Forest Park,03/17/2018,A,817
40980,Harlem-Forest Park,01/07/2018,U,357
40980,Harlem-Forest Park,02/04/2018,U,288
40980,Harlem-Forest Park,01/04/2018,W,1001
40980,Harlem-Forest Park,01/28/2018,U,315
40980,Harlem-Forest Park,03/19/2018,W,1077
40980,Harlem-Forest Park,03/26/2018,W,1042
40980,Harlem-Forest Park,02/14/2018,W,1177
40980,Harlem-Forest Park,01/31/2018,W,1254
40980,Harlem-Forest Park,01/17/2018,W,1153
40980,Harlem-Forest Park,01/13/2018,A,442
40980,Harlem-Forest Park,03/25/2018,U,376
40980,Harlem-Forest Park,03/23/2018,W,1226
40980,Harlem-Forest Park,01/25/2018,W,1267
40980,Harlem-Forest Park,01/24/2018,W,1209
