station_id,stationname,date,daytype,rides
40750,Harlem-O'Hare,12/20/2017,W,2875
40750,Harlem-O'Hare,12/12/2017,W,2873
40750,Harlem-O'Hare,12/14/2017,W,2975
40750,Harlem-O'Hare,12/04/2017,W,3015
40750,Harlem-O'Hare,12/29/2017,W,1874
40750,Harlem-O'Hare,12/08/2017,W,3114
40750,Harlem-O'Hare,12/30/2017,A,947
40750,Harlem-O'Hare,12/02/2017,A,1620
40750,Harlem-O'Hare,12/28/2017,W,1862
40750,Harlem-O'Hare,12/23/2017,A,1215
40750,Harlem-O'Hare,12/05/2017,W,3025
40750,Harlem-O'Hare,12/18/2017,W,2721
40750,Harlem-O'Hare,12/27/2017,W,1854
40750,Harlem-O'Hare,12/10/2017,U,969
40750,Harlem-O'Hare,12/06/2017,W,3096
40750,Harlem-O'Hare,12/19/2017,W,2893
40750,Harlem-O'Hare,12/17/2017,U,1014
40750,Harlem-O'Hare,12/16/2017,A,1426
40750,Harlem-O'Hare,12/25/2017,U,464
40750,Harlem-O'Hare,12/31/2017,U,790
40750,Harlem-O'Hare,12/21/2017,W,2823
40750,Harlem-O'Hare,12/11/2017,W,2874
40750,Harlem-O'Hare,12/01/2017,W,3109
40750,Harlem-O'Hare,12/26/2017,W,1441
40750,Harlem-O'Hare,12/22/2017,W,2589
40750,Harlem-O'Hare,12/07/2017,W,3027
40750,Harlem-O'Hare,12/09/2017,A,1401
40750,Harlem-O'Hare,12/03/2017,U,1076
40750,Harlem-O'Hare,12/24/2017,U,754
40750,Harlem-O'Hare,12/13/2017,W,2929
40750,Harlem-O'Hare,12/15/2017,W,2871
40750,Harlem-O'Hare,03/12/2018,W,2916
40750,Harlem-O'Hare,01/24/2018,W,2980
40750,Harlem-O'Hare,01/28/2018,U,778
40750,Harlem-O'Hare,03/05/2018,W,2794
40750,Harlem-O'Hare,03/28/2018,W,2714
40750,Harlem-O'Hare,02/09/2018,W,1705
40750,Harlem-O'Hare,02/08/2018,W,2912
40750,Harlem-O'Hare,03/17/2018,A,2933
40750,Harlem-O'Hare,03/11/2018,U,831
40750,Harlem-O'Hare,02/03/2018,A,1050
40750,Harlem-O'Hare,03/03/2018,A,1208
40750,Harlem-O'Hare,03/01/2018,W,2942
40750,Harlem-O'Hare,03/31/2018,A,1021
40750,Harlem-O'Hare,02/05/2018,W,2772
40750,Harlem-O'Hare,03/15/2018,W,3033
40750,Harlem-O'Hare,01/26/2018,W,2933
40750,Harlem-O'Hare,01/02/2018,W,1970
40750,Harlem-O'Hare,02/16/2018,W,2877
40750,Harlem-O'Hare,03/10/2018,A,1217
40750,Harlem-O'Hare,03/19/2018,W,2936
40750,Harlem-O'Hare,01/16/2018,W,2800
40750,Harlem-O'Hare,03/25/2018,U,825
40750,Harlem-O'Hare,03/06/2018,W,3026
40750,Harlem-O'Hare,01/14/2018,U,705
40750,Harlem-O'Hare,02/27/2018,W,3148
40750,Harlem-O'Hare,01/25/2018,W,3086
40750,Harlem-O'Hare,02/11/2018,U,673
40750,Harlem-O'Hare,02/15/2018,W,3042
40750,Harlem-O'Hare,02/04/2018,U,655
40750,Harlem-O'Hare,01/15/2018,W,1555
40750,Harlem-O'Hare,01/05/2018,W,2130
40750,Harlem-O'Hare,01/20/2018,A,1391
40750,Harlem-O'Hare,03/23/2018,W,2811
40750,Harlem-O'Hare,01/29/2018,W,2847
