station_id,stationname,date,daytype,rides
41460,Irving Park-Brown,12/07/2017,W,3459
41460,Irving Park-Brown,12/24/2017,U,460
41460,Irving Park-Brown,12/27/2017,W,1608
41460,Irving Park-Brown,12/23/2017,A,1018
41460,Irving Park-Brown,12/04/2017,W,3312
41460,Irving Park-Brown,12/16/2017,A,1793
41460,Irving Park-Brown,12/02/2017,A,1995
41460,Irving Park-Brown,12/13/2017,W,3481
41460,Irving Park-Brown,12/03/2017,U,1166
41460,Irving Park-Brown,12/28/2017,W,1908
41460,Irving Park-Brown,12/05/2017,W,3347
41460,Irving Park-Brown,12/22/2017,W,2602
41460,Irving Park-Brown,12/20/2017,W,3237
41460,Irving Park-Brown,12/08/2017,W,3440
41460,Irving Park-Brown,12/29/2017,W,1809
41460,Irving Park-Brown,12/26/2017,W,1019
41460,Irving Park-Brown,12/11/2017,W,3274
41460,Irving Park-Brown,12/14/2017,W,3414
41460,Irving Park-Brown,12/01/2017,W,3579
41460,Irving Park-Brown,12/15/2017,W,3199
41460,Irving Park-Brown,12/10/2017,U,1122
41460,Irving Park-Brown,12/18/2017,W,3158
41460,Irving Park-Brown,12/21/2017,W,3020
41460,Irving Park-Brown,12/17/2017,U,1153
41460,Irving Park-Brown,12/12/2017,W,3400
41460,Irving Park-Brown,12/06/2017,W,3492
41460,Irving Park-Brown,12/09/2017,A,1724
41460,Irving Park-Brown,12/31/2017,U,847
41460,Irving Park-Brown,12/19/2017,W,3300
41460,Irving Park-Brown,12/30/2017,A,954
41460,Irving Park-Brown,12/25/2017,U,224
41460,Irving Park-Brown,01/20/2018,A,2015
41460,Irving Park-Brown,01/07/2018,U,906
41460,Irving Park-Brown,03/17/2018,A,2659
41460,Irving Park-Brown,01/06/2018,A,1265
41460,Irving Park-Brown,03/01/2018,W,3212
41460,Irving Park-Brown,03/26/2018,W,2935
41460,Irving Park-Brown,01/30/2018,W,3398
41460,Irving Park-Brown,03/02/2018,W,3302
41460,Irving Park-Brown,03/08/2018,W,3351
41460,Irving Park-Brown,02/02/2018,W,2888
41460,Irving Park-Brown,01/24/2018,W,3338
41460,Irving Park-Brown,02/05/2018,W,3096
41460,Irving Park-Brown,02/19/2018,W,2269
41460,Irving Park-Brown,02/27/2018,W,3352
41460,Irving Park-Brown,02/16/2018,W,3195
41460,Irving Park-Brown,02/11/2018,U,1070
41460,Irving Park-Brown,03/31/2018,A,1301
41460,Irving Park-Brown,01/14/2018,U,885
41460,Irving Park-Brown,02/09/2018,W,2381
41460,Irving Park-Brown,03/05/2018,W,3155
41460,Irving Park-Brown,03/23/2018,W,3180
41460,Irving Park-Brown,01/25/2018,W,3387
41460,Irving Park-Brown,03/03/2018,A,1606
41460,Irving Park-Brown,03/06/2018,W,3326
41460,Irving Park-Brown,02/26/2018,W,3190
41460,Irving Park-Brown,02/12/2018,W,3256
41460,Irving Park-Brown,01/01/2018,U,483
41460,Irving Park-Brown,03/25/2018,U,1098
41460,Irving Park-Brown,03/12/2018,W,3213
41460,Irving Park-Brown,01/22/2018,W,3082
41460,Irving Park-Brown,03/22/2018,W,3279
41460,Irving Park-Brown,03/21/2018,W,3331
41460,Irving Park-Brown,03/30/2018,W,2585
41460,Irving Park-Brown,02/24/2018,A,1479
41460,Irving Park-Brown,01/31/2018,W,3453
41460,Irving Park-Brown,02/14/2018,W,3414
41460,Irving Park-Brown,01/05/2018,W,2657
41460,Irving Park-Brown,02/18/2018,U,1217
41460,Irving Park-Brown,03/24/2018,A,1582
41460,Irving Park-Brown,01/09/2018,W,3377
41460,Irving Park-Brown,01/17/2018,W,3350
41460,Irving Park-Brown,03/29/2018,W,3080
41460,Irving Park-Brown,02/17/2018,A,1542
41460,Irving Park-Brown,01/19/2018,W,3226
41460,Irving Park-Brown,03/13/2018,W,3394
41460,Irving Park-Brown,01/02/2018,W,2411
41460,Irving Park-Brown,02/28/2018,W,3376
41460,Irving Park-Brown,03/04/2018,U,1058
41460,Irving Park-Brown,02/21/2018,W,3439
41460,Irving Park-Brown,02/23/2018,W,3306
41460,Irving Park-Brown,02/13/2018,W,3474
41460,Irving Park-Brown,01/03/2018,W,2717
41460,Irving Park-Brown,02/07/2018,W,3307
41460,Irving Park-Brown,02/25/2018,U,1054
41460,Irving Park-Brown,01/13/2018,A,1340
41460,Irving Park-Brown,01/27/2018,A,1671
41460,Irving Park-Brown,03/16/2018,W,3377
41460,Irving Park-Brown,03/10/2018,A,1674
41460,Irving Park-Brown,02/08/2018,W,3347
41460,Irving Park-Brown,03/11/2018,U,1020
41460,Irving Park-Brown,01/04/2018,W,2763
41460,Irving Park-Brown,02/03/2018,A,1434
41460,Irving Park-Brown,02/10/2018,A,1731
41460,Irving Park-Brown,03/07/2018,W,3278
41460,Irving Park-Brown,01/11/2018,W,3334
41460,Irving Park-Brown,03/09/2018,W,3269
41460,Irving Park-Brown,01/10/2018,W,3368
