station_id,stationname,date,daytype,rides
40550,Irving Park-O'Hare,12/18/2017,W,4187
40550,Irving Park-O'Hare,12/24/2017,U,1512
40550,Irving Park-O'Hare,12/29/2017,W,3020
40550,Irving Park-O'Hare,12/06/2017,W,4555
40550,Irving Park-O'Hare,12/08/2017,W,4520
40550,Irving Park-O'Hare,12/20/2017,W,4406
40550,Irving Park-O'Hare,12/10/2017,U,1709
40550,Irving Park-O'Hare,12/27/2017,W,2789
40550,Irving Park-O'Hare,12/12/2017,W,4364
40550,Irving Park-O'Hare,12/21/2017,W,4410
40550,Irving Park-O'Hare,12/13/2017,W,4369
40550,Irving Park-O'Hare,12/30/2017,A,1695
40550,Irving Park-O'Hare,12/02/2017,A,2525
40550,Irving Park-O'Hare,12/03/2017,U,1942
40550,Irving Park-O'Hare,12/28/2017,W,2983
40550,Irving Park-O'Hare,12/11/2017,W,4214
40550,Irving Park-O'Hare,12/19/2017,W,4246
40550,Irving Park-O'Hare,12/01/2017,W,4673
40550,Irving Park-O'Hare,12/14/2017,W,4450
40550,Irving Park-O'Hare,12/23/2017,A,2199
40550,Irving Park-O'Hare,12/17/2017,U,1762
40550,Irving Park-O'Hare,12/26/2017,W,2260
40550,Irving Park-O'Hare,12/22/2017,W,3929
40550,Irving Park-O'Hare,12/31/2017,U,1538
40550,Irving Park-O'Hare,12/16/2017,A,2331
40550,Irving Park-O'Hare,12/07/2017,W,4563
40550,Irving Park-O'Hare,12/09/2017,A,2370
40550,Irving Park-O'Hare,12/15/2017,W,4297
40550,Irving Park-O'Hare,12/05/2017,W,4449
40550,Irving Park-O'Hare,12/25/2017,U,1007
40550,Irving Park-O'Hare,12/04/2017,W,4472
40550,Irving Park-O'Hare,03/21/2018,W,4398
40550,Irving Park-O'Hare,01/31/2018,W,4632
40550,Irving Park-O'Hare,03/01/2018,W,4258
40550,Irving Park-O'Hare,03/03/2018,A,2302
40550,Irving Park-O'Hare,02/13/2018,W,4396
40550,Irving Park-O'Hare,01/18/2018,W,4277
40550,Irving Park-O'Hare,01/15/2018,W,2736
40550,Irving Park-O'Hare,02/02/2018,W,3873
40550,Irving Park-O'Hare,01/16/2018,W,4204
40550,Irving Park-O'Hare,03/16/2018,W,4353
40550,Irving Park-O'Hare,02/11/2018,U,1580
40550,Irving Park-O'Hare,03/14/2018,W,4472
40550,Irving Park-O'Hare,02/25/2018,U,1701
40550,Irving Park-O'Hare,03/13/2018,W,4389
40550,Irving Park-O'Hare,02/17/2018,A,2128
40550,Irving Park-O'Hare,02/07/2018,W,4256
40550,Irving Park-O'Hare,03/31/2018,A,2062
40550,Irving Park-O'Hare,03/19/2018,W,4354
40550,Irving Park-O'Hare,01/23/2018,W,4288
