station_id,stationname,date,daytype,rides
41150,Kedzie-Midway,12/02/2017,A,2150
41150,Kedzie-Midway,12/25/2017,U,484
41150,Kedzie-Midway,12/03/2017,U,1539
41150,Kedzie-Midway,12/07/2017,W,3707
41150,Kedzie-Midway,12/30/2017,A,1269
41150,Kedzie-Midway,12/12/2017,W,3481
41150,Kedzie-Midway,12/22/2017,W,3205
41150,Kedzie-Midway,12/14/2017,W,3564
41150,Kedzie-Midway,12/20/2017,W,3340
41150,Kedzie-Midway,12/09/2017,A,1808
41150,Kedzie-Midway,12/11/2017,W,3488
41150,Kedzie-Midway,12/05/2017,W,3750
41150,Kedzie-Midway,12/31/2017,U,912
41150,Kedzie-Midway,12/01/2017,W,3813
41150,Kedzie-Midway,12/24/2017,U,933
41150,Kedzie-Midway,12/06/2017,W,3772
41150,Kedzie-Midway,12/10/2017,U,1257
41150,Kedzie-Midway,12/29/2017,W,2305
41150,Kedzie-Midway,12/15/2017,W,3337
41150,Kedzie-Midway,12/19/2017,W,3428
41150,Kedzie-Midway,12/04/2017,W,3782
41150,Kedzie-Midway,12/18/2017,W,3160
41150,Kedzie-Midway,12/23/2017,A,1708
41150,Kedzie-Midway,12/08/2017,W,3568
41150,Kedzie-Midway,12/16/2017,A,1890
41150,Kedzie-Midway,12/17/2017,U,1354
41150,Kedzie-Midway,12/28/2017,W,2265
41150,Kedzie-Midway,12/13/2017,W,3584
41150,Kedzie-Midway,12/27/2017,W,2204
41150,Kedzie-Midway,12/21/2017,W,3321
41150,Kedzie-Midway,12/26/2017,W,1852
41150,Kedzie-Midway,01/04/2018,W,2525
41150,Kedzie-Midway,02/28/2018,W,3545
41150,Kedzie-Midway,03/07/2018,W,3513
41150,Kedzie-Midway,01/17/2018,W,3455
41150,Kedzie-Midway,03/28/2018,W,3133
41150,Kedzie-Midway,03/11/2018,U,1126
41150,Kedzie-Midway,03/21/2018,W,3539
41150,Kedzie-Midway,02/19/2018,W,2468
41150,Kedzie-Midway,02/23/2018,W,3392
41150,Kedzie-Midway,01/10/2018,W,3272
41150,Kedzie-Midway,02/09/2018,W,2138
41150,Kedzie-Midway,01/27/2018,A,1649
41150,Kedzie-Midway,03/09/2018,W,3416
41150,Kedzie-Midway,01/13/2018,A,1368
41150,Kedzie-Midway,01/22/2018,W,3365
41150,Kedzie-Midway,03/20/2018,W,3529
41150,Kedzie-Midway,03/13/2018,W,3499
41150,Kedzie-Midway,03/26/2018,W,2844
41150,Kedzie-Midway,03/08/2018,W,3554
41150,Kedzie-Midway,02/27/2018,W,3665
41150,Kedzie-Midway,02/18/2018,U,1122
41150,Kedzie-Midway,01/05/2018,W,2526
41150,Kedzie-Midway,02/03/2018,A,1388
41150,Kedzie-Midway,01/26/2018,W,3333
41150,Kedzie-Midway,02/07/2018,W,3344
41150,Kedzie-Midway,01/15/2018,W,1912
41150,Kedzie-Midway,01/06/2018,A,1251
41150,Kedzie-Midway,01/03/2018,W,2513
41150,Kedzie-Midway,03/16/2018,W,3460
41150,Kedzie-Midway,02/15/2018,W,3539
41150,Kedzie-Midway,01/20/2018,A,1663
41150,Kedzie-Midway,03/17/2018,A,1858
41150,Kedzie-Midway,01/08/2018,W,2987
41150,Kedzie-Midway,01/25/2018,W,3583
41150,Kedzie-Midway,03/27/2018,W,3001
41150,Kedzie-Midway,03/01/2018,W,3412
41150,Kedzie-Midway,03/12/2018,W,3403
41150,Kedzie-Midway,02/26/2018,W,3438
41150,Kedzie-Midway,02/01/2018,W,3465
41150,Kedzie-Midway,03/15/2018,W,3665
41150,Kedzie-Midway,01/12/2018,W,3022
41150,Kedzie-Midway,01/30/2018,W,3392
