station_id,stationname,date,daytype,rides
41140,King Drive,12/23/2017,A,332
41140,King Drive,12/08/2017,W,532
41140,King Drive,12/30/2017,A,248
41140,King Drive,12/13/2017,W,509
41140,King Drive,12/06/2017,W,537
41140,King Drive,12/14/2017,W,519
41140,King Drive,12/24/2017,U,282
41140,King Drive,12/16/2017,A,353
41140,King Drive,12/09/2017,A,346
41140,King Drive,12/28/2017,W,380
41140,King Drive,12/15/2017,W,546
41140,King Drive,12/01/2017,W,622
41140,King Drive,12/19/2017,W,513
41140,King Drive,12/29/2017,W,442
41140,King Drive,12/10/2017,U,286
41140,King Drive,12/26/2017,W,355
41140,King Drive,12/20/2017,W,560
41140,King Drive,12/18/2017,W,526
41140,King Drive,12/04/2017,W,550
41140,King Drive,12/22/2017,W,492
41140,King Drive,12/17/2017,U,263
41140,King Drive,12/27/2017,W,374
41140,King Drive,12/02/2017,A,390
41140,King Drive,12/31/2017,U,264
41140,King Drive,12/12/2017,W,524
41140,King Drive,12/07/2017,W,548
41140,King Drive,12/03/2017,U,325
41140,King Drive,12/05/2017,W,535
41140,King Drive,12/21/2017,W,522
41140,King Drive,12/25/2017,U,180
41140,King Drive,12/11/2017,W,529
41140,King Drive,01/05/2018,W,479
41140,King Drive,03/15/2018,W,491
41140,King Drive,02/13/2018,W,553
41140,King Drive,02/07/2018,W,488
41140,King Drive,01/31/2018,W,544
41140,King Drive,03/18/2018,U,261
41140,King Drive,02/26/2018,W,527
41140,King Drive,03/03/2018,A,357
41140,King Drive,02/22/2018,W,511
41140,King Drive,03/05/2018,W,500
41140,King Drive,01/29/2018,W,486
41140,King Drive,01/12/2018,W,494
41140,King Drive,01/25/2018,W,507
41140,King Drive,01/13/2018,A,271
41140,King Drive,01/08/2018,W,485
41140,King Drive,02/08/2018,W,514
41140,King Drive,02/10/2018,A,294
41140,King Drive,02/11/2018,U,241
41140,King Drive,02/25/2018,U,264
41140,King Drive,03/14/2018,W,545
41140,King Drive,01/27/2018,A,309
41140,King Drive,03/16/2018,W,485
41140,King Drive,01/16/2018,W,508
41140,King Drive,02/03/2018,A,284
41140,King Drive,03/10/2018,A,319
41140,King Drive,02/21/2018,W,507
41140,King Drive,03/24/2018,A,286
41140,King Drive,01/28/2018,U,236
41140,King Drive,03/23/2018,W,509
41140,King Drive,01/10/2018,W,535
41140,King Drive,02/05/2018,W,475
41140,King Drive,01/06/2018,A,266
41140,King Drive,03/22/2018,W,488
41140,King Drive,03/09/2018,W,495
41140,King Drive,03/02/2018,W,547
41140,King Drive,02/17/2018,A,284
41140,King Drive,01/26/2018,W,567
41140,King Drive,02/09/2018,W,391
41140,King Drive,03/13/2018,W,456
41140,King Drive,03/01/2018,W,490
41140,King Drive,03/11/2018,U,232
41140,King Drive,01/03/2018,W,420
41140,King Drive,01/11/2018,W,501
41140,King Drive,02/16/2018,W,554
41140,King Drive,01/17/2018,W,470
41140,King Drive,02/06/2018,W,533
41140,King Drive,02/23/2018,W,561
41140,King Drive,03/21/2018,W,447
41140,King Drive,02/14/2018,W,512
41140,King Drive,01/15/2018,W,289
41140,King Drive,03/06/2018,W,499
41140,King Drive,01/01/2018,U,172
41140,King Drive,01/20/2018,A,300
41140,King Drive,03/20/2018,W,445
41140,King Drive,01/24/2018,W,540
41140,King Drive,02/01/2018,W,532
41140,King Drive,02/19/2018,W,373
41140,King Drive,01/18/2018,W,512
41140,King Drive,01/04/2018,W,413
41140,King Drive,02/24/2018,A,330
41140,King Drive,02/02/2018,W,520
41140,King Drive,03/28/2018,W,444
41140,King Drive,03/30/2018,W,461
41140,King Drive,02/27/2018,W,529
41140,King Drive,03/25/2018,U,238
41140,King Drive,01/02/2018,W,310
41140,King Drive,01/07/2018,U,214
41140,King Drive,01/14/2018,U,221
41140,King Drive,02/15/2018,W,501
41140,King Drive,01/23/2018,W,506
41140,King Drive,03/04/2018,U,278
41140,King Drive,01/21/2018,U,252
41140,King Drive,02/20/2018,W,532
41140,King Drive,03/19/2018,W,449
41140,King Drive,01/30/2018,W,505
41140,King Drive,03/26/2018,W,430
41140,King Drive,03/31/2018,A,301
41140,King Drive,02/18/2018,U,259
41140,King Drive,02/28/2018,W,541
41140,King Drive,02/12/2018,W,472
41140,King Drive,01/09/2018,W,502
41140,King Drive,01/19/2018,W,525
41140,King Drive,03/17/2018,A,295
41140,King Drive,03/08/2018,W,463
41140,King Drive,03/07/2018,W,493
41140,King Drive,03/12/2018,W,487
41140,King Drive,03/27/2018,W,415
41140,King Drive,03/29/2018,W,487
41140,King Drive,02/04/2018,U,218
41140,King Drive,01/22/2018,W,476
41140,King Drive,04/16/2018,W,485
41140,King Drive,05/04/2018,W,583
41140,King Drive,05/05/2018,A,414
41140,King Drive,04/02/2018,W,494
41140,King Drive,06/21/2018,W,457
41140,King Drive,06/16/2018,A,370
41140,King Drive,06/17/2018,U,294
41140,King Drive,06/07/2018,W,624
41140,King Drive,05/09/2018,W,532
41140,King Drive,04/27/2018,W,557
41140,King Drive,04/11/2018,W,513
41140,King Drive,06/30/2018,A,394
41140,King Drive,06/24/2018,U,315
41140,King Drive,04/28/2018,A,320
41140,King Drive,05/17/2018,W,598
41140,King Drive,05/18/2018,W,553
41140,King Drive,04/26/2018,W,535
41140,King Drive,05/07/2018,W,545
41140,King Drive,05/24/2018,W,578
41140,King Drive,06/03/2018,U,297
41140,King Drive,05/08/2018,W,559
41140,King Drive,04/24/2018,W,529
41140,King Drive,05/10/2018,W,607
41140,King Drive,06/05/2018,W,597
41140,King Drive,05/19/2018,A,388
41140,King Drive,06/09/2018,A,361
41140,King Drive,05/06/2018,U,289
41140,King Drive,06/04/2018,W,611
41140,King Drive,05/31/2018,W,584
41140,King Drive,06/18/2018,W,537
41140,King Drive,05/29/2018,W,566
41140,King Drive,06/29/2018,W,600
41140,King Drive,04/20/2018,W,517
41140,King Drive,05/03/2018,W,551
41140,King Drive,04/03/2018,W,449
41140,King Drive,04/23/2018,W,549
41140,King Drive,06/28/2018,W,566
41140,King Drive,04/15/2018,U,230
41140,King Drive,04/18/2018,W,486
41140,King Drive,04/10/2018,W,482
41140,King Drive,06/02/2018,A,377
41140,King Drive,05/02/2018,W,564
41140,King Drive,05/21/2018,W,491
41140,King Drive,05/30/2018,W,598
41140,King Drive,05/14/2018,W,501
41140,King Drive,06/14/2018,W,545
41140,King Drive,06/27/2018,W,562
41140,King Drive,06/13/2018,W,590
41140,King Drive,04/05/2018,W,490
41140,King Drive,05/12/2018,A,340
41140,King Drive,06/08/2018,W,557
41140,King Drive,06/20/2018,W,541
41140,King Drive,06/19/2018,W,593
41140,King Drive,04/04/2018,W,494
41140,King Drive,05/23/2018,W,574
41140,King Drive,04/29/2018,U,248
41140,King Drive,06/12/2018,W,563
41140,King Drive,06/11/2018,W,613
41140,King Drive,04/08/2018,U,226
41140,King Drive,05/22/2018,W,534
41140,King Drive,04/14/2018,A,281
41140,King Drive,06/22/2018,W,530
41140,King Drive,05/20/2018,U,263
41140,King Drive,05/25/2018,W,621
41140,King Drive,04/12/2018,W,518
41140,King Drive,04/13/2018,W,483
41140,King Drive,05/27/2018,U,357
41140,King Drive,06/06/2018,W,589
41140,King Drive,06/26/2018,W,530
41140,King Drive,06/01/2018,W,681
41140,King Drive,04/30/2018,W,571
41140,King Drive,05/28/2018,U,282
41140,King Drive,05/15/2018,W,544
41140,King Drive,05/16/2018,W,568
41140,King Drive,06/10/2018,U,262
41140,King Drive,05/13/2018,U,265
41140,King Drive,04/17/2018,W,497
41140,King Drive,04/19/2018,W,487
41140,King Drive,06/15/2018,W,572
41140,King Drive,06/25/2018,W,588
41140,King Drive,05/26/2018,A,434
41140,King Drive,04/07/2018,A,293
41140,King Drive,04/25/2018,W,529
41140,King Drive,06/23/2018,A,365
41140,King Drive,05/01/2018,W,598
41140,King Drive,04/22/2018,U,244
41140,King Drive,04/06/2018,W,502
41140,King Drive,04/09/2018,W,444
41140,King Drive,05/11/2018,W,606
41140,King Drive,04/01/2018,U,228
41140,King Drive,04/21/2018,A,320
41140,King Drive,07/01/2018,U,270
41140,King Drive,07/02/2018,W,567
41140,King Drive,07/03/2018,W,529
41140,King Drive,07/04/2018,U,315
41140,King Drive,07/05/2018,W,475
41140,King Drive,07/06/2018,W,512
41140,King Drive,07/07/2018,A,310
41140,King Drive,07/08/2018,U,279
41140,King Drive,07/09/2018,W,559
41140,King Drive,07/10/2018,W,535
41140,King Drive,07/11/2018,W,567
41140,King Drive,07/12/2018,W,532
41140,King Drive,07/13/2018,W,551
41140,King Drive,07/14/2018,A,330
41140,King Drive,07/15/2018,U,335
41140,King Drive,07/16/2018,W,636
41140,King Drive,07/17/2018,W,554
41140,King Drive,07/18/2018,W,514
41140,King Drive,07/19/2018,W,481
41140,King Drive,07/20/2018,W,498
41140,King Drive,07/21/2018,A,345
41140,King Drive,07/22/2018,U,281
41140,King Drive,07/23/2018,W,554
41140,King Drive,07/24/2018,W,491
41140,King Drive,07/25/2018,W,501
41140,King Drive,07/26/2018,W,543
41140,King Drive,07/27/2018,W,578
41140,King Drive,07/28/2018,A,332
41140,King Drive,07/29/2018,U,262
41140,King Drive,07/30/2018,W,581
41140,King Drive,07/31/2018,W,486
41140,King Drive,08/01/2018,W,543
41140,King Drive,08/02/2018,W,541
41140,King Drive,08/03/2018,W,571
41140,King Drive,08/04/2018,A,377
41140,King Drive,08/05/2018,U,295
41140,King Drive,08/06/2018,W,494
41140,King Drive,08/07/2018,W,495
41140,King Drive,08/08/2018,W,522
41140,King Drive,08/09/2018,W,473
41140,King Drive,08/10/2018,W,526
41140,King Drive,08/11/2018,A,528
41140,King Drive,08/12/2018,U,289
41140,King Drive,08/13/2018,W,524
41140,King Drive,08/14/2018,W,481
41140,King Drive,08/15/2018,W,530
41140,King Drive,08/16/2018,W,510
41140,King Drive,08/17/2018,W,553
41140,King Drive,08/18/2018,A,349
41140,King Drive,08/19/2018,U,286
41140,King Drive,08/20/2018,W,501
41140,King Drive,08/21/2018,W,472
41140,King Drive,08/22/2018,W,575
41140,King Drive,08/23/2018,W,549
41140,King Drive,08/24/2018,W,542
41140,King Drive,08/25/2018,A,349
41140,King Drive,08/26/2018,U,270
41140,King Drive,08/27/2018,W,512
41140,King Drive,08/28/2018,W,535
41140,King Drive,08/29/2018,W,511
41140,King Drive,08/30/2018,W,552
41140,King Drive,08/31/2018,W,580
41140,King Drive,09/01/2018,A,300
41140,King Drive,09/02/2018,U,315
41140,King Drive,09/03/2018,U,276
41140,King Drive,09/04/2018,W,594
41140,King Drive,09/05/2018,W,592
41140,King Drive,09/06/2018,W,565
41140,King Drive,09/07/2018,W,603
41140,King Drive,09/08/2018,A,372
41140,King Drive,09/09/2018,U,272
41140,King Drive,09/10/2018,W,580
41140,King Drive,09/11/2018,W,611
41140,King Drive,09/12/2018,W,662
41140,King Drive,09/13/2018,W,666
41140,King Drive,09/14/2018,W,622
41140,King Drive,09/15/2018,A,19
41140,King Drive,09/16/2018,U,19
41140,King Drive,09/17/2018,W,539
41140,King Drive,09/18/2018,W,582
41140,King Drive,09/19/2018,W,580
41140,King Drive,09/20/2018,W,592
41140,King Drive,09/21/2018,W,648
41140,King Drive,09/22/2018,A,17
41140,King Drive,09/23/2018,U,14
41140,King Drive,09/24/2018,W,537
41140,King Drive,09/25/2018,W,609
41140,King Drive,09/26/2018,W,589
41140,King Drive,09/27/2018,W,586
41140,King Drive,09/28/2018,W,581
41140,King Drive,09/29/2018,A,300
41140,King Drive,09/30/2018,U,241
41140,King Drive,10/01/2018,W,600
41140,King Drive,10/02/2018,W,554
41140,King Drive,10/03/2018,W,562
41140,King Drive,10/04/2018,W,579
41140,King Drive,10/05/2018,W,589
41140,King Drive,10/06/2018,A,319
41140,King Drive,10/07/2018,U,319
41140,King Drive,10/08/2018,W,510
41140,King Drive,10/09/2018,W,612
41140,King Drive,10/10/2018,W,610
41140,King Drive,10/11/2018,W,556
41140,King Drive,10/12/2018,W,574
41140,King Drive,10/13/2018,A,13
41140,King Drive,10/14/2018,U,8
41140,King Drive,10/15/2018,W,496
41140,King Drive,10/16/2018,W,568
41140,King Drive,10/17/2018,W,556
41140,King Drive,10/18/2018,W,557
41140,King Drive,10/19/2018,W,562
41140,King Drive,10/20/2018,A,350
41140,King Drive,10/21/2018,U,226
41140,King Drive,10/22/2018,W,571
41140,King Drive,10/23/2018,W,561
41140,King Drive,10/24/2018,W,563
41140,King Drive,10/25/2018,W,565
41140,King Drive,10/26/2018,W,546
41140,King Drive,10/27/2018,A,25
41140,King Drive,10/28/2018,U,28
41140,King Drive,10/29/2018,W,528
41140,King Drive,10/30/2018,W,550
41140,King Drive,10/31/2018,W,557
