station_id,stationname,date,daytype,rides
40600,Kostner,12/07/2017,W,552
40600,Kostner,12/30/2017,A,226
40600,Kostner,12/19/2017,W,498
40600,Kostner,12/13/2017,W,514
40600,Kostner,12/06/2017,W,577
40600,Kostner,12/09/2017,A,286
40600,Kostner,12/26/2017,W,271
40600,Kostner,12/23/2017,A,231
40600,Kostner,12/27/2017,W,334
40600,Kostner,12/25/2017,U,126
40600,Kostner,12/01/2017,W,602
40600,Kostner,12/21/2017,W,483
40600,Kostner,12/05/2017,W,541
40600,Kostner,12/20/2017,W,503
40600,Kostner,12/22/2017,W,450
40600,Kostner,12/17/2017,U,220
40600,Kostner,12/11/2017,W,487
40600,Kostner,12/18/2017,W,526
40600,Kostner,12/14/2017,W,488
40600,Kostner,12/31/2017,U,163
40600,Kostner,12/15/2017,W,458
40600,Kostner,12/12/2017,W,498
40600,Kostner,12/08/2017,W,532
40600,Kostner,12/29/2017,W,342
40600,Kostner,12/28/2017,W,349
40600,Kostner,12/10/2017,U,210
40600,Kostner,12/02/2017,A,308
40600,Kostner,12/16/2017,A,281
40600,Kostner,12/04/2017,W,555
40600,Kostner,12/03/2017,U,269
40600,Kostner,12/24/2017,U,207
40600,Kostner,02/04/2018,U,144
40600,Kostner,02/08/2018,W,467
40600,Kostner,03/26/2018,W,427
40600,Kostner,02/13/2018,W,486
40600,Kostner,03/15/2018,W,478
40600,Kostner,03/25/2018,U,181
40600,Kostner,01/21/2018,U,179
40600,Kostner,01/15/2018,W,264
40600,Kostner,03/14/2018,W,451
40600,Kostner,02/21/2018,W,489
40600,Kostner,01/24/2018,W,510
40600,Kostner,01/30/2018,W,487
40600,Kostner,01/28/2018,U,176
40600,Kostner,01/07/2018,U,158
40600,Kostner,01/16/2018,W,457
40600,Kostner,03/27/2018,W,380
40600,Kostner,03/19/2018,W,484
40600,Kostner,02/19/2018,W,335
40600,Kostner,01/31/2018,W,515
40600,Kostner,01/05/2018,W,361
40600,Kostner,02/11/2018,U,151
40600,Kostner,02/26/2018,W,489
40600,Kostner,03/03/2018,A,230
40600,Kostner,01/27/2018,A,256
40600,Kostner,03/06/2018,W,458
40600,Kostner,02/12/2018,W,427
40600,Kostner,03/23/2018,W,449
40600,Kostner,02/05/2018,W,446
40600,Kostner,03/21/2018,W,509
40600,Kostner,01/26/2018,W,494
40600,Kostner,02/24/2018,A,234
40600,Kostner,02/22/2018,W,516
40600,Kostner,01/12/2018,W,457
40600,Kostner,02/23/2018,W,482
40600,Kostner,03/11/2018,U,176
40600,Kostner,03/05/2018,W,436
40600,Kostner,02/20/2018,W,473
40600,Kostner,03/02/2018,W,466
40600,Kostner,03/09/2018,W,478
40600,Kostner,02/18/2018,U,187
40600,Kostner,03/01/2018,W,461
40600,Kostner,02/27/2018,W,494
40600,Kostner,02/14/2018,W,424
40600,Kostner,02/10/2018,A,207
40600,Kostner,02/01/2018,W,515
40600,Kostner,01/03/2018,W,344
40600,Kostner,02/25/2018,U,165
40600,Kostner,03/08/2018,W,487
40600,Kostner,02/28/2018,W,512
40600,Kostner,01/09/2018,W,462
40600,Kostner,01/20/2018,A,241
40600,Kostner,01/14/2018,U,167
40600,Kostner,01/25/2018,W,511
40600,Kostner,01/29/2018,W,500
40600,Kostner,03/13/2018,W,476
40600,Kostner,01/06/2018,A,188
40600,Kostner,01/08/2018,W,464
