station_id,stationname,date,daytype,rides
41340,LaSalle,12/16/2017,A,1212
41340,LaSalle,12/26/2017,W,1236
41340,LaSalle,12/05/2017,W,3337
41340,LaSalle,12/25/2017,U,341
41340,LaSalle,12/31/2017,U,589
41340,LaSalle,12/21/2017,W,2456
41340,LaSalle,12/04/2017,W,3372
41340,LaSalle,12/19/2017,W,2706
41340,LaSalle,12/10/2017,U,892
41340,LaSalle,12/02/2017,A,1293
41340,LaSalle,12/28/2017,W,1594
41340,LaSalle,12/12/2017,W,3136
41340,LaSalle,12/23/2017,A,786
41340,LaSalle,12/11/2017,W,3137
41340,LaSalle,12/06/2017,W,3339
41340,LaSalle,12/17/2017,U,800
41340,LaSalle,12/15/2017,W,2900
41340,LaSalle,12/14/2017,W,3115
41340,LaSalle,12/08/2017,W,3067
41340,LaSalle,12/07/2017,W,3353
41340,LaSalle,12/03/2017,U,1071
41340,LaSalle,12/29/2017,W,1601
41340,LaSalle,12/24/2017,U,540
41340,LaSalle,12/22/2017,W,2034
41340,LaSalle,12/13/2017,W,3191
41340,LaSalle,12/18/2017,W,2662
41340,LaSalle,12/20/2017,W,2604
41340,LaSalle,12/09/2017,A,1080
41340,LaSalle,12/27/2017,W,1558
41340,LaSalle,12/30/2017,A,676
41340,LaSalle,12/01/2017,W,3263
41340,LaSalle,02/06/2018,W,3368
41340,LaSalle,02/25/2018,U,886
41340,LaSalle,03/22/2018,W,3038
41340,LaSalle,02/07/2018,W,3247
41340,LaSalle,01/14/2018,U,632
41340,LaSalle,02/01/2018,W,3225
41340,LaSalle,01/04/2018,W,2160
41340,LaSalle,02/27/2018,W,3263
41340,LaSalle,02/26/2018,W,3252
41340,LaSalle,01/09/2018,W,2672
41340,LaSalle,02/04/2018,U,734
41340,LaSalle,03/26/2018,W,2676
41340,LaSalle,01/28/2018,U,794
41340,LaSalle,03/11/2018,U,987
41340,LaSalle,03/12/2018,W,3328
41340,LaSalle,02/05/2018,W,3050
41340,LaSalle,02/12/2018,W,3143
41340,LaSalle,01/10/2018,W,2725
41340,LaSalle,03/02/2018,W,3049
41340,LaSalle,03/21/2018,W,3067
41340,LaSalle,01/07/2018,U,488
41340,LaSalle,03/05/2018,W,3188
41340,LaSalle,03/07/2018,W,3427
41340,LaSalle,03/01/2018,W,3258
41340,LaSalle,03/20/2018,W,3093
41340,LaSalle,01/15/2018,W,1254
41340,LaSalle,03/19/2018,W,3049
41340,LaSalle,02/03/2018,A,905
41340,LaSalle,01/20/2018,A,1475
41340,LaSalle,01/23/2018,W,3329
41340,LaSalle,02/11/2018,U,716
41340,LaSalle,02/18/2018,U,969
41340,LaSalle,02/19/2018,W,2125
41340,LaSalle,03/24/2018,A,1041
41340,LaSalle,02/16/2018,W,3163
41340,LaSalle,03/06/2018,W,3337
41340,LaSalle,03/25/2018,U,1251
41340,LaSalle,01/03/2018,W,2160
41340,LaSalle,03/27/2018,W,2893
41340,LaSalle,02/21/2018,W,3319
41340,LaSalle,01/02/2018,W,1896
41340,LaSalle,01/08/2018,W,2555
41340,LaSalle,02/08/2018,W,3342
41340,LaSalle,02/09/2018,W,1959
41340,LaSalle,01/16/2018,W,2995
41340,LaSalle,02/24/2018,A,1090
41340,LaSalle,01/29/2018,W,3285
41340,LaSalle,03/08/2018,W,3339
41340,LaSalle,02/17/2018,A,1117
41340,LaSalle,02/23/2018,W,3055
41340,LaSalle,03/29/2018,W,2821
41340,LaSalle,02/10/2018,A,927
41340,LaSalle,01/31/2018,W,3273
41340,LaSalle,01/21/2018,U,714
41340,LaSalle,03/10/2018,A,1248
41340,LaSalle,01/17/2018,W,3009
41340,LaSalle,01/19/2018,W,2798
41340,LaSalle,01/27/2018,A,1104
41340,LaSalle,02/15/2018,W,3318
41340,LaSalle,03/03/2018,A,1182
