station_id,stationname,date,daytype,rides
40700,Laramie,12/01/2017,W,1233
40700,Laramie,12/19/2017,W,1224
40700,Laramie,12/05/2017,W,1211
40700,Laramie,12/12/2017,W,1131
40700,Laramie,12/27/2017,W,728
40700,Laramie,12/31/2017,U,465
40700,Laramie,12/03/2017,U,557
40700,Laramie,12/17/2017,U,580
40700,Laramie,12/14/2017,W,1192
40700,Laramie,12/26/2017,W,675
40700,Laramie,12/30/2017,A,553
40700,Laramie,12/28/2017,W,772
40700,Laramie,12/13/2017,W,1181
40700,Laramie,12/04/2017,W,1232
40700,Laramie,12/20/2017,W,1118
40700,Laramie,12/23/2017,A,708
40700,Laramie,12/25/2017,U,347
40700,Laramie,12/11/2017,W,1101
40700,Laramie,12/22/2017,W,1125
40700,Laramie,12/07/2017,W,1138
40700,Laramie,12/29/2017,W,847
40700,Laramie,12/10/2017,U,540
40700,Laramie,12/02/2017,A,829
40700,Laramie,12/18/2017,W,1123
40700,Laramie,12/16/2017,A,732
40700,Laramie,12/06/2017,W,1266
40700,Laramie,12/15/2017,W,1176
40700,Laramie,12/09/2017,A,652
40700,Laramie,12/08/2017,W,1186
40700,Laramie,12/21/2017,W,1145
40700,Laramie,12/24/2017,U,444
40700,Laramie,01/29/2018,W,1142
40700,Laramie,01/23/2018,W,1140
40700,Laramie,01/18/2018,W,1145
40700,Laramie,02/24/2018,A,747
40700,Laramie,03/27/2018,W,1002
40700,Laramie,02/20/2018,W,1124
40700,Laramie,01/28/2018,U,500
40700,Laramie,03/03/2018,A,691
40700,Laramie,01/13/2018,A,585
40700,Laramie,01/05/2018,W,845
40700,Laramie,02/19/2018,W,826
40700,Laramie,02/11/2018,U,417
40700,Laramie,01/02/2018,W,714
40700,Laramie,01/10/2018,W,1162
40700,Laramie,02/15/2018,W,1226
40700,Laramie,03/26/2018,W,984
40700,Laramie,03/18/2018,U,508
40700,Laramie,01/30/2018,W,1151
40700,Laramie,02/23/2018,W,1144
40700,Laramie,03/31/2018,A,631
40700,Laramie,03/14/2018,W,1137
40700,Laramie,03/01/2018,W,1146
40700,Laramie,02/22/2018,W,1260
40700,Laramie,03/12/2018,W,1021
40700,Laramie,03/10/2018,A,665
40700,Laramie,02/07/2018,W,1088
40700,Laramie,02/05/2018,W,971
40700,Laramie,02/18/2018,U,503
40700,Laramie,02/04/2018,U,429
40700,Laramie,02/10/2018,A,592
40700,Laramie,01/22/2018,W,1108
40700,Laramie,01/04/2018,W,793
40700,Laramie,01/20/2018,A,678
40700,Laramie,03/02/2018,W,1185
40700,Laramie,02/03/2018,A,643
40700,Laramie,03/07/2018,W,1149
40700,Laramie,03/04/2018,U,535
40700,Laramie,03/15/2018,W,1175
40700,Laramie,01/12/2018,W,1052
40700,Laramie,03/13/2018,W,1089
40700,Laramie,01/15/2018,W,599
40700,Laramie,01/19/2018,W,1142
40700,Laramie,02/13/2018,W,1186
40700,Laramie,01/25/2018,W,1176
40700,Laramie,02/02/2018,W,984
40700,Laramie,02/26/2018,W,1192
40700,Laramie,03/08/2018,W,1121
40700,Laramie,03/05/2018,W,1071
40700,Laramie,03/11/2018,U,502
40700,Laramie,01/24/2018,W,1175
40700,Laramie,01/03/2018,W,796
40700,Laramie,01/01/2018,U,332
40700,Laramie,01/09/2018,W,1112
40700,Laramie,01/17/2018,W,1087
40700,Laramie,03/20/2018,W,1134
40700,Laramie,03/23/2018,W,1074
40700,Laramie,02/06/2018,W,1077
40700,Laramie,03/30/2018,W,965
40700,Laramie,03/28/2018,W,988
40700,Laramie,03/25/2018,U,451
40700,Laramie,01/16/2018,W,1089
40700,Laramie,01/11/2018,W,1120
40700,Laramie,02/01/2018,W,1200
40700,Laramie,02/17/2018,A,694
40700,Laramie,02/21/2018,W,1245
40700,Laramie,02/09/2018,W,684
40700,Laramie,01/07/2018,U,420
40700,Laramie,02/08/2018,W,1095
40700,Laramie,01/14/2018,U,444
40700,Laramie,03/19/2018,W,1087
40700,Laramie,03/21/2018,W,1135
