station_id,stationname,date,daytype,rides
40850,Library,12/25/2017,U,392
40850,Library,12/15/2017,W,3109
40850,Library,12/05/2017,W,3767
40850,Library,12/31/2017,U,778
40850,Library,12/23/2017,A,1033
40850,Library,12/11/2017,W,3495
40850,Library,12/02/2017,A,1868
40850,Library,12/04/2017,W,3681
40850,Library,12/08/2017,W,3360
40850,Library,12/24/2017,U,706
40850,Library,12/27/2017,W,1656
40850,Library,12/10/2017,U,1146
40850,Library,12/01/2017,W,3569
40850,Library,12/03/2017,U,1480
40850,Library,12/17/2017,U,1059
40850,Library,12/19/2017,W,3110
40850,Library,12/13/2017,W,3489
40850,Library,12/12/2017,W,3514
40850,Library,12/30/2017,A,1056
40850,Library,12/18/2017,W,3045
40850,Library,12/14/2017,W,3659
40850,Library,12/20/2017,W,2969
40850,Library,12/07/2017,W,3721
40850,Library,12/21/2017,W,2871
40850,Library,12/06/2017,W,3681
40850,Library,12/09/2017,A,1823
40850,Library,12/29/2017,W,1809
40850,Library,12/26/2017,W,1342
40850,Library,12/28/2017,W,1897
40850,Library,12/16/2017,A,1542
40850,Library,12/22/2017,W,2298
40850,Library,03/24/2018,A,1741
40850,Library,02/05/2018,W,3537
40850,Library,01/21/2018,U,1049
40850,Library,01/02/2018,W,2343
40850,Library,01/01/2018,U,561
40850,Library,02/20/2018,W,3938
40850,Library,01/13/2018,A,1408
40850,Library,03/25/2018,U,1793
40850,Library,03/07/2018,W,3742
40850,Library,02/28/2018,W,3896
40850,Library,01/09/2018,W,3492
40850,Library,01/11/2018,W,3320
40850,Library,03/26/2018,W,3541
40850,Library,01/16/2018,W,3605
40850,Library,03/21/2018,W,3469
40850,Library,03/23/2018,W,3009
40850,Library,02/25/2018,U,1176
40850,Library,01/12/2018,W,2776
40850,Library,02/11/2018,U,999
40850,Library,02/06/2018,W,3847
40850,Library,02/26/2018,W,3844
40850,Library,02/14/2018,W,3776
40850,Library,01/20/2018,A,2900
40850,Library,01/26/2018,W,3230
40850,Library,01/30/2018,W,4002
40850,Library,01/18/2018,W,3508
40850,Library,03/29/2018,W,3511
40850,Library,02/08/2018,W,3821
40850,Library,01/17/2018,W,3598
40850,Library,01/29/2018,W,3829
40850,Library,02/15/2018,W,3843
40850,Library,01/04/2018,W,2770
40850,Library,01/22/2018,W,3809
40850,Library,03/04/2018,U,1046
40850,Library,02/24/2018,A,1606
40850,Library,03/31/2018,A,1396
40850,Library,03/09/2018,W,3102
40850,Library,01/19/2018,W,2982
40850,Library,02/16/2018,W,3443
40850,Library,03/08/2018,W,3709
40850,Library,01/31/2018,W,3880
40850,Library,03/30/2018,W,2666
40850,Library,03/10/2018,A,1571
40850,Library,01/08/2018,W,3301
40850,Library,02/03/2018,A,1458
40850,Library,02/02/2018,W,2872
40850,Library,01/05/2018,W,2329
40850,Library,02/19/2018,W,2511
40850,Library,03/17/2018,A,2969
40850,Library,02/07/2018,W,3809
40850,Library,01/06/2018,A,1117
40850,Library,03/16/2018,W,3240
40850,Library,03/12/2018,W,3682
40850,Library,03/20/2018,W,3595
40850,Library,03/28/2018,W,3664
40850,Library,01/03/2018,W,2607
40850,Library,02/27/2018,W,4013
40850,Library,03/03/2018,A,1827
40850,Library,03/22/2018,W,3450
40850,Library,01/24/2018,W,3866
40850,Library,01/28/2018,U,1106
40850,Library,03/05/2018,W,3313
40850,Library,03/11/2018,U,1179
40850,Library,03/18/2018,U,1392
40850,Library,01/15/2018,W,1541
40850,Library,03/14/2018,W,3857
40850,Library,03/13/2018,W,3858
40850,Library,02/09/2018,W,2101
40850,Library,03/27/2018,W,3793
40850,Library,03/01/2018,W,3805
40850,Library,03/06/2018,W,3802
40850,Library,02/23/2018,W,3259
40850,Library,01/07/2018,U,833
40850,Library,02/01/2018,W,3789
40850,Library,03/15/2018,W,3901
40850,Library,01/27/2018,A,1669
40850,Library,02/17/2018,A,1751
40850,Library,02/04/2018,U,910
40850,Library,01/10/2018,W,3424
40850,Library,02/21/2018,W,3962
40850,Library,03/02/2018,W,3248
40850,Library,02/22/2018,W,3937
40850,Library,02/10/2018,A,1525
40850,Library,02/12/2018,W,3485
40850,Library,03/19/2018,W,3552
40850,Library,01/14/2018,U,987
40850,Library,01/25/2018,W,3969
40850,Library,02/18/2018,U,1144
40850,Library,01/23/2018,W,3905
40850,Library,02/13/2018,W,4221
40850,Library,04/24/2018,W,4051
40850,Library,05/10/2018,W,3894
40850,Library,06/30/2018,A,2177
40850,Library,05/27/2018,U,1432
40850,Library,04/11/2018,W,3935
40850,Library,04/05/2018,W,3858
40850,Library,05/08/2018,W,3977
40850,Library,04/08/2018,U,1027
40850,Library,04/13/2018,W,3182
40850,Library,05/05/2018,A,1916
40850,Library,05/01/2018,W,3878
40850,Library,04/20/2018,W,3352
40850,Library,05/26/2018,A,1924
40850,Library,05/21/2018,W,3353
40850,Library,04/27/2018,W,3207
40850,Library,06/14/2018,W,3516
40850,Library,04/03/2018,W,3729
40850,Library,06/19/2018,W,3558
40850,Library,04/04/2018,W,3925
40850,Library,06/10/2018,U,1561
40850,Library,05/04/2018,W,3402
40850,Library,05/25/2018,W,3249
40850,Library,04/25/2018,W,3806
40850,Library,05/18/2018,W,3116
40850,Library,06/12/2018,W,3725
40850,Library,05/11/2018,W,3576
40850,Library,04/23/2018,W,3625
40850,Library,06/21/2018,W,3393
40850,Library,05/07/2018,W,3734
40850,Library,05/24/2018,W,4121
40850,Library,06/05/2018,W,3731
40850,Library,04/15/2018,U,1109
40850,Library,06/11/2018,W,3623
40850,Library,04/12/2018,W,3960
40850,Library,06/29/2018,W,3260
40850,Library,05/06/2018,U,1315
40850,Library,05/19/2018,A,1724
40850,Library,06/17/2018,U,1167
40850,Library,06/20/2018,W,3474
40850,Library,06/01/2018,W,3532
40850,Library,06/02/2018,A,1848
40850,Library,06/03/2018,U,1317
40850,Library,05/29/2018,W,3754
40850,Library,06/22/2018,W,3293
40850,Library,05/13/2018,U,1081
40850,Library,06/23/2018,A,1811
