station_id,stationname,date,daytype,rides
41020,Logan Square,12/18/2017,W,7095
41020,Logan Square,12/02/2017,A,4518
41020,Logan Square,12/20/2017,W,7291
41020,Logan Square,12/11/2017,W,7372
41020,Logan Square,12/26/2017,W,2938
41020,Logan Square,12/16/2017,A,4341
41020,Logan Square,12/10/2017,U,3153
41020,Logan Square,12/28/2017,W,4744
41020,Logan Square,12/06/2017,W,7591
41020,Logan Square,12/15/2017,W,7266
41020,Logan Square,12/30/2017,A,2825
41020,Logan Square,12/24/2017,U,1910
41020,Logan Square,12/12/2017,W,7359
41020,Logan Square,12/31/2017,U,2593
41020,Logan Square,12/27/2017,W,4154
41020,Logan Square,12/21/2017,W,7011
41020,Logan Square,12/01/2017,W,7984
41020,Logan Square,12/03/2017,U,3324
41020,Logan Square,12/05/2017,W,7521
41020,Logan Square,12/08/2017,W,7872
41020,Logan Square,12/22/2017,W,6092
41020,Logan Square,12/23/2017,A,3379
41020,Logan Square,12/13/2017,W,7184
41020,Logan Square,12/04/2017,W,7602
41020,Logan Square,12/07/2017,W,7698
41020,Logan Square,12/14/2017,W,7690
41020,Logan Square,12/25/2017,U,1039
41020,Logan Square,12/19/2017,W,7247
41020,Logan Square,12/17/2017,U,3133
41020,Logan Square,12/29/2017,W,4729
41020,Logan Square,12/09/2017,A,4320
41020,Logan Square,02/24/2018,A,3847
41020,Logan Square,01/19/2018,W,7342
41020,Logan Square,03/12/2018,W,7165
41020,Logan Square,03/17/2018,A,5394
41020,Logan Square,01/15/2018,W,4610
41020,Logan Square,02/19/2018,W,5476
41020,Logan Square,01/06/2018,A,3002
41020,Logan Square,01/02/2018,W,5579
41020,Logan Square,03/30/2018,W,6565
41020,Logan Square,03/27/2018,W,7221
41020,Logan Square,03/13/2018,W,7456
41020,Logan Square,02/25/2018,U,2997
41020,Logan Square,02/27/2018,W,7525
41020,Logan Square,01/11/2018,W,7121
41020,Logan Square,02/18/2018,U,2938
41020,Logan Square,01/01/2018,U,2028
41020,Logan Square,01/14/2018,U,2549
41020,Logan Square,03/03/2018,A,3964
41020,Logan Square,02/17/2018,A,3840
41020,Logan Square,03/31/2018,A,3536
41020,Logan Square,01/25/2018,W,7583
41020,Logan Square,02/28/2018,W,7429
41020,Logan Square,02/04/2018,U,2399
41020,Logan Square,02/09/2018,W,5281
41020,Logan Square,01/22/2018,W,7103
41020,Logan Square,02/08/2018,W,7384
41020,Logan Square,03/24/2018,A,3819
41020,Logan Square,02/11/2018,U,2773
41020,Logan Square,02/03/2018,A,3295
41020,Logan Square,02/20/2018,W,7207
41020,Logan Square,01/16/2018,W,7128
41020,Logan Square,01/31/2018,W,7320
41020,Logan Square,01/29/2018,W,6951
41020,Logan Square,01/17/2018,W,7150
41020,Logan Square,03/05/2018,W,7050
41020,Logan Square,02/21/2018,W,7570
41020,Logan Square,03/29/2018,W,7299
41020,Logan Square,01/28/2018,U,2724
41020,Logan Square,03/19/2018,W,7203
41020,Logan Square,02/16/2018,W,7336
41020,Logan Square,03/15/2018,W,7678
41020,Logan Square,01/12/2018,W,7083
41020,Logan Square,02/02/2018,W,6924
41020,Logan Square,03/20/2018,W,7389
41020,Logan Square,01/27/2018,A,3841
41020,Logan Square,02/01/2018,W,7428
41020,Logan Square,01/21/2018,U,2616
41020,Logan Square,02/26/2018,W,7291
41020,Logan Square,02/15/2018,W,7467
41020,Logan Square,01/09/2018,W,6823
41020,Logan Square,03/22/2018,W,7679
41020,Logan Square,01/30/2018,W,7289
41020,Logan Square,03/07/2018,W,7488
41020,Logan Square,02/14/2018,W,7519
41020,Logan Square,03/18/2018,U,3052
41020,Logan Square,02/10/2018,A,3754
41020,Logan Square,01/03/2018,W,6274
41020,Logan Square,03/23/2018,W,7271
41020,Logan Square,03/09/2018,W,7403
41020,Logan Square,01/23/2018,W,7506
41020,Logan Square,03/01/2018,W,7395
41020,Logan Square,01/24/2018,W,7347
41020,Logan Square,01/18/2018,W,7283
41020,Logan Square,02/23/2018,W,7400
41020,Logan Square,03/16/2018,W,7509
41020,Logan Square,03/11/2018,U,2783
41020,Logan Square,02/13/2018,W,7420
41020,Logan Square,01/20/2018,A,4609
41020,Logan Square,01/05/2018,W,6221
41020,Logan Square,02/07/2018,W,7410
41020,Logan Square,02/22/2018,W,7608
41020,Logan Square,03/04/2018,U,2839
41020,Logan Square,03/14/2018,W,7536
41020,Logan Square,01/08/2018,W,6769
41020,Logan Square,03/25/2018,U,3128
41020,Logan Square,02/06/2018,W,7301
41020,Logan Square,03/02/2018,W,7523
41020,Logan Square,02/12/2018,W,7114
41020,Logan Square,01/10/2018,W,7052
41020,Logan Square,02/05/2018,W,6804
41020,Logan Square,03/06/2018,W,7401
41020,Logan Square,03/10/2018,A,4005
41020,Logan Square,03/28/2018,W,7222
41020,Logan Square,01/13/2018,A,3458
41020,Logan Square,03/26/2018,W,6803
41020,Logan Square,01/04/2018,W,6295
41020,Logan Square,01/07/2018,U,2271
41020,Logan Square,03/08/2018,W,7648
41020,Logan Square,03/21/2018,W,7419
41020,Logan Square,01/26/2018,W,7464
41020,Logan Square,04/22/2018,U,2861
41020,Logan Square,06/08/2018,W,7549
41020,Logan Square,04/10/2018,W,7403
41020,Logan Square,05/03/2018,W,7509
41020,Logan Square,05/08/2018,W,7428
41020,Logan Square,05/24/2018,W,7390
41020,Logan Square,06/25/2018,W,7200
41020,Logan Square,06/02/2018,A,4132
41020,Logan Square,05/02/2018,W,7243
41020,Logan Square,06/22/2018,W,7445
41020,Logan Square,05/31/2018,W,7463
41020,Logan Square,05/01/2018,W,7390
41020,Logan Square,06/23/2018,A,4904
41020,Logan Square,05/13/2018,U,2954
41020,Logan Square,05/21/2018,W,6650
41020,Logan Square,05/18/2018,W,7234
41020,Logan Square,05/04/2018,W,7362
41020,Logan Square,06/20/2018,W,7391
41020,Logan Square,06/30/2018,A,4333
41020,Logan Square,04/11/2018,W,7404
