station_id,stationname,date,daytype,rides
40460,Merchandise Mart,12/30/2017,A,1028
40460,Merchandise Mart,12/14/2017,W,7894
40460,Merchandise Mart,12/01/2017,W,7965
40460,Merchandise Mart,12/22/2017,W,4400
40460,Merchandise Mart,12/13/2017,W,8337
40460,Merchandise Mart,12/17/2017,U,1082
40460,Merchandise Mart,12/27/2017,W,3588
40460,Merchandise Mart,12/19/2017,W,8071
40460,Merchandise Mart,12/31/2017,U,834
40460,Merchandise Mart,12/02/2017,A,2080
40460,Merchandise Mart,12/09/2017,A,3313
40460,Merchandise Mart,12/23/2017,A,950
40460,Merchandise Mart,12/25/2017,U,260
40460,Merchandise Mart,12/21/2017,W,6780
40460,Merchandise Mart,12/08/2017,W,8951
40460,Merchandise Mart,12/15/2017,W,7206
40460,Merchandise Mart,12/05/2017,W,8747
40460,Merchandise Mart,12/04/2017,W,8559
40460,Merchandise Mart,12/26/2017,W,2071
40460,Merchandise Mart,12/18/2017,W,7909
40460,Merchandise Mart,12/29/2017,W,3404
40460,Merchandise Mart,12/12/2017,W,8456
40460,Merchandise Mart,12/10/2017,U,2262
40460,Merchandise Mart,12/28/2017,W,3965
40460,Merchandise Mart,12/16/2017,A,1742
40460,Merchandise Mart,12/07/2017,W,9189
40460,Merchandise Mart,12/03/2017,U,1136
40460,Merchandise Mart,12/24/2017,U,479
40460,Merchandise Mart,12/06/2017,W,8676
40460,Merchandise Mart,12/11/2017,W,8508
40460,Merchandise Mart,12/20/2017,W,7643
40460,Merchandise Mart,01/10/2018,W,9008
40460,Merchandise Mart,03/07/2018,W,8824
40460,Merchandise Mart,03/15/2018,W,8913
40460,Merchandise Mart,03/22/2018,W,8705
40460,Merchandise Mart,02/20/2018,W,8853
40460,Merchandise Mart,01/28/2018,U,1161
40460,Merchandise Mart,02/01/2018,W,8501
40460,Merchandise Mart,01/23/2018,W,9081
40460,Merchandise Mart,03/29/2018,W,8348
40460,Merchandise Mart,01/21/2018,U,972
40460,Merchandise Mart,02/18/2018,U,1179
40460,Merchandise Mart,03/31/2018,A,1462
40460,Merchandise Mart,02/05/2018,W,8923
40460,Merchandise Mart,02/21/2018,W,9030
40460,Merchandise Mart,01/22/2018,W,8781
40460,Merchandise Mart,03/13/2018,W,9020
40460,Merchandise Mart,02/27/2018,W,8851
40460,Merchandise Mart,03/18/2018,U,1474
40460,Merchandise Mart,01/16/2018,W,8843
40460,Merchandise Mart,01/30/2018,W,9029
40460,Merchandise Mart,01/20/2018,A,1824
40460,Merchandise Mart,02/14/2018,W,9099
40460,Merchandise Mart,01/18/2018,W,8944
40460,Merchandise Mart,03/05/2018,W,8723
40460,Merchandise Mart,01/24/2018,W,8914
40460,Merchandise Mart,01/06/2018,A,1158
40460,Merchandise Mart,01/01/2018,U,825
40460,Merchandise Mart,02/08/2018,W,9028
40460,Merchandise Mart,02/04/2018,U,1052
40460,Merchandise Mart,03/27/2018,W,8352
40460,Merchandise Mart,02/23/2018,W,8067
40460,Merchandise Mart,03/25/2018,U,1161
40460,Merchandise Mart,01/17/2018,W,8955
40460,Merchandise Mart,02/17/2018,A,1584
40460,Merchandise Mart,02/28/2018,W,8844
40460,Merchandise Mart,03/09/2018,W,7776
40460,Merchandise Mart,02/16/2018,W,7808
40460,Merchandise Mart,02/19/2018,W,4957
40460,Merchandise Mart,03/08/2018,W,8728
40460,Merchandise Mart,02/03/2018,A,1619
40460,Merchandise Mart,02/11/2018,U,1157
40460,Merchandise Mart,02/12/2018,W,8999
40460,Merchandise Mart,01/08/2018,W,8770
40460,Merchandise Mart,02/09/2018,W,4885
40460,Merchandise Mart,03/17/2018,A,5386
40460,Merchandise Mart,01/14/2018,U,959
40460,Merchandise Mart,01/27/2018,A,1741
40460,Merchandise Mart,01/02/2018,W,6667
40460,Merchandise Mart,01/15/2018,W,4229
40460,Merchandise Mart,03/02/2018,W,7879
40460,Merchandise Mart,01/25/2018,W,8859
40460,Merchandise Mart,01/12/2018,W,7563
40460,Merchandise Mart,03/30/2018,W,6392
40460,Merchandise Mart,03/01/2018,W,8765
40460,Merchandise Mart,02/25/2018,U,1100
40460,Merchandise Mart,03/12/2018,W,8828
40460,Merchandise Mart,02/15/2018,W,8807
40460,Merchandise Mart,03/21/2018,W,8768
40460,Merchandise Mart,02/22/2018,W,8673
40460,Merchandise Mart,01/13/2018,A,1362
40460,Merchandise Mart,01/11/2018,W,8698
40460,Merchandise Mart,01/19/2018,W,8221
40460,Merchandise Mart,03/06/2018,W,8812
40460,Merchandise Mart,02/24/2018,A,1606
40460,Merchandise Mart,01/29/2018,W,8970
40460,Merchandise Mart,01/26/2018,W,7853
40460,Merchandise Mart,03/24/2018,A,1733
40460,Merchandise Mart,03/14/2018,W,9211
40460,Merchandise Mart,01/05/2018,W,7324
40460,Merchandise Mart,03/20/2018,W,8906
40460,Merchandise Mart,01/07/2018,U,845
40460,Merchandise Mart,03/10/2018,A,1959
40460,Merchandise Mart,03/28/2018,W,8387
40460,Merchandise Mart,02/07/2018,W,8904
40460,Merchandise Mart,01/31/2018,W,8816
40460,Merchandise Mart,03/04/2018,U,1148
40460,Merchandise Mart,02/02/2018,W,7597
40460,Merchandise Mart,03/26/2018,W,8379
40460,Merchandise Mart,02/26/2018,W,8742
40460,Merchandise Mart,02/06/2018,W,8881
40460,Merchandise Mart,03/11/2018,U,1139
40460,Merchandise Mart,03/19/2018,W,8863
40460,Merchandise Mart,01/03/2018,W,7803
40460,Merchandise Mart,03/23/2018,W,7770
40460,Merchandise Mart,03/03/2018,A,1797
40460,Merchandise Mart,02/13/2018,W,9348
40460,Merchandise Mart,02/10/2018,A,1643
40460,Merchandise Mart,01/09/2018,W,8710
40460,Merchandise Mart,01/04/2018,W,7971
40460,Merchandise Mart,03/16/2018,W,8239
40460,Merchandise Mart,05/20/2018,U,1072
40460,Merchandise Mart,06/23/2018,A,1973
40460,Merchandise Mart,06/01/2018,W,7988
40460,Merchandise Mart,05/15/2018,W,8703
40460,Merchandise Mart,05/03/2018,W,8476
40460,Merchandise Mart,04/27/2018,W,8378
40460,Merchandise Mart,04/08/2018,U,1174
40460,Merchandise Mart,06/29/2018,W,8186
40460,Merchandise Mart,04/09/2018,W,8731
40460,Merchandise Mart,05/13/2018,U,1118
40460,Merchandise Mart,06/02/2018,A,1675
40460,Merchandise Mart,05/14/2018,W,8267
40460,Merchandise Mart,06/20/2018,W,9055
40460,Merchandise Mart,06/27/2018,W,8982
40460,Merchandise Mart,04/21/2018,A,1724
40460,Merchandise Mart,05/21/2018,W,8499
40460,Merchandise Mart,04/30/2018,W,8359
40460,Merchandise Mart,04/26/2018,W,8788
40460,Merchandise Mart,05/16/2018,W,8809
40460,Merchandise Mart,05/07/2018,W,8733
40460,Merchandise Mart,06/11/2018,W,9968
40460,Merchandise Mart,06/15/2018,W,7835
40460,Merchandise Mart,05/09/2018,W,8902
40460,Merchandise Mart,04/25/2018,W,8606
40460,Merchandise Mart,04/07/2018,A,1783
40460,Merchandise Mart,04/15/2018,U,1154
40460,Merchandise Mart,06/09/2018,A,2287
40460,Merchandise Mart,06/19/2018,W,9261
40460,Merchandise Mart,06/18/2018,W,8935
40460,Merchandise Mart,04/01/2018,U,855
40460,Merchandise Mart,05/10/2018,W,8671
40460,Merchandise Mart,05/25/2018,W,6438
40460,Merchandise Mart,06/22/2018,W,7934
40460,Merchandise Mart,06/17/2018,U,1070
40460,Merchandise Mart,04/14/2018,A,1763
40460,Merchandise Mart,05/08/2018,W,9000
40460,Merchandise Mart,06/05/2018,W,9419
40460,Merchandise Mart,05/11/2018,W,7887
40460,Merchandise Mart,04/17/2018,W,9021
40460,Merchandise Mart,05/22/2018,W,9106
40460,Merchandise Mart,06/06/2018,W,9327
40460,Merchandise Mart,04/10/2018,W,9103
40460,Merchandise Mart,06/04/2018,W,8618
40460,Merchandise Mart,06/13/2018,W,9592
40460,Merchandise Mart,05/26/2018,A,1966
40460,Merchandise Mart,06/10/2018,U,1664
40460,Merchandise Mart,04/02/2018,W,8514
40460,Merchandise Mart,06/08/2018,W,8136
40460,Merchandise Mart,05/19/2018,A,1776
40460,Merchandise Mart,04/11/2018,W,8738
40460,Merchandise Mart,04/22/2018,U,1017
40460,Merchandise Mart,04/06/2018,W,7671
40460,Merchandise Mart,04/18/2018,W,8709
40460,Merchandise Mart,04/19/2018,W,8731
40460,Merchandise Mart,04/20/2018,W,7729
40460,Merchandise Mart,05/06/2018,U,1158
40460,Merchandise Mart,05/30/2018,W,8854
40460,Merchandise Mart,05/29/2018,W,8673
40460,Merchandise Mart,05/12/2018,A,1744
40460,Merchandise Mart,04/23/2018,W,8089
40460,Merchandise Mart,04/24/2018,W,8685
40460,Merchandise Mart,06/28/2018,W,8798
40460,Merchandise Mart,06/30/2018,A,1970
40460,Merchandise Mart,05/28/2018,U,1075
40460,Merchandise Mart,04/16/2018,W,8797
40460,Merchandise Mart,05/23/2018,W,8913
40460,Merchandise Mart,06/21/2018,W,8842
40460,Merchandise Mart,05/24/2018,W,8426
40460,Merchandise Mart,06/07/2018,W,9193
40460,Merchandise Mart,04/29/2018,U,1810
40460,Merchandise Mart,04/28/2018,A,2789
40460,Merchandise Mart,06/12/2018,W,10333
40460,Merchandise Mart,04/13/2018,W,7754
40460,Merchandise Mart,05/27/2018,U,1328
40460,Merchandise Mart,05/05/2018,A,1750
40460,Merchandise Mart,06/24/2018,U,1502
40460,Merchandise Mart,05/31/2018,W,8904
40460,Merchandise Mart,05/17/2018,W,8690
40460,Merchandise Mart,05/02/2018,W,8544
40460,Merchandise Mart,06/14/2018,W,8924
40460,Merchandise Mart,04/05/2018,W,9062
40460,Merchandise Mart,06/16/2018,A,1745
40460,Merchandise Mart,04/03/2018,W,8780
40460,Merchandise Mart,05/18/2018,W,7762
40460,Merchandise Mart,05/01/2018,W,8714
40460,Merchandise Mart,04/12/2018,W,8655
40460,Merchandise Mart,06/25/2018,W,8746
40460,Merchandise Mart,06/26/2018,W,8935
40460,Merchandise Mart,06/03/2018,U,1240
40460,Merchandise Mart,05/04/2018,W,7341
40460,Merchandise Mart,04/04/2018,W,8950
40460,Merchandise Mart,07/01/2018,U,1263
40460,Merchandise Mart,07/02/2018,W,7976
40460,Merchandise Mart,07/03/2018,W,7412
40460,Merchandise Mart,07/04/2018,U,1230
40460,Merchandise Mart,07/05/2018,W,6297
40460,Merchandise Mart,07/06/2018,W,6218
40460,Merchandise Mart,07/07/2018,A,1819
40460,Merchandise Mart,07/08/2018,U,1193
40460,Merchandise Mart,07/09/2018,W,8731
40460,Merchandise Mart,07/10/2018,W,8854
40460,Merchandise Mart,07/11/2018,W,8723
40460,Merchandise Mart,07/12/2018,W,8411
40460,Merchandise Mart,07/13/2018,W,8239
40460,Merchandise Mart,07/14/2018,A,2000
40460,Merchandise Mart,07/15/2018,U,1572
40460,Merchandise Mart,07/16/2018,W,8899
40460,Merchandise Mart,07/17/2018,W,8829
40460,Merchandise Mart,07/18/2018,W,8858
40460,Merchandise Mart,07/19/2018,W,8817
40460,Merchandise Mart,07/20/2018,W,7823
40460,Merchandise Mart,07/21/2018,A,2036
40460,Merchandise Mart,07/22/2018,U,1303
40460,Merchandise Mart,07/23/2018,W,8593
40460,Merchandise Mart,07/24/2018,W,8804
40460,Merchandise Mart,07/25/2018,W,8837
40460,Merchandise Mart,07/26/2018,W,8653
40460,Merchandise Mart,07/27/2018,W,7894
40460,Merchandise Mart,07/28/2018,A,1821
40460,Merchandise Mart,07/29/2018,U,1649
40460,Merchandise Mart,07/30/2018,W,8678
40460,Merchandise Mart,07/31/2018,W,8709
40460,Merchandise Mart,08/01/2018,W,8829
40460,Merchandise Mart,08/02/2018,W,9176
40460,Merchandise Mart,08/03/2018,W,7879
40460,Merchandise Mart,08/04/2018,A,2102
40460,Merchandise Mart,08/05/2018,U,1605
40460,Merchandise Mart,08/06/2018,W,8452
40460,Merchandise Mart,08/07/2018,W,8891
40460,Merchandise Mart,08/08/2018,W,8350
40460,Merchandise Mart,08/09/2018,W,8442
40460,Merchandise Mart,08/10/2018,W,7597
40460,Merchandise Mart,08/11/2018,A,2218
40460,Merchandise Mart,08/12/2018,U,1404
40460,Merchandise Mart,08/13/2018,W,8202
40460,Merchandise Mart,08/14/2018,W,8570
40460,Merchandise Mart,08/15/2018,W,8490
40460,Merchandise Mart,08/16/2018,W,8261
40460,Merchandise Mart,08/17/2018,W,7372
40460,Merchandise Mart,08/18/2018,A,2069
40460,Merchandise Mart,08/19/2018,U,1281
40460,Merchandise Mart,08/20/2018,W,8527
40460,Merchandise Mart,08/21/2018,W,8402
40460,Merchandise Mart,08/22/2018,W,8247
40460,Merchandise Mart,08/23/2018,W,8733
40460,Merchandise Mart,08/24/2018,W,7630
40460,Merchandise Mart,08/25/2018,A,1752
40460,Merchandise Mart,08/26/2018,U,1205
40460,Merchandise Mart,08/27/2018,W,8674
40460,Merchandise Mart,08/28/2018,W,9027
40460,Merchandise Mart,08/29/2018,W,8899
40460,Merchandise Mart,08/30/2018,W,8321
40460,Merchandise Mart,08/31/2018,W,6383
40460,Merchandise Mart,09/01/2018,A,1578
40460,Merchandise Mart,09/02/2018,U,1266
40460,Merchandise Mart,09/03/2018,U,982
40460,Merchandise Mart,09/04/2018,W,8483
40460,Merchandise Mart,09/05/2018,W,8979
40460,Merchandise Mart,09/06/2018,W,8914
40460,Merchandise Mart,09/07/2018,W,8357
40460,Merchandise Mart,09/08/2018,A,1948
40460,Merchandise Mart,09/09/2018,U,1177
40460,Merchandise Mart,09/10/2018,W,8871
40460,Merchandise Mart,09/11/2018,W,9135
40460,Merchandise Mart,09/12/2018,W,9162
40460,Merchandise Mart,09/13/2018,W,8753
40460,Merchandise Mart,09/14/2018,W,8017
40460,Merchandise Mart,09/15/2018,A,2086
40460,Merchandise Mart,09/16/2018,U,1450
40460,Merchandise Mart,09/17/2018,W,8894
40460,Merchandise Mart,09/18/2018,W,9068
40460,Merchandise Mart,09/19/2018,W,8730
40460,Merchandise Mart,09/20/2018,W,9006
40460,Merchandise Mart,09/21/2018,W,7818
40460,Merchandise Mart,09/22/2018,A,1929
