station_id,stationname,date,daytype,rides
41090,Monroe/State,12/03/2017,U,3127
41090,Monroe/State,12/23/2017,A,3525
41090,Monroe/State,12/02/2017,A,4629
41090,Monroe/State,12/27/2017,W,6216
41090,Monroe/State,12/18/2017,W,10761
41090,Monroe/State,12/04/2017,W,10901
41090,Monroe/State,12/31/2017,U,2611
41090,Monroe/State,12/19/2017,W,10753
41090,Monroe/State,12/22/2017,W,8184
41090,Monroe/State,12/20/2017,W,10431
41090,Monroe/State,12/11/2017,W,10807
41090,Monroe/State,12/21/2017,W,9990
41090,Monroe/State,12/30/2017,A,3185
41090,Monroe/State,12/29/2017,W,7029
41090,Monroe/State,12/06/2017,W,10858
41090,Monroe/State,12/16/2017,A,4442
41090,Monroe/State,12/05/2017,W,10972
41090,Monroe/State,12/28/2017,W,7007
41090,Monroe/State,12/24/2017,U,2060
41090,Monroe/State,12/14/2017,W,11310
41090,Monroe/State,12/12/2017,W,11040
41090,Monroe/State,12/13/2017,W,10714
41090,Monroe/State,12/15/2017,W,10474
41090,Monroe/State,12/10/2017,U,2891
41090,Monroe/State,12/08/2017,W,10231
41090,Monroe/State,12/26/2017,W,4427
41090,Monroe/State,12/25/2017,U,770
41090,Monroe/State,12/09/2017,A,4460
41090,Monroe/State,12/17/2017,U,2939
41090,Monroe/State,12/01/2017,W,10913
41090,Monroe/State,12/07/2017,W,11207
41090,Monroe/State,01/28/2018,U,2509
41090,Monroe/State,03/26/2018,W,10177
41090,Monroe/State,03/09/2018,W,10477
41090,Monroe/State,02/21/2018,W,11081
41090,Monroe/State,01/01/2018,U,1863
41090,Monroe/State,02/08/2018,W,10944
41090,Monroe/State,01/24/2018,W,10402
41090,Monroe/State,01/12/2018,W,9384
41090,Monroe/State,01/14/2018,U,2377
41090,Monroe/State,01/17/2018,W,10407
41090,Monroe/State,02/14/2018,W,11537
41090,Monroe/State,02/03/2018,A,3697
41090,Monroe/State,03/08/2018,W,10569
41090,Monroe/State,02/13/2018,W,11294
41090,Monroe/State,03/18/2018,U,2908
41090,Monroe/State,02/16/2018,W,10386
41090,Monroe/State,03/14/2018,W,10939
41090,Monroe/State,01/16/2018,W,10141
41090,Monroe/State,01/23/2018,W,10583
41090,Monroe/State,01/25/2018,W,10922
41090,Monroe/State,01/29/2018,W,10365
41090,Monroe/State,02/11/2018,U,2366
41090,Monroe/State,03/23/2018,W,9973
41090,Monroe/State,02/15/2018,W,10635
41090,Monroe/State,03/04/2018,U,2790
41090,Monroe/State,02/28/2018,W,10567
41090,Monroe/State,01/26/2018,W,10396
41090,Monroe/State,01/13/2018,A,3087
41090,Monroe/State,02/04/2018,U,2233
41090,Monroe/State,03/01/2018,W,10520
41090,Monroe/State,03/28/2018,W,10580
41090,Monroe/State,02/05/2018,W,10681
41090,Monroe/State,03/15/2018,W,11055
41090,Monroe/State,01/27/2018,A,3859
41090,Monroe/State,01/22/2018,W,10402
41090,Monroe/State,02/27/2018,W,10661
41090,Monroe/State,01/08/2018,W,10131
41090,Monroe/State,02/23/2018,W,10394
41090,Monroe/State,03/25/2018,U,3164
41090,Monroe/State,02/20/2018,W,10387
41090,Monroe/State,03/31/2018,A,3670
41090,Monroe/State,02/12/2018,W,10534
41090,Monroe/State,02/06/2018,W,10684
41090,Monroe/State,03/12/2018,W,10677
41090,Monroe/State,01/31/2018,W,10697
41090,Monroe/State,03/29/2018,W,10472
41090,Monroe/State,02/17/2018,A,4062
41090,Monroe/State,03/24/2018,A,3779
41090,Monroe/State,03/03/2018,A,4195
41090,Monroe/State,01/19/2018,W,10257
41090,Monroe/State,01/05/2018,W,9104
41090,Monroe/State,03/16/2018,W,10377
41090,Monroe/State,02/09/2018,W,6948
41090,Monroe/State,03/27/2018,W,10469
41090,Monroe/State,02/07/2018,W,10865
41090,Monroe/State,01/09/2018,W,10129
41090,Monroe/State,03/22/2018,W,10534
41090,Monroe/State,01/10/2018,W,10152
41090,Monroe/State,03/17/2018,A,6830
41090,Monroe/State,01/15/2018,W,5590
41090,Monroe/State,02/19/2018,W,6694
41090,Monroe/State,02/01/2018,W,10880
41090,Monroe/State,01/07/2018,U,1990
41090,Monroe/State,01/21/2018,U,2377
41090,Monroe/State,01/03/2018,W,9537
41090,Monroe/State,02/02/2018,W,9946
41090,Monroe/State,02/26/2018,W,10547
41090,Monroe/State,03/30/2018,W,8804
41090,Monroe/State,03/11/2018,U,2863
41090,Monroe/State,03/21/2018,W,10478
41090,Monroe/State,03/05/2018,W,10216
41090,Monroe/State,03/06/2018,W,10620
41090,Monroe/State,03/02/2018,W,10132
41090,Monroe/State,01/18/2018,W,10419
41090,Monroe/State,01/30/2018,W,10856
41090,Monroe/State,03/20/2018,W,10477
41090,Monroe/State,02/24/2018,A,4111
41090,Monroe/State,01/11/2018,W,10301
41090,Monroe/State,02/18/2018,U,3091
41090,Monroe/State,01/20/2018,A,7385
41090,Monroe/State,01/04/2018,W,9625
41090,Monroe/State,03/19/2018,W,10619
41090,Monroe/State,02/10/2018,A,3594
41090,Monroe/State,03/07/2018,W,10767
41090,Monroe/State,01/02/2018,W,8273
41090,Monroe/State,03/10/2018,A,4214
41090,Monroe/State,02/22/2018,W,10831
41090,Monroe/State,02/25/2018,U,2907
41090,Monroe/State,01/06/2018,A,2958
41090,Monroe/State,03/13/2018,W,10869
41090,Monroe/State,06/12/2018,W,11008
41090,Monroe/State,05/23/2018,W,11269
41090,Monroe/State,05/26/2018,A,5735
41090,Monroe/State,04/28/2018,A,4464
41090,Monroe/State,06/07/2018,W,11675
41090,Monroe/State,06/30/2018,A,5951
41090,Monroe/State,05/29/2018,W,10272
41090,Monroe/State,06/02/2018,A,4188
41090,Monroe/State,05/02/2018,W,10799
41090,Monroe/State,04/03/2018,W,10696
41090,Monroe/State,04/21/2018,A,3943
41090,Monroe/State,06/10/2018,U,3115
41090,Monroe/State,06/13/2018,W,10857
41090,Monroe/State,04/19/2018,W,10738
41090,Monroe/State,05/24/2018,W,10477
41090,Monroe/State,05/16/2018,W,10475
41090,Monroe/State,06/06/2018,W,11444
41090,Monroe/State,04/20/2018,W,10306
41090,Monroe/State,04/11/2018,W,11080
41090,Monroe/State,05/21/2018,W,9906
41090,Monroe/State,05/20/2018,U,2576
41090,Monroe/State,05/08/2018,W,11598
41090,Monroe/State,06/11/2018,W,11505
41090,Monroe/State,05/03/2018,W,10485
41090,Monroe/State,04/14/2018,A,4119
41090,Monroe/State,06/18/2018,W,11110
41090,Monroe/State,05/31/2018,W,10452
41090,Monroe/State,06/01/2018,W,10725
41090,Monroe/State,04/13/2018,W,10402
41090,Monroe/State,06/26/2018,W,10667
41090,Monroe/State,05/15/2018,W,10658
41090,Monroe/State,06/15/2018,W,10379
41090,Monroe/State,04/26/2018,W,11055
41090,Monroe/State,05/25/2018,W,10159
41090,Monroe/State,04/24/2018,W,10387
41090,Monroe/State,04/12/2018,W,10953
41090,Monroe/State,06/23/2018,A,4087
41090,Monroe/State,05/04/2018,W,10060
41090,Monroe/State,04/04/2018,W,10797
41090,Monroe/State,06/08/2018,W,11156
41090,Monroe/State,06/03/2018,U,2961
41090,Monroe/State,04/27/2018,W,10711
41090,Monroe/State,04/30/2018,W,10843
41090,Monroe/State,04/15/2018,U,2555
41090,Monroe/State,06/28/2018,W,11010
41090,Monroe/State,04/06/2018,W,10547
41090,Monroe/State,05/19/2018,A,3891
41090,Monroe/State,06/09/2018,A,4845
41090,Monroe/State,04/17/2018,W,11181
41090,Monroe/State,04/07/2018,A,4398
41090,Monroe/State,05/11/2018,W,10896
41090,Monroe/State,05/07/2018,W,10864
41090,Monroe/State,06/27/2018,W,11053
41090,Monroe/State,06/17/2018,U,3073
41090,Monroe/State,06/05/2018,W,11393
41090,Monroe/State,04/22/2018,U,2828
41090,Monroe/State,06/21/2018,W,10334
41090,Monroe/State,04/01/2018,U,2102
41090,Monroe/State,05/06/2018,U,2876
41090,Monroe/State,04/02/2018,W,10172
41090,Monroe/State,06/29/2018,W,11272
41090,Monroe/State,05/27/2018,U,3892
41090,Monroe/State,04/29/2018,U,3124
41090,Monroe/State,06/22/2018,W,10037
41090,Monroe/State,05/22/2018,W,11446
41090,Monroe/State,04/08/2018,U,2665
41090,Monroe/State,06/25/2018,W,10233
41090,Monroe/State,06/24/2018,U,4722
41090,Monroe/State,06/14/2018,W,11068
41090,Monroe/State,04/25/2018,W,10646
41090,Monroe/State,04/10/2018,W,11085
41090,Monroe/State,05/12/2018,A,4222
41090,Monroe/State,05/09/2018,W,10998
41090,Monroe/State,05/14/2018,W,10139
41090,Monroe/State,06/16/2018,A,4472
41090,Monroe/State,05/17/2018,W,10545
41090,Monroe/State,04/16/2018,W,10235
41090,Monroe/State,04/05/2018,W,11253
41090,Monroe/State,06/20/2018,W,11669
41090,Monroe/State,04/09/2018,W,10437
41090,Monroe/State,05/01/2018,W,11392
41090,Monroe/State,05/30/2018,W,10451
41090,Monroe/State,05/05/2018,A,4277
41090,Monroe/State,04/18/2018,W,10543
41090,Monroe/State,05/18/2018,W,9916
41090,Monroe/State,06/04/2018,W,10482
41090,Monroe/State,06/19/2018,W,12021
41090,Monroe/State,04/23/2018,W,10342
41090,Monroe/State,05/13/2018,U,2964
41090,Monroe/State,05/28/2018,U,2817
41090,Monroe/State,05/10/2018,W,10854
41090,Monroe/State,07/01/2018,U,3263
41090,Monroe/State,07/02/2018,W,9970
41090,Monroe/State,07/03/2018,W,10696
41090,Monroe/State,07/04/2018,U,3745
41090,Monroe/State,07/05/2018,W,9078
41090,Monroe/State,07/06/2018,W,10258
41090,Monroe/State,07/07/2018,A,4841
41090,Monroe/State,07/08/2018,U,3361
41090,Monroe/State,07/09/2018,W,10559
41090,Monroe/State,07/10/2018,W,11063
41090,Monroe/State,07/11/2018,W,11445
41090,Monroe/State,07/12/2018,W,11402
41090,Monroe/State,07/13/2018,W,11651
41090,Monroe/State,07/14/2018,A,5327
41090,Monroe/State,07/15/2018,U,3956
41090,Monroe/State,07/16/2018,W,10559
41090,Monroe/State,07/17/2018,W,10829
41090,Monroe/State,07/18/2018,W,10990
41090,Monroe/State,07/19/2018,W,11908
41090,Monroe/State,07/20/2018,W,11209
41090,Monroe/State,07/21/2018,A,5584
41090,Monroe/State,07/22/2018,U,3608
41090,Monroe/State,07/23/2018,W,11297
41090,Monroe/State,07/24/2018,W,12008
41090,Monroe/State,07/25/2018,W,11538
41090,Monroe/State,07/26/2018,W,11662
41090,Monroe/State,07/27/2018,W,10462
41090,Monroe/State,07/28/2018,A,4242
41090,Monroe/State,07/29/2018,U,2354
41090,Monroe/State,07/30/2018,W,10947
41090,Monroe/State,07/31/2018,W,11045
41090,Monroe/State,08/01/2018,W,11168
41090,Monroe/State,08/02/2018,W,14174
41090,Monroe/State,08/03/2018,W,12231
41090,Monroe/State,08/04/2018,A,6438
41090,Monroe/State,08/05/2018,U,5631
41090,Monroe/State,08/06/2018,W,10525
41090,Monroe/State,08/07/2018,W,10558
41090,Monroe/State,08/08/2018,W,10841
41090,Monroe/State,08/09/2018,W,10633
41090,Monroe/State,08/10/2018,W,11601
41090,Monroe/State,08/11/2018,A,4899
41090,Monroe/State,08/12/2018,U,3528
41090,Monroe/State,08/13/2018,W,10296
41090,Monroe/State,08/14/2018,W,11300
41090,Monroe/State,08/15/2018,W,11026
41090,Monroe/State,08/16/2018,W,10417
41090,Monroe/State,08/17/2018,W,9782
41090,Monroe/State,08/18/2018,A,4571
41090,Monroe/State,08/19/2018,U,2912
41090,Monroe/State,08/20/2018,W,10640
41090,Monroe/State,08/21/2018,W,10549
41090,Monroe/State,08/22/2018,W,10371
41090,Monroe/State,08/23/2018,W,11235
41090,Monroe/State,08/24/2018,W,10126
41090,Monroe/State,08/25/2018,A,4289
41090,Monroe/State,08/26/2018,U,3449
41090,Monroe/State,08/27/2018,W,10854
41090,Monroe/State,08/28/2018,W,11463
41090,Monroe/State,08/29/2018,W,11312
41090,Monroe/State,08/30/2018,W,10952
41090,Monroe/State,08/31/2018,W,9725
41090,Monroe/State,09/01/2018,A,4400
41090,Monroe/State,09/02/2018,U,3724
41090,Monroe/State,09/03/2018,U,2904
41090,Monroe/State,09/04/2018,W,10778
41090,Monroe/State,09/05/2018,W,11285
41090,Monroe/State,09/06/2018,W,11088
41090,Monroe/State,09/07/2018,W,11577
41090,Monroe/State,09/08/2018,A,4447
41090,Monroe/State,09/09/2018,U,2896
41090,Monroe/State,09/10/2018,W,11293
41090,Monroe/State,09/11/2018,W,11674
41090,Monroe/State,09/12/2018,W,11715
41090,Monroe/State,09/13/2018,W,11193
