station_id,stationname,date,daytype,rides
41500,Montrose-Brown,12/07/2017,W,2966
41500,Montrose-Brown,12/23/2017,A,1039
41500,Montrose-Brown,12/11/2017,W,2781
41500,Montrose-Brown,12/01/2017,W,3114
41500,Montrose-Brown,12/10/2017,U,1109
41500,Montrose-Brown,12/27/2017,W,1416
41500,Montrose-Brown,12/06/2017,W,2905
41500,Montrose-Brown,12/05/2017,W,2941
41500,Montrose-Brown,12/16/2017,A,1601
41500,Montrose-Brown,12/19/2017,W,2787
41500,Montrose-Brown,12/09/2017,A,1595
41500,Montrose-Brown,12/30/2017,A,917
41500,Montrose-Brown,12/04/2017,W,2858
41500,Montrose-Brown,12/20/2017,W,2853
41500,Montrose-Brown,12/24/2017,U,563
41500,Montrose-Brown,12/28/2017,W,1681
41500,Montrose-Brown,12/14/2017,W,2897
41500,Montrose-Brown,12/26/2017,W,956
41500,Montrose-Brown,12/21/2017,W,2607
41500,Montrose-Brown,12/08/2017,W,2884
41500,Montrose-Brown,12/22/2017,W,2094
41500,Montrose-Brown,12/15/2017,W,2770
41500,Montrose-Brown,12/12/2017,W,2905
41500,Montrose-Brown,12/29/2017,W,1706
41500,Montrose-Brown,12/25/2017,U,245
41500,Montrose-Brown,12/17/2017,U,1056
41500,Montrose-Brown,12/13/2017,W,2979
41500,Montrose-Brown,12/31/2017,U,925
41500,Montrose-Brown,12/18/2017,W,2713
41500,Montrose-Brown,12/02/2017,A,1742
41500,Montrose-Brown,12/03/2017,U,1132
41500,Montrose-Brown,02/25/2018,U,1015
41500,Montrose-Brown,03/10/2018,A,1648
41500,Montrose-Brown,03/18/2018,U,1058
41500,Montrose-Brown,01/10/2018,W,2877
41500,Montrose-Brown,01/11/2018,W,2849
41500,Montrose-Brown,01/03/2018,W,2415
41500,Montrose-Brown,01/04/2018,W,2415
41500,Montrose-Brown,02/24/2018,A,1350
41500,Montrose-Brown,03/12/2018,W,2736
41500,Montrose-Brown,02/05/2018,W,2614
41500,Montrose-Brown,03/11/2018,U,1045
41500,Montrose-Brown,02/01/2018,W,2840
41500,Montrose-Brown,03/07/2018,W,2858
41500,Montrose-Brown,01/01/2018,U,531
41500,Montrose-Brown,01/15/2018,W,1657
41500,Montrose-Brown,02/03/2018,A,1335
41500,Montrose-Brown,01/13/2018,A,1280
41500,Montrose-Brown,01/07/2018,U,811
41500,Montrose-Brown,03/06/2018,W,2891
41500,Montrose-Brown,03/25/2018,U,997
41500,Montrose-Brown,02/07/2018,W,2863
41500,Montrose-Brown,02/28/2018,W,3011
41500,Montrose-Brown,01/27/2018,A,1509
41500,Montrose-Brown,01/28/2018,U,982
41500,Montrose-Brown,01/08/2018,W,2693
41500,Montrose-Brown,03/08/2018,W,2925
41500,Montrose-Brown,03/31/2018,A,1191
41500,Montrose-Brown,03/29/2018,W,2665
41500,Montrose-Brown,03/04/2018,U,1098
41500,Montrose-Brown,03/21/2018,W,2813
41500,Montrose-Brown,03/13/2018,W,2897
41500,Montrose-Brown,03/20/2018,W,2903
41500,Montrose-Brown,02/19/2018,W,1879
41500,Montrose-Brown,02/20/2018,W,2836
