station_id,stationname,date,daytype,rides
41350,Oak Park-Lake,12/21/2017,W,1532
41350,Oak Park-Lake,12/12/2017,W,1558
41350,Oak Park-Lake,12/26/2017,W,631
41350,Oak Park-Lake,12/24/2017,U,342
41350,Oak Park-Lake,12/17/2017,U,490
41350,Oak Park-Lake,12/20/2017,W,1547
41350,Oak Park-Lake,12/05/2017,W,1570
41350,Oak Park-Lake,12/13/2017,W,1607
41350,Oak Park-Lake,12/11/2017,W,1504
41350,Oak Park-Lake,12/10/2017,U,504
41350,Oak Park-Lake,12/31/2017,U,418
41350,Oak Park-Lake,12/06/2017,W,1599
41350,Oak Park-Lake,12/29/2017,W,1001
41350,Oak Park-Lake,12/07/2017,W,1638
41350,Oak Park-Lake,12/02/2017,A,769
41350,Oak Park-Lake,12/08/2017,W,1583
41350,Oak Park-Lake,12/23/2017,A,600
41350,Oak Park-Lake,12/03/2017,U,549
41350,Oak Park-Lake,12/19/2017,W,1620
41350,Oak Park-Lake,12/09/2017,A,790
41350,Oak Park-Lake,12/15/2017,W,1541
41350,Oak Park-Lake,12/14/2017,W,1658
41350,Oak Park-Lake,12/18/2017,W,1540
41350,Oak Park-Lake,12/01/2017,W,1598
41350,Oak Park-Lake,12/28/2017,W,980
41350,Oak Park-Lake,12/04/2017,W,1626
41350,Oak Park-Lake,12/22/2017,W,1249
41350,Oak Park-Lake,12/25/2017,U,156
41350,Oak Park-Lake,12/27/2017,W,883
41350,Oak Park-Lake,12/30/2017,A,420
41350,Oak Park-Lake,12/16/2017,A,752
41350,Oak Park-Lake,02/07/2018,W,1570
41350,Oak Park-Lake,02/20/2018,W,1485
41350,Oak Park-Lake,03/28/2018,W,1535
41350,Oak Park-Lake,01/03/2018,W,1267
41350,Oak Park-Lake,01/09/2018,W,1509
41350,Oak Park-Lake,03/06/2018,W,1485
41350,Oak Park-Lake,01/21/2018,U,407
41350,Oak Park-Lake,01/27/2018,A,723
41350,Oak Park-Lake,02/09/2018,W,990
41350,Oak Park-Lake,03/21/2018,W,1633
41350,Oak Park-Lake,02/08/2018,W,1512
41350,Oak Park-Lake,03/31/2018,A,621
41350,Oak Park-Lake,02/15/2018,W,1575
41350,Oak Park-Lake,03/17/2018,A,1238
41350,Oak Park-Lake,01/16/2018,W,1584
41350,Oak Park-Lake,01/18/2018,W,1547
41350,Oak Park-Lake,03/19/2018,W,1461
41350,Oak Park-Lake,03/08/2018,W,1584
41350,Oak Park-Lake,03/24/2018,A,1276
41350,Oak Park-Lake,01/31/2018,W,1540
41350,Oak Park-Lake,01/15/2018,W,806
41350,Oak Park-Lake,02/05/2018,W,1402
41350,Oak Park-Lake,02/22/2018,W,1520
41350,Oak Park-Lake,03/11/2018,U,442
41350,Oak Park-Lake,03/15/2018,W,1628
41350,Oak Park-Lake,03/23/2018,W,1526
41350,Oak Park-Lake,02/11/2018,U,377
41350,Oak Park-Lake,03/14/2018,W,1655
41350,Oak Park-Lake,02/19/2018,W,1025
41350,Oak Park-Lake,02/16/2018,W,1477
41350,Oak Park-Lake,01/12/2018,W,1406
41350,Oak Park-Lake,03/22/2018,W,1544
41350,Oak Park-Lake,03/13/2018,W,1514
41350,Oak Park-Lake,03/29/2018,W,1507
41350,Oak Park-Lake,01/07/2018,U,371
41350,Oak Park-Lake,02/03/2018,A,596
41350,Oak Park-Lake,02/21/2018,W,1629
41350,Oak Park-Lake,03/27/2018,W,1498
41350,Oak Park-Lake,01/13/2018,A,559
41350,Oak Park-Lake,03/05/2018,W,1445
