station_id,stationname,date,daytype,rides
40920,Pulaski-Forest Park,12/25/2017,U,692
40920,Pulaski-Forest Park,12/10/2017,U,956
40920,Pulaski-Forest Park,12/01/2017,W,1839
40920,Pulaski-Forest Park,12/29/2017,W,1325
40920,Pulaski-Forest Park,12/05/2017,W,1670
40920,Pulaski-Forest Park,12/08/2017,W,1698
40920,Pulaski-Forest Park,12/06/2017,W,1671
40920,Pulaski-Forest Park,12/11/2017,W,1530
40920,Pulaski-Forest Park,12/26/2017,W,954
40920,Pulaski-Forest Park,12/23/2017,A,1226
40920,Pulaski-Forest Park,12/31/2017,U,847
40920,Pulaski-Forest Park,12/12/2017,W,1542
40920,Pulaski-Forest Park,12/09/2017,A,1191
40920,Pulaski-Forest Park,12/18/2017,W,1638
40920,Pulaski-Forest Park,12/19/2017,W,1676
40920,Pulaski-Forest Park,12/02/2017,A,1299
40920,Pulaski-Forest Park,12/16/2017,A,1273
40920,Pulaski-Forest Park,12/30/2017,A,1004
40920,Pulaski-Forest Park,12/14/2017,W,1662
40920,Pulaski-Forest Park,12/03/2017,U,1081
40920,Pulaski-Forest Park,12/24/2017,U,925
40920,Pulaski-Forest Park,12/27/2017,W,1158
40920,Pulaski-Forest Park,12/13/2017,W,1574
40920,Pulaski-Forest Park,12/17/2017,U,1075
40920,Pulaski-Forest Park,12/07/2017,W,1591
40920,Pulaski-Forest Park,12/28/2017,W,1182
40920,Pulaski-Forest Park,12/20/2017,W,1590
40920,Pulaski-Forest Park,12/22/2017,W,1653
40920,Pulaski-Forest Park,12/04/2017,W,1746
40920,Pulaski-Forest Park,12/21/2017,W,1632
40920,Pulaski-Forest Park,12/15/2017,W,1619
40920,Pulaski-Forest Park,02/10/2018,A,1203
40920,Pulaski-Forest Park,03/24/2018,A,1230
40920,Pulaski-Forest Park,03/05/2018,W,1588
40920,Pulaski-Forest Park,01/02/2018,W,1061
40920,Pulaski-Forest Park,03/06/2018,W,1695
40920,Pulaski-Forest Park,03/25/2018,U,1029
40920,Pulaski-Forest Park,03/11/2018,U,1008
40920,Pulaski-Forest Park,02/04/2018,U,978
40920,Pulaski-Forest Park,01/10/2018,W,1568
40920,Pulaski-Forest Park,03/04/2018,U,1147
40920,Pulaski-Forest Park,02/07/2018,W,1599
40920,Pulaski-Forest Park,03/02/2018,W,1702
40920,Pulaski-Forest Park,03/26/2018,W,1530
40920,Pulaski-Forest Park,02/15/2018,W,1759
40920,Pulaski-Forest Park,01/30/2018,W,1639
40920,Pulaski-Forest Park,02/19/2018,W,1399
40920,Pulaski-Forest Park,02/20/2018,W,1632
40920,Pulaski-Forest Park,02/12/2018,W,1558
40920,Pulaski-Forest Park,01/11/2018,W,1604
40920,Pulaski-Forest Park,03/07/2018,W,1739
40920,Pulaski-Forest Park,03/19/2018,W,1593
40920,Pulaski-Forest Park,02/11/2018,U,940
40920,Pulaski-Forest Park,03/17/2018,A,1300
40920,Pulaski-Forest Park,03/09/2018,W,1639
40920,Pulaski-Forest Park,01/04/2018,W,1288
40920,Pulaski-Forest Park,03/13/2018,W,1673
40920,Pulaski-Forest Park,03/30/2018,W,1597
40920,Pulaski-Forest Park,02/28/2018,W,1603
40920,Pulaski-Forest Park,03/10/2018,A,1367
40920,Pulaski-Forest Park,02/27/2018,W,1576
40920,Pulaski-Forest Park,01/20/2018,A,1253
40920,Pulaski-Forest Park,02/09/2018,W,1261
40920,Pulaski-Forest Park,01/05/2018,W,1399
40920,Pulaski-Forest Park,01/03/2018,W,1240
40920,Pulaski-Forest Park,03/27/2018,W,1578
40920,Pulaski-Forest Park,03/29/2018,W,1625
40920,Pulaski-Forest Park,02/24/2018,A,1193
40920,Pulaski-Forest Park,01/17/2018,W,1519
40920,Pulaski-Forest Park,03/22/2018,W,1719
40920,Pulaski-Forest Park,01/12/2018,W,1554
40920,Pulaski-Forest Park,01/22/2018,W,1534
40920,Pulaski-Forest Park,02/08/2018,W,1576
40920,Pulaski-Forest Park,03/15/2018,W,1731
40920,Pulaski-Forest Park,02/17/2018,A,1272
40920,Pulaski-Forest Park,02/13/2018,W,1679
40920,Pulaski-Forest Park,01/16/2018,W,1472
40920,Pulaski-Forest Park,01/21/2018,U,1002
40920,Pulaski-Forest Park,03/12/2018,W,1606
40920,Pulaski-Forest Park,01/13/2018,A,1023
40920,Pulaski-Forest Park,01/24/2018,W,1609
40920,Pulaski-Forest Park,02/22/2018,W,1687
40920,Pulaski-Forest Park,03/18/2018,U,1114
40920,Pulaski-Forest Park,03/21/2018,W,1648
40920,Pulaski-Forest Park,03/23/2018,W,1688
40920,Pulaski-Forest Park,01/09/2018,W,1560
40920,Pulaski-Forest Park,01/19/2018,W,1633
40920,Pulaski-Forest Park,02/03/2018,A,1239
40920,Pulaski-Forest Park,01/26/2018,W,1776
40920,Pulaski-Forest Park,01/23/2018,W,1573
40920,Pulaski-Forest Park,03/14/2018,W,1665
40920,Pulaski-Forest Park,01/18/2018,W,1545
40920,Pulaski-Forest Park,02/23/2018,W,1761
40920,Pulaski-Forest Park,01/29/2018,W,1610
40920,Pulaski-Forest Park,03/03/2018,A,1374
40920,Pulaski-Forest Park,02/14/2018,W,1693
40920,Pulaski-Forest Park,02/26/2018,W,1565
40920,Pulaski-Forest Park,01/31/2018,W,1668
40920,Pulaski-Forest Park,02/01/2018,W,1663
40920,Pulaski-Forest Park,02/18/2018,U,983
40920,Pulaski-Forest Park,01/08/2018,W,1420
40920,Pulaski-Forest Park,01/07/2018,U,907
40920,Pulaski-Forest Park,02/06/2018,W,1608
40920,Pulaski-Forest Park,03/08/2018,W,1665
40920,Pulaski-Forest Park,03/31/2018,A,1079
40920,Pulaski-Forest Park,03/20/2018,W,1703
40920,Pulaski-Forest Park,03/01/2018,W,1549
40920,Pulaski-Forest Park,01/25/2018,W,1661
40920,Pulaski-Forest Park,01/14/2018,U,804
40920,Pulaski-Forest Park,01/01/2018,U,781
40920,Pulaski-Forest Park,01/27/2018,A,1299
40920,Pulaski-Forest Park,02/05/2018,W,1522
40920,Pulaski-Forest Park,02/25/2018,U,1017
40920,Pulaski-Forest Park,01/15/2018,W,1060
40920,Pulaski-Forest Park,01/28/2018,U,1041
40920,Pulaski-Forest Park,02/21/2018,W,1663
40920,Pulaski-Forest Park,02/02/2018,W,1532
40920,Pulaski-Forest Park,02/16/2018,W,1780
40920,Pulaski-Forest Park,01/06/2018,A,990
40920,Pulaski-Forest Park,03/28/2018,W,1613
40920,Pulaski-Forest Park,03/16/2018,W,1639
40920,Pulaski-Forest Park,05/24/2018,W,1681
40920,Pulaski-Forest Park,05/17/2018,W,1703
40920,Pulaski-Forest Park,06/16/2018,A,1346
40920,Pulaski-Forest Park,06/04/2018,W,1673
40920,Pulaski-Forest Park,06/05/2018,W,1682
40920,Pulaski-Forest Park,05/03/2018,W,1662
40920,Pulaski-Forest Park,06/14/2018,W,1720
40920,Pulaski-Forest Park,04/21/2018,A,1226
40920,Pulaski-Forest Park,06/24/2018,U,1193
40920,Pulaski-Forest Park,05/04/2018,W,1783
40920,Pulaski-Forest Park,04/18/2018,W,1585
40920,Pulaski-Forest Park,06/20/2018,W,1574
40920,Pulaski-Forest Park,06/01/2018,W,1913
40920,Pulaski-Forest Park,06/17/2018,U,1137
40920,Pulaski-Forest Park,04/04/2018,W,1487
40920,Pulaski-Forest Park,06/25/2018,W,1494
40920,Pulaski-Forest Park,05/08/2018,W,1717
40920,Pulaski-Forest Park,04/19/2018,W,1587
40920,Pulaski-Forest Park,06/06/2018,W,1679
40920,Pulaski-Forest Park,04/05/2018,W,1516
40920,Pulaski-Forest Park,05/31/2018,W,1622
40920,Pulaski-Forest Park,04/13/2018,W,1560
40920,Pulaski-Forest Park,04/23/2018,W,1604
40920,Pulaski-Forest Park,05/10/2018,W,1762
40920,Pulaski-Forest Park,06/23/2018,A,1308
40920,Pulaski-Forest Park,06/19/2018,W,1600
40920,Pulaski-Forest Park,04/14/2018,A,1118
40920,Pulaski-Forest Park,04/16/2018,W,1488
40920,Pulaski-Forest Park,06/11/2018,W,1614
40920,Pulaski-Forest Park,05/11/2018,W,1734
40920,Pulaski-Forest Park,05/26/2018,A,1347
40920,Pulaski-Forest Park,04/29/2018,U,1015
40920,Pulaski-Forest Park,05/29/2018,W,1684
40920,Pulaski-Forest Park,04/11/2018,W,1615
40920,Pulaski-Forest Park,05/27/2018,U,1094
40920,Pulaski-Forest Park,04/01/2018,U,1001
40920,Pulaski-Forest Park,05/14/2018,W,1583
40920,Pulaski-Forest Park,04/07/2018,A,1196
40920,Pulaski-Forest Park,05/20/2018,U,998
40920,Pulaski-Forest Park,05/12/2018,A,1217
40920,Pulaski-Forest Park,04/10/2018,W,1520
40920,Pulaski-Forest Park,06/28/2018,W,1640
40920,Pulaski-Forest Park,06/07/2018,W,1711
40920,Pulaski-Forest Park,04/17/2018,W,1646
40920,Pulaski-Forest Park,04/09/2018,W,1417
40920,Pulaski-Forest Park,04/06/2018,W,1601
40920,Pulaski-Forest Park,05/06/2018,U,1050
40920,Pulaski-Forest Park,05/02/2018,W,1618
40920,Pulaski-Forest Park,04/27/2018,W,1629
40920,Pulaski-Forest Park,06/02/2018,A,1345
40920,Pulaski-Forest Park,04/25/2018,W,1674
40920,Pulaski-Forest Park,05/25/2018,W,1726
40920,Pulaski-Forest Park,05/23/2018,W,1723
40920,Pulaski-Forest Park,06/10/2018,U,1053
40920,Pulaski-Forest Park,04/12/2018,W,1759
40920,Pulaski-Forest Park,06/13/2018,W,1674
40920,Pulaski-Forest Park,05/01/2018,W,1759
40920,Pulaski-Forest Park,04/08/2018,U,942
40920,Pulaski-Forest Park,06/08/2018,W,1727
40920,Pulaski-Forest Park,06/26/2018,W,1641
40920,Pulaski-Forest Park,06/18/2018,W,1525
40920,Pulaski-Forest Park,06/15/2018,W,1802
40920,Pulaski-Forest Park,06/09/2018,A,1292
40920,Pulaski-Forest Park,05/05/2018,A,1381
40920,Pulaski-Forest Park,04/15/2018,U,878
40920,Pulaski-Forest Park,05/30/2018,W,1593
40920,Pulaski-Forest Park,04/02/2018,W,1321
40920,Pulaski-Forest Park,04/28/2018,A,1201
40920,Pulaski-Forest Park,05/21/2018,W,1426
40920,Pulaski-Forest Park,05/07/2018,W,1593
40920,Pulaski-Forest Park,04/24/2018,W,1595
40920,Pulaski-Forest Park,05/15/2018,W,1618
40920,Pulaski-Forest Park,04/03/2018,W,1539
40920,Pulaski-Forest Park,04/30/2018,W,1604
40920,Pulaski-Forest Park,06/03/2018,U,1054
40920,Pulaski-Forest Park,06/27/2018,W,1675
40920,Pulaski-Forest Park,06/21/2018,W,1445
40920,Pulaski-Forest Park,05/22/2018,W,1672
40920,Pulaski-Forest Park,05/19/2018,A,1343
40920,Pulaski-Forest Park,05/16/2018,W,1634
40920,Pulaski-Forest Park,04/20/2018,W,1758
40920,Pulaski-Forest Park,06/30/2018,A,1324
40920,Pulaski-Forest Park,05/28/2018,U,1055
40920,Pulaski-Forest Park,06/29/2018,W,1776
40920,Pulaski-Forest Park,06/12/2018,W,1681
40920,Pulaski-Forest Park,04/22/2018,U,1027
40920,Pulaski-Forest Park,05/13/2018,U,1032
40920,Pulaski-Forest Park,05/09/2018,W,1671
40920,Pulaski-Forest Park,04/26/2018,W,1714
40920,Pulaski-Forest Park,05/18/2018,W,1717
40920,Pulaski-Forest Park,06/22/2018,W,1562
40920,Pulaski-Forest Park,07/01/2018,U,1064
40920,Pulaski-Forest Park,07/02/2018,W,1637
40920,Pulaski-Forest Park,07/03/2018,W,1630
40920,Pulaski-Forest Park,07/04/2018,U,1169
40920,Pulaski-Forest Park,07/05/2018,W,1489
40920,Pulaski-Forest Park,07/06/2018,W,1692
40920,Pulaski-Forest Park,07/07/2018,A,1349
40920,Pulaski-Forest Park,07/08/2018,U,1097
40920,Pulaski-Forest Park,07/09/2018,W,1537
40920,Pulaski-Forest Park,07/10/2018,W,1666
40920,Pulaski-Forest Park,07/11/2018,W,1707
40920,Pulaski-Forest Park,07/12/2018,W,1725
40920,Pulaski-Forest Park,07/13/2018,W,1764
40920,Pulaski-Forest Park,07/14/2018,A,1334
40920,Pulaski-Forest Park,07/15/2018,U,1187
40920,Pulaski-Forest Park,07/16/2018,W,1562
40920,Pulaski-Forest Park,07/17/2018,W,1696
40920,Pulaski-Forest Park,07/18/2018,W,1697
40920,Pulaski-Forest Park,07/19/2018,W,1719
40920,Pulaski-Forest Park,07/20/2018,W,1600
40920,Pulaski-Forest Park,07/21/2018,A,1198
40920,Pulaski-Forest Park,07/22/2018,U,1001
40920,Pulaski-Forest Park,07/23/2018,W,1533
40920,Pulaski-Forest Park,07/24/2018,W,1589
40920,Pulaski-Forest Park,07/25/2018,W,1620
40920,Pulaski-Forest Park,07/26/2018,W,1739
40920,Pulaski-Forest Park,07/27/2018,W,1708
40920,Pulaski-Forest Park,07/28/2018,A,1301
40920,Pulaski-Forest Park,07/29/2018,U,1094
40920,Pulaski-Forest Park,07/30/2018,W,1499
40920,Pulaski-Forest Park,07/31/2018,W,1526
40920,Pulaski-Forest Park,08/01/2018,W,1729
40920,Pulaski-Forest Park,08/02/2018,W,1696
40920,Pulaski-Forest Park,08/03/2018,W,1732
40920,Pulaski-Forest Park,08/04/2018,A,1239
40920,Pulaski-Forest Park,08/05/2018,U,1104
40920,Pulaski-Forest Park,08/06/2018,W,1521
40920,Pulaski-Forest Park,08/07/2018,W,1595
40920,Pulaski-Forest Park,08/08/2018,W,1563
40920,Pulaski-Forest Park,08/09/2018,W,1599
40920,Pulaski-Forest Park,08/10/2018,W,1705
40920,Pulaski-Forest Park,08/11/2018,A,1307
40920,Pulaski-Forest Park,08/12/2018,U,1029
40920,Pulaski-Forest Park,08/13/2018,W,1458
40920,Pulaski-Forest Park,08/14/2018,W,1539
40920,Pulaski-Forest Park,08/15/2018,W,1572
40920,Pulaski-Forest Park,08/16/2018,W,1564
40920,Pulaski-Forest Park,08/17/2018,W,1573
40920,Pulaski-Forest Park,08/18/2018,A,1295
40920,Pulaski-Forest Park,08/19/2018,U,971
40920,Pulaski-Forest Park,08/20/2018,W,1451
40920,Pulaski-Forest Park,08/21/2018,W,1510
40920,Pulaski-Forest Park,08/22/2018,W,1648
40920,Pulaski-Forest Park,08/23/2018,W,1599
40920,Pulaski-Forest Park,08/24/2018,W,1561
40920,Pulaski-Forest Park,08/25/2018,A,1241
40920,Pulaski-Forest Park,08/26/2018,U,1036
40920,Pulaski-Forest Park,08/27/2018,W,1599
40920,Pulaski-Forest Park,08/28/2018,W,1643
40920,Pulaski-Forest Park,08/29/2018,W,1644
40920,Pulaski-Forest Park,08/30/2018,W,1695
40920,Pulaski-Forest Park,08/31/2018,W,1806
40920,Pulaski-Forest Park,09/01/2018,A,1293
40920,Pulaski-Forest Park,09/02/2018,U,1129
40920,Pulaski-Forest Park,09/03/2018,U,750
40920,Pulaski-Forest Park,09/04/2018,W,1743
40920,Pulaski-Forest Park,09/05/2018,W,1738
40920,Pulaski-Forest Park,09/06/2018,W,1625
40920,Pulaski-Forest Park,09/07/2018,W,1826
40920,Pulaski-Forest Park,09/08/2018,A,1369
40920,Pulaski-Forest Park,09/09/2018,U,1123
40920,Pulaski-Forest Park,09/10/2018,W,1721
40920,Pulaski-Forest Park,09/11/2018,W,1790
40920,Pulaski-Forest Park,09/12/2018,W,1884
40920,Pulaski-Forest Park,09/13/2018,W,1814
40920,Pulaski-Forest Park,09/14/2018,W,1916
40920,Pulaski-Forest Park,09/15/2018,A,1384
40920,Pulaski-Forest Park,09/16/2018,U,1167
40920,Pulaski-Forest Park,09/17/2018,W,1692
40920,Pulaski-Forest Park,09/18/2018,W,1912
40920,Pulaski-Forest Park,09/19/2018,W,1865
40920,Pulaski-Forest Park,09/20/2018,W,1742
40920,Pulaski-Forest Park,09/21/2018,W,1957
40920,Pulaski-Forest Park,09/22/2018,A,1465
40920,Pulaski-Forest Park,09/23/2018,U,1192
40920,Pulaski-Forest Park,09/24/2018,W,1783
40920,Pulaski-Forest Park,09/25/2018,W,1938
40920,Pulaski-Forest Park,09/26/2018,W,1969
40920,Pulaski-Forest Park,09/27/2018,W,1869
40920,Pulaski-Forest Park,09/28/2018,W,1898
40920,Pulaski-Forest Park,09/29/2018,A,1430
40920,Pulaski-Forest Park,09/30/2018,U,1168
40920,Pulaski-Forest Park,10/01/2018,W,1920
40920,Pulaski-Forest Park,10/02/2018,W,1861
40920,Pulaski-Forest Park,10/03/2018,W,1923
40920,Pulaski-Forest Park,10/04/2018,W,1878
40920,Pulaski-Forest Park,10/05/2018,W,1792
40920,Pulaski-Forest Park,10/06/2018,A,1414
40920,Pulaski-Forest Park,10/07/2018,U,1123
40920,Pulaski-Forest Park,10/08/2018,W,1664
40920,Pulaski-Forest Park,10/09/2018,W,1917
40920,Pulaski-Forest Park,10/10/2018,W,1759
40920,Pulaski-Forest Park,10/11/2018,W,1816
40920,Pulaski-Forest Park,10/12/2018,W,1741
40920,Pulaski-Forest Park,10/13/2018,A,1385
40920,Pulaski-Forest Park,10/14/2018,U,1061
40920,Pulaski-Forest Park,10/15/2018,W,1637
40920,Pulaski-Forest Park,10/16/2018,W,1695
40920,Pulaski-Forest Park,10/17/2018,W,1759
40920,Pulaski-Forest Park,10/18/2018,W,1735
40920,Pulaski-Forest Park,10/19/2018,W,1803
40920,Pulaski-Forest Park,10/20/2018,A,1355
40920,Pulaski-Forest Park,10/21/2018,U,1144
40920,Pulaski-Forest Park,10/22/2018,W,1726
40920,Pulaski-Forest Park,10/23/2018,W,1825
40920,Pulaski-Forest Park,10/24/2018,W,1867
40920,Pulaski-Forest Park,10/25/2018,W,1774
40920,Pulaski-Forest Park,10/26/2018,W,1847
40920,Pulaski-Forest Park,10/27/2018,A,1427
40920,Pulaski-Forest Park,10/28/2018,U,1045
40920,Pulaski-Forest Park,10/29/2018,W,1763
40920,Pulaski-Forest Park,10/30/2018,W,1786
40920,Pulaski-Forest Park,10/31/2018,W,1797
40920,Pulaski-Forest Park,11/01/2018,W,1798
40920,Pulaski-Forest Park,11/02/2018,W,1727
40920,Pulaski-Forest Park,11/03/2018,A,1356
40920,Pulaski-Forest Park,11/04/2018,U,1066
40920,Pulaski-Forest Park,11/05/2018,W,1769
40920,Pulaski-Forest Park,11/06/2018,W,1718
40920,Pulaski-Forest Park,11/07/2018,W,1878
40920,Pulaski-Forest Park,11/08/2018,W,1799
40920,Pulaski-Forest Park,11/09/2018,W,1831
40920,Pulaski-Forest Park,11/10/2018,A,1426
40920,Pulaski-Forest Park,11/11/2018,U,1115
40920,Pulaski-Forest Park,11/12/2018,W,1540
40920,Pulaski-Forest Park,11/13/2018,W,1724
40920,Pulaski-Forest Park,11/14/2018,W,1766
40920,Pulaski-Forest Park,11/15/2018,W,1654
40920,Pulaski-Forest Park,11/16/2018,W,1750
40920,Pulaski-Forest Park,11/17/2018,A,1298
40920,Pulaski-Forest Park,11/18/2018,U,1064
40920,Pulaski-Forest Park,11/19/2018,W,1688
40920,Pulaski-Forest Park,11/20/2018,W,1770
40920,Pulaski-Forest Park,11/21/2018,W,1697
40920,Pulaski-Forest Park,11/22/2018,U,1059
40920,Pulaski-Forest Park,11/23/2018,W,1275
40920,Pulaski-Forest Park,11/24/2018,A,1272
40920,Pulaski-Forest Park,11/25/2018,U,1069
40920,Pulaski-Forest Park,11/26/2018,W,1477
40920,Pulaski-Forest Park,11/27/2018,W,1667
40920,Pulaski-Forest Park,11/28/2018,W,1646
40920,Pulaski-Forest Park,11/29/2018,W,1684
40920,Pulaski-Forest Park,11/30/2018,W,1849
40920,Pulaski-Forest Park,12/01/2018,A,1268
40920,Pulaski-Forest Park,12/02/2018,U,1141
40920,Pulaski-Forest Park,12/03/2018,W,1841
40920,Pulaski-Forest Park,12/04/2018,W,1819
40920,Pulaski-Forest Park,12/05/2018,W,1760
40920,Pulaski-Forest Park,12/06/2018,W,1726
40920,Pulaski-Forest Park,12/07/2018,W,1714
40920,Pulaski-Forest Park,12/08/2018,A,1304
40920,Pulaski-Forest Park,12/09/2018,U,1090
40920,Pulaski-Forest Park,12/10/2018,W,1754
40920,Pulaski-Forest Park,12/11/2018,W,1780
40920,Pulaski-Forest Park,12/12/2018,W,1772
40920,Pulaski-Forest Park,12/13/2018,W,1751
40920,Pulaski-Forest Park,12/14/2018,W,1816
40920,Pulaski-Forest Park,12/15/2018,A,1466
40920,Pulaski-Forest Park,12/16/2018,U,1197
40920,Pulaski-Forest Park,12/17/2018,W,1710
40920,Pulaski-Forest Park,12/18/2018,W,1781
40920,Pulaski-Forest Park,12/19/2018,W,1881
40920,Pulaski-Forest Park,12/20/2018,W,1801
40920,Pulaski-Forest Park,12/21/2018,W,1577
40920,Pulaski-Forest Park,12/22/2018,A,1474
40920,Pulaski-Forest Park,12/23/2018,U,1157
40920,Pulaski-Forest Park,12/24/2018,W,1367
40920,Pulaski-Forest Park,12/25/2018,U,942
40920,Pulaski-Forest Park,12/26/2018,W,1569
40920,Pulaski-Forest Park,12/27/2018,W,1523
40920,Pulaski-Forest Park,12/28/2018,W,1687
40920,Pulaski-Forest Park,12/29/2018,A,1323
40920,Pulaski-Forest Park,12/30/2018,U,1101
40920,Pulaski-Forest Park,12/31/2018,W,1424
40920,Pulaski-Forest Park,01/01/2019,U,1218
40920,Pulaski-Forest Park,01/02/2019,W,1516
40920,Pulaski-Forest Park,01/03/2019,W,1672
40920,Pulaski-Forest Park,01/04/2019,W,1788
40920,Pulaski-Forest Park,01/05/2019,A,1408
40920,Pulaski-Forest Park,01/06/2019,U,1018
40920,Pulaski-Forest Park,01/07/2019,W,1667
40920,Pulaski-Forest Park,01/08/2019,W,1857
40920,Pulaski-Forest Park,01/09/2019,W,1633
40920,Pulaski-Forest Park,01/10/2019,W,1670
40920,Pulaski-Forest Park,01/11/2019,W,1824
40920,Pulaski-Forest Park,01/12/2019,A,1301
40920,Pulaski-Forest Park,01/13/2019,U,1099
40920,Pulaski-Forest Park,01/14/2019,W,1725
40920,Pulaski-Forest Park,01/15/2019,W,1775
40920,Pulaski-Forest Park,01/16/2019,W,1834
40920,Pulaski-Forest Park,01/17/2019,W,1850
40920,Pulaski-Forest Park,01/18/2019,W,1837
40920,Pulaski-Forest Park,01/19/2019,A,1095
40920,Pulaski-Forest Park,01/20/2019,U,968
40920,Pulaski-Forest Park,01/21/2019,W,1255
40920,Pulaski-Forest Park,01/22/2019,W,1705
40920,Pulaski-Forest Park,01/23/2019,W,1772
40920,Pulaski-Forest Park,01/24/2019,W,1665
40920,Pulaski-Forest Park,01/25/2019,W,1386
40920,Pulaski-Forest Park,01/26/2019,A,1088
40920,Pulaski-Forest Park,01/27/2019,U,922
40920,Pulaski-Forest Park,01/28/2019,W,1544
40920,Pulaski-Forest Park,01/29/2019,W,1368
40920,Pulaski-Forest Park,01/30/2019,W,515
40920,Pulaski-Forest Park,01/31/2019,W,910
40920,Pulaski-Forest Park,02/01/2019,W,1695
40920,Pulaski-Forest Park,02/02/2019,A,1390
40920,Pulaski-Forest Park,02/03/2019,U,1188
40920,Pulaski-Forest Park,02/04/2019,W,1801
40920,Pulaski-Forest Park,02/05/2019,W,1746
40920,Pulaski-Forest Park,02/06/2019,W,1732
40920,Pulaski-Forest Park,02/07/2019,W,1781
40920,Pulaski-Forest Park,02/08/2019,W,1552
40920,Pulaski-Forest Park,02/09/2019,A,1275
40920,Pulaski-Forest Park,02/10/2019,U,1029
40920,Pulaski-Forest Park,02/11/2019,W,1656
40920,Pulaski-Forest Park,02/12/2019,W,1590
40920,Pulaski-Forest Park,02/13/2019,W,1696
40920,Pulaski-Forest Park,02/14/2019,W,1886
40920,Pulaski-Forest Park,02/15/2019,W,1789
40920,Pulaski-Forest Park,02/16/2019,A,1351
40920,Pulaski-Forest Park,02/17/2019,U,1044
40920,Pulaski-Forest Park,02/18/2019,W,1452
40920,Pulaski-Forest Park,02/19/2019,W,1742
40920,Pulaski-Forest Park,02/20/2019,W,1679
40920,Pulaski-Forest Park,02/21/2019,W,1946
40920,Pulaski-Forest Park,02/22/2019,W,1885
40920,Pulaski-Forest Park,02/23/2019,A,1296
40920,Pulaski-Forest Park,02/24/2019,U,1066
40920,Pulaski-Forest Park,02/25/2019,W,1601
40920,Pulaski-Forest Park,02/26/2019,W,1648
40920,Pulaski-Forest Park,02/27/2019,W,1757
40920,Pulaski-Forest Park,02/28/2019,W,1750
40920,Pulaski-Forest Park,03/01/2019,W,1873
40920,Pulaski-Forest Park,03/02/2019,A,1406
40920,Pulaski-Forest Park,03/03/2019,U,1051
40920,Pulaski-Forest Park,03/04/2019,W,1416
40920,Pulaski-Forest Park,03/05/2019,W,1541
40920,Pulaski-Forest Park,03/06/2019,W,1632
40920,Pulaski-Forest Park,03/07/2019,W,1760
40920,Pulaski-Forest Park,03/08/2019,W,1808
40920,Pulaski-Forest Park,03/09/2019,A,1298
40920,Pulaski-Forest Park,03/10/2019,U,1025
40920,Pulaski-Forest Park,03/11/2019,W,1686
40920,Pulaski-Forest Park,03/12/2019,W,1725
40920,Pulaski-Forest Park,03/13/2019,W,1699
40920,Pulaski-Forest Park,03/14/2019,W,1689
40920,Pulaski-Forest Park,03/15/2019,W,1682
40920,Pulaski-Forest Park,03/16/2019,A,1410
40920,Pulaski-Forest Park,03/17/2019,U,1219
40920,Pulaski-Forest Park,03/18/2019,W,1697
40920,Pulaski-Forest Park,03/19/2019,W,1749
40920,Pulaski-Forest Park,03/20/2019,W,1602
40920,Pulaski-Forest Park,03/21/2019,W,1646
40920,Pulaski-Forest Park,03/22/2019,W,1729
40920,Pulaski-Forest Park,03/23/2019,A,1281
40920,Pulaski-Forest Park,03/24/2019,U,1067
40920,Pulaski-Forest Park,03/25/2019,W,1695
40920,Pulaski-Forest Park,03/26/2019,W,1668
40920,Pulaski-Forest Park,03/27/2019,W,1692
40920,Pulaski-Forest Park,03/28/2019,W,1691
40920,Pulaski-Forest Park,03/29/2019,W,1677
40920,Pulaski-Forest Park,03/30/2019,A,1258
40920,Pulaski-Forest Park,03/31/2019,U,1090
40920,Pulaski-Forest Park,04/01/2019,W,1648
40920,Pulaski-Forest Park,04/02/2019,W,1603
40920,Pulaski-Forest Park,04/03/2019,W,1640
