station_id,stationname,date,daytype,rides
40470,Racine,12/04/2017,W,2611
40470,Racine,12/07/2017,W,2571
40470,Racine,12/25/2017,U,249
40470,Racine,12/19/2017,W,2540
40470,Racine,12/08/2017,W,2644
40470,Racine,12/14/2017,W,2494
40470,Racine,12/09/2017,A,1043
40470,Racine,12/05/2017,W,2612
40470,Racine,12/06/2017,W,2630
40470,Racine,12/26/2017,W,673
40470,Racine,12/11/2017,W,2525
40470,Racine,12/31/2017,U,522
40470,Racine,12/13/2017,W,2540
40470,Racine,12/16/2017,A,1123
40470,Racine,12/15/2017,W,2614
40470,Racine,12/30/2017,A,544
40470,Racine,12/24/2017,U,453
40470,Racine,12/28/2017,W,975
40470,Racine,12/23/2017,A,740
40470,Racine,12/29/2017,W,1014
40470,Racine,12/12/2017,W,2556
40470,Racine,12/20/2017,W,2582
40470,Racine,12/21/2017,W,2494
40470,Racine,12/02/2017,A,1216
40470,Racine,12/22/2017,W,2316
40470,Racine,12/27/2017,W,876
40470,Racine,12/18/2017,W,2563
40470,Racine,12/17/2017,U,783
40470,Racine,12/10/2017,U,685
40470,Racine,12/01/2017,W,3025
40470,Racine,12/03/2017,U,729
40470,Racine,02/12/2018,W,2502
40470,Racine,03/17/2018,A,1555
40470,Racine,01/20/2018,A,1086
40470,Racine,02/25/2018,U,739
40470,Racine,02/23/2018,W,2600
40470,Racine,03/09/2018,W,2491
40470,Racine,01/31/2018,W,2562
40470,Racine,01/08/2018,W,2342
40470,Racine,01/02/2018,W,1084
40470,Racine,03/18/2018,U,706
40470,Racine,01/16/2018,W,2528
40470,Racine,03/21/2018,W,2534
40470,Racine,01/09/2018,W,2329
40470,Racine,03/04/2018,U,637
40470,Racine,02/27/2018,W,2590
40470,Racine,03/19/2018,W,2463
40470,Racine,01/26/2018,W,2574
40470,Racine,03/27/2018,W,1603
40470,Racine,03/22/2018,W,2531
40470,Racine,02/13/2018,W,2545
40470,Racine,03/20/2018,W,2515
40470,Racine,01/19/2018,W,2481
40470,Racine,02/11/2018,U,574
40470,Racine,02/05/2018,W,2344
40470,Racine,02/04/2018,U,545
40470,Racine,02/07/2018,W,2481
40470,Racine,01/14/2018,U,599
40470,Racine,02/02/2018,W,1587
40470,Racine,02/03/2018,A,848
40470,Racine,03/05/2018,W,2377
40470,Racine,02/10/2018,A,905
40470,Racine,03/12/2018,W,2473
40470,Racine,01/11/2018,W,2553
40470,Racine,01/10/2018,W,2493
40470,Racine,01/03/2018,W,1304
40470,Racine,02/14/2018,W,2633
40470,Racine,03/01/2018,W,2596
40470,Racine,02/15/2018,W,2673
40470,Racine,03/15/2018,W,2539
40470,Racine,03/30/2018,W,1392
40470,Racine,03/28/2018,W,1629
40470,Racine,02/24/2018,A,1318
40470,Racine,03/16/2018,W,2517
40470,Racine,03/25/2018,U,808
40470,Racine,02/16/2018,W,2637
40470,Racine,03/14/2018,W,2489
40470,Racine,01/18/2018,W,2477
40470,Racine,03/08/2018,W,2590
40470,Racine,03/10/2018,A,960
40470,Racine,03/13/2018,W,2436
40470,Racine,03/06/2018,W,2513
40470,Racine,02/22/2018,W,2548
40470,Racine,02/19/2018,W,1329
40470,Racine,03/02/2018,W,2580
40470,Racine,03/23/2018,W,2467
40470,Racine,01/17/2018,W,2527
40470,Racine,01/25/2018,W,2616
40470,Racine,02/08/2018,W,2520
40470,Racine,02/01/2018,W,2623
40470,Racine,01/24/2018,W,2550
40470,Racine,01/30/2018,W,2638
40470,Racine,03/24/2018,A,1097
40470,Racine,02/09/2018,W,1231
40470,Racine,03/31/2018,A,705
40470,Racine,03/03/2018,A,919
40470,Racine,01/13/2018,A,766
40470,Racine,02/28/2018,W,2583
40470,Racine,01/01/2018,U,401
40470,Racine,01/06/2018,A,518
40470,Racine,03/07/2018,W,2533
40470,Racine,02/26/2018,W,2427
40470,Racine,03/26/2018,W,1587
40470,Racine,03/11/2018,U,642
40470,Racine,01/21/2018,U,653
40470,Racine,01/22/2018,W,2502
40470,Racine,01/29/2018,W,2435
40470,Racine,01/04/2018,W,1263
40470,Racine,02/20/2018,W,2455
40470,Racine,01/28/2018,U,632
40470,Racine,01/07/2018,U,427
40470,Racine,01/12/2018,W,2277
40470,Racine,02/21/2018,W,2593
40470,Racine,01/05/2018,W,1273
40470,Racine,01/15/2018,W,1053
40470,Racine,02/17/2018,A,940
40470,Racine,01/27/2018,A,999
40470,Racine,01/23/2018,W,2501
40470,Racine,02/18/2018,U,698
40470,Racine,02/06/2018,W,2371
40470,Racine,03/29/2018,W,1541
40470,Racine,06/22/2018,W,1693
40470,Racine,06/18/2018,W,2268
40470,Racine,04/30/2018,W,2463
40470,Racine,06/03/2018,U,771
40470,Racine,04/06/2018,W,2574
40470,Racine,06/13/2018,W,2679
40470,Racine,04/03/2018,W,2385
40470,Racine,04/19/2018,W,2006
40470,Racine,04/13/2018,W,1979
40470,Racine,04/04/2018,W,2463
40470,Racine,05/14/2018,W,2546
40470,Racine,04/26/2018,W,2565
40470,Racine,04/29/2018,U,722
40470,Racine,05/21/2018,W,2296
40470,Racine,04/11/2018,W,2507
40470,Racine,04/27/2018,W,2481
40470,Racine,05/17/2018,W,2641
40470,Racine,05/22/2018,W,2506
40470,Racine,05/09/2018,W,2702
40470,Racine,06/02/2018,A,933
40470,Racine,04/20/2018,W,2664
40470,Racine,06/07/2018,W,2647
40470,Racine,05/23/2018,W,2694
40470,Racine,05/05/2018,A,1019
40470,Racine,04/28/2018,A,995
40470,Racine,05/19/2018,A,960
40470,Racine,06/14/2018,W,2628
40470,Racine,06/04/2018,W,2540
40470,Racine,06/29/2018,W,1821
40470,Racine,04/17/2018,W,2451
40470,Racine,06/26/2018,W,1839
40470,Racine,06/27/2018,W,1889
40470,Racine,06/25/2018,W,1864
40470,Racine,05/29/2018,W,2500
40470,Racine,04/23/2018,W,2404
40470,Racine,05/03/2018,W,2552
40470,Racine,06/16/2018,A,884
40470,Racine,04/21/2018,A,1176
40470,Racine,06/09/2018,A,2767
40470,Racine,06/01/2018,W,2664
40470,Racine,06/23/2018,A,889
40470,Racine,04/22/2018,U,680
40470,Racine,06/10/2018,U,1999
40470,Racine,06/11/2018,W,2510
40470,Racine,06/30/2018,A,897
40470,Racine,05/27/2018,U,770
40470,Racine,04/10/2018,W,2024
40470,Racine,06/08/2018,W,4031
40470,Racine,04/18/2018,W,2398
40470,Racine,05/01/2018,W,2582
