station_id,stationname,date,daytype,rides
41010,Rockwell,12/15/2017,W,1923
41010,Rockwell,12/01/2017,W,2067
41010,Rockwell,12/24/2017,U,379
41010,Rockwell,12/17/2017,U,670
41010,Rockwell,12/23/2017,A,655
41010,Rockwell,12/05/2017,W,1931
41010,Rockwell,12/20/2017,W,1910
41010,Rockwell,12/03/2017,U,674
41010,Rockwell,12/02/2017,A,1226
41010,Rockwell,12/25/2017,U,172
41010,Rockwell,12/22/2017,W,1471
41010,Rockwell,12/11/2017,W,1893
41010,Rockwell,12/30/2017,A,564
41010,Rockwell,12/04/2017,W,1912
41010,Rockwell,12/16/2017,A,953
41010,Rockwell,12/26/2017,W,666
41010,Rockwell,12/29/2017,W,1123
41010,Rockwell,12/21/2017,W,1847
41010,Rockwell,12/07/2017,W,1947
41010,Rockwell,12/08/2017,W,1954
41010,Rockwell,12/09/2017,A,933
41010,Rockwell,12/19/2017,W,1894
41010,Rockwell,12/12/2017,W,1974
41010,Rockwell,12/10/2017,U,621
41010,Rockwell,12/28/2017,W,1132
41010,Rockwell,12/18/2017,W,1776
41010,Rockwell,12/31/2017,U,605
41010,Rockwell,12/13/2017,W,1952
41010,Rockwell,12/06/2017,W,1962
41010,Rockwell,12/14/2017,W,1969
41010,Rockwell,12/27/2017,W,998
41010,Rockwell,02/16/2018,W,1824
41010,Rockwell,01/10/2018,W,1903
41010,Rockwell,02/08/2018,W,1966
41010,Rockwell,03/16/2018,W,1862
41010,Rockwell,01/14/2018,U,560
41010,Rockwell,03/05/2018,W,1823
41010,Rockwell,03/21/2018,W,1881
41010,Rockwell,01/07/2018,U,554
41010,Rockwell,03/26/2018,W,1728
41010,Rockwell,01/09/2018,W,1890
41010,Rockwell,02/06/2018,W,1940
41010,Rockwell,02/28/2018,W,1934
41010,Rockwell,03/07/2018,W,1989
41010,Rockwell,02/13/2018,W,1967
41010,Rockwell,02/14/2018,W,1987
41010,Rockwell,02/10/2018,A,901
41010,Rockwell,02/25/2018,U,627
41010,Rockwell,01/26/2018,W,1875
41010,Rockwell,02/24/2018,A,901
41010,Rockwell,03/30/2018,W,1465
41010,Rockwell,01/22/2018,W,1821
41010,Rockwell,03/24/2018,A,862
41010,Rockwell,01/31/2018,W,1926
41010,Rockwell,03/28/2018,W,1794
41010,Rockwell,03/08/2018,W,1888
41010,Rockwell,02/03/2018,A,790
41010,Rockwell,02/11/2018,U,615
41010,Rockwell,03/17/2018,A,1179
41010,Rockwell,03/22/2018,W,1915
41010,Rockwell,01/16/2018,W,1868
41010,Rockwell,01/03/2018,W,1688
41010,Rockwell,03/11/2018,U,573
41010,Rockwell,01/29/2018,W,1795
41010,Rockwell,03/02/2018,W,1808
41010,Rockwell,03/19/2018,W,1782
41010,Rockwell,03/29/2018,W,1779
41010,Rockwell,01/28/2018,U,581
41010,Rockwell,02/15/2018,W,2029
41010,Rockwell,02/22/2018,W,1879
41010,Rockwell,02/26/2018,W,1851
41010,Rockwell,03/20/2018,W,1815
41010,Rockwell,03/14/2018,W,1924
41010,Rockwell,01/15/2018,W,1106
41010,Rockwell,03/18/2018,U,616
41010,Rockwell,01/12/2018,W,1796
41010,Rockwell,01/30/2018,W,1896
41010,Rockwell,01/11/2018,W,1915
41010,Rockwell,01/18/2018,W,1894
41010,Rockwell,02/17/2018,A,864
41010,Rockwell,02/20/2018,W,1861
41010,Rockwell,02/12/2018,W,1812
41010,Rockwell,01/17/2018,W,1900
41010,Rockwell,03/03/2018,A,887
41010,Rockwell,01/25/2018,W,1966
41010,Rockwell,01/08/2018,W,1857
41010,Rockwell,02/09/2018,W,1434
41010,Rockwell,01/01/2018,U,333
41010,Rockwell,02/05/2018,W,1826
41010,Rockwell,02/07/2018,W,1909
41010,Rockwell,01/13/2018,A,753
41010,Rockwell,01/02/2018,W,1456
41010,Rockwell,01/23/2018,W,1923
41010,Rockwell,03/13/2018,W,1878
41010,Rockwell,03/15/2018,W,1918
41010,Rockwell,01/21/2018,U,546
41010,Rockwell,03/04/2018,U,603
41010,Rockwell,03/31/2018,A,718
41010,Rockwell,03/09/2018,W,1855
41010,Rockwell,02/18/2018,U,639
41010,Rockwell,03/25/2018,U,581
41010,Rockwell,01/19/2018,W,1817
41010,Rockwell,01/05/2018,W,1565
41010,Rockwell,02/02/2018,W,1744
41010,Rockwell,03/01/2018,W,1826
41010,Rockwell,02/19/2018,W,1267
41010,Rockwell,02/01/2018,W,1909
41010,Rockwell,02/27/2018,W,1890
41010,Rockwell,03/23/2018,W,1835
41010,Rockwell,03/12/2018,W,1817
41010,Rockwell,01/04/2018,W,1637
41010,Rockwell,01/27/2018,A,909
41010,Rockwell,03/10/2018,A,868
41010,Rockwell,02/21/2018,W,1962
41010,Rockwell,01/06/2018,A,687
41010,Rockwell,01/20/2018,A,1154
41010,Rockwell,02/04/2018,U,516
41010,Rockwell,03/06/2018,W,1911
41010,Rockwell,03/27/2018,W,1839
41010,Rockwell,02/23/2018,W,1858
41010,Rockwell,01/24/2018,W,1943
41010,Rockwell,06/20/2018,W,1998
41010,Rockwell,04/09/2018,W,1818
41010,Rockwell,04/23/2018,W,1816
41010,Rockwell,06/12/2018,W,1939
41010,Rockwell,05/14/2018,W,1759
41010,Rockwell,06/08/2018,W,1911
41010,Rockwell,05/24/2018,W,2039
41010,Rockwell,04/12/2018,W,1960
41010,Rockwell,05/19/2018,A,906
41010,Rockwell,06/06/2018,W,2018
41010,Rockwell,06/07/2018,W,2040
41010,Rockwell,05/16/2018,W,1942
41010,Rockwell,05/10/2018,W,1982
41010,Rockwell,04/07/2018,A,814
41010,Rockwell,05/03/2018,W,1934
41010,Rockwell,04/26/2018,W,1991
41010,Rockwell,04/21/2018,A,845
41010,Rockwell,05/22/2018,W,1968
41010,Rockwell,04/18/2018,W,1834
41010,Rockwell,04/22/2018,U,554
41010,Rockwell,05/26/2018,A,989
41010,Rockwell,06/17/2018,U,567
41010,Rockwell,06/26/2018,W,1849
41010,Rockwell,04/27/2018,W,1956
41010,Rockwell,06/01/2018,W,2002
41010,Rockwell,05/27/2018,U,701
41010,Rockwell,06/22/2018,W,1732
41010,Rockwell,06/15/2018,W,2009
41010,Rockwell,05/21/2018,W,1729
41010,Rockwell,04/29/2018,U,678
41010,Rockwell,06/28/2018,W,1956
41010,Rockwell,06/25/2018,W,1799
41010,Rockwell,05/06/2018,U,613
41010,Rockwell,05/04/2018,W,1920
41010,Rockwell,05/02/2018,W,1924
41010,Rockwell,04/30/2018,W,1877
41010,Rockwell,05/12/2018,A,777
41010,Rockwell,04/19/2018,W,1920
41010,Rockwell,06/05/2018,W,2010
41010,Rockwell,06/13/2018,W,1981
41010,Rockwell,04/08/2018,U,616
41010,Rockwell,06/02/2018,A,909
41010,Rockwell,05/23/2018,W,1993
41010,Rockwell,05/17/2018,W,1938
41010,Rockwell,05/30/2018,W,1937
41010,Rockwell,06/11/2018,W,1870
41010,Rockwell,04/03/2018,W,1908
41010,Rockwell,04/10/2018,W,1913
41010,Rockwell,05/07/2018,W,1893
41010,Rockwell,04/04/2018,W,1870
41010,Rockwell,05/29/2018,W,1880
41010,Rockwell,05/25/2018,W,1834
41010,Rockwell,05/31/2018,W,1981
41010,Rockwell,04/01/2018,U,420
41010,Rockwell,06/18/2018,W,1881
41010,Rockwell,06/30/2018,A,1029
41010,Rockwell,06/14/2018,W,1996
41010,Rockwell,05/18/2018,W,1884
41010,Rockwell,05/01/2018,W,1949
41010,Rockwell,05/20/2018,U,601
41010,Rockwell,04/02/2018,W,1717
41010,Rockwell,04/13/2018,W,1824
41010,Rockwell,04/15/2018,U,509
41010,Rockwell,05/05/2018,A,928
41010,Rockwell,06/19/2018,W,1985
41010,Rockwell,06/21/2018,W,1843
41010,Rockwell,04/20/2018,W,1840
41010,Rockwell,05/13/2018,U,597
41010,Rockwell,06/04/2018,W,1894
41010,Rockwell,06/10/2018,U,633
41010,Rockwell,04/28/2018,A,933
41010,Rockwell,04/06/2018,W,1832
41010,Rockwell,06/16/2018,A,886
41010,Rockwell,04/17/2018,W,1859
41010,Rockwell,06/23/2018,A,968
41010,Rockwell,04/14/2018,A,820
41010,Rockwell,05/08/2018,W,2020
41010,Rockwell,04/05/2018,W,1884
41010,Rockwell,05/15/2018,W,1902
41010,Rockwell,06/27/2018,W,1920
41010,Rockwell,06/24/2018,U,866
41010,Rockwell,06/29/2018,W,1822
41010,Rockwell,05/11/2018,W,1831
41010,Rockwell,05/28/2018,U,537
41010,Rockwell,06/09/2018,A,978
41010,Rockwell,06/03/2018,U,718
41010,Rockwell,04/11/2018,W,1913
41010,Rockwell,04/24/2018,W,1887
