station_id,stationname,date,daytype,rides
40800,Sedgwick,12/11/2017,W,3825
40800,Sedgwick,12/04/2017,W,3878
40800,Sedgwick,12/16/2017,A,2278
40800,Sedgwick,12/20/2017,W,3613
40800,Sedgwick,12/14/2017,W,3759
40800,Sedgwick,12/09/2017,A,2248
40800,Sedgwick,12/22/2017,W,2780
40800,Sedgwick,12/30/2017,A,1129
40800,Sedgwick,12/21/2017,W,3447
40800,Sedgwick,12/06/2017,W,3935
40800,Sedgwick,12/26/2017,W,1095
40800,Sedgwick,12/12/2017,W,3688
40800,Sedgwick,12/17/2017,U,1625
40800,Sedgwick,12/05/2017,W,3848
40800,Sedgwick,12/15/2017,W,3812
40800,Sedgwick,12/31/2017,U,1019
40800,Sedgwick,12/25/2017,U,418
40800,Sedgwick,12/10/2017,U,1636
40800,Sedgwick,12/03/2017,U,1887
40800,Sedgwick,12/01/2017,W,4259
40800,Sedgwick,12/07/2017,W,3783
40800,Sedgwick,12/24/2017,U,685
40800,Sedgwick,12/28/2017,W,1799
40800,Sedgwick,12/29/2017,W,2058
40800,Sedgwick,12/13/2017,W,3951
40800,Sedgwick,12/08/2017,W,3900
40800,Sedgwick,12/23/2017,A,1301
40800,Sedgwick,12/02/2017,A,2865
40800,Sedgwick,12/27/2017,W,1610
40800,Sedgwick,12/18/2017,W,3781
40800,Sedgwick,12/19/2017,W,3906
40800,Sedgwick,02/28/2018,W,3682
40800,Sedgwick,02/06/2018,W,3509
40800,Sedgwick,03/04/2018,U,1654
40800,Sedgwick,01/31/2018,W,3697
40800,Sedgwick,03/15/2018,W,3842
40800,Sedgwick,02/14/2018,W,3795
40800,Sedgwick,02/25/2018,U,1557
40800,Sedgwick,01/06/2018,A,1403
40800,Sedgwick,03/18/2018,U,1719
40800,Sedgwick,02/22/2018,W,3684
40800,Sedgwick,03/09/2018,W,3710
40800,Sedgwick,02/10/2018,A,1938
40800,Sedgwick,02/02/2018,W,3209
40800,Sedgwick,01/28/2018,U,1492
40800,Sedgwick,02/13/2018,W,3847
40800,Sedgwick,01/27/2018,A,2059
40800,Sedgwick,01/24/2018,W,3720
40800,Sedgwick,03/13/2018,W,3805
40800,Sedgwick,01/22/2018,W,3521
40800,Sedgwick,01/04/2018,W,2957
40800,Sedgwick,03/01/2018,W,3630
40800,Sedgwick,02/09/2018,W,2642
40800,Sedgwick,03/06/2018,W,3626
40800,Sedgwick,03/08/2018,W,3674
40800,Sedgwick,03/10/2018,A,1996
40800,Sedgwick,02/05/2018,W,3313
40800,Sedgwick,03/27/2018,W,3548
40800,Sedgwick,02/03/2018,A,1742
40800,Sedgwick,03/20/2018,W,3761
40800,Sedgwick,01/20/2018,A,2368
40800,Sedgwick,01/13/2018,A,1694
40800,Sedgwick,03/25/2018,U,1582
40800,Sedgwick,03/12/2018,W,3783
40800,Sedgwick,03/16/2018,W,3775
40800,Sedgwick,03/30/2018,W,3109
40800,Sedgwick,02/12/2018,W,3600
40800,Sedgwick,01/14/2018,U,1376
40800,Sedgwick,03/21/2018,W,3552
40800,Sedgwick,03/05/2018,W,3499
40800,Sedgwick,02/15/2018,W,3794
40800,Sedgwick,03/26/2018,W,3423
40800,Sedgwick,01/30/2018,W,3675
40800,Sedgwick,03/24/2018,A,1906
40800,Sedgwick,03/28/2018,W,3521
40800,Sedgwick,03/19/2018,W,3599
40800,Sedgwick,01/23/2018,W,3793
40800,Sedgwick,01/26/2018,W,3845
40800,Sedgwick,01/25/2018,W,3807
40800,Sedgwick,02/21/2018,W,3698
40800,Sedgwick,01/19/2018,W,3862
