station_id,stationname,date,daytype,rides
40140,Skokie,02/01/2003,A,0
40140,Skokie,02/20/2001,W,2651
40140,Skokie,05/05/2004,W,2636
40140,Skokie,04/22/2006,A,0
40140,Skokie,10/26/2001,W,2587
40140,Skokie,11/25/2005,W,1113
40140,Skokie,07/10/2008,W,3244
40140,Skokie,03/20/2010,A,803
40140,Skokie,03/11/2004,W,2207
40140,Skokie,03/05/2011,A,827
40140,Skokie,08/02/2009,U,874
40140,Skokie,11/09/2006,W,2558
40140,Skokie,01/10/2005,W,2151
40140,Skokie,04/11/2011,W,2585
40140,Skokie,10/11/2001,W,2919
40140,Skokie,09/14/2001,W,2644
40140,Skokie,07/21/2011,W,2629
40140,Skokie,07/02/2005,A,1195
40140,Skokie,11/06/2004,A,0
40140,Skokie,08/22/2003,W,2096
40140,Skokie,07/28/2011,W,2274
40140,Skokie,03/05/2008,W,2162
40140,Skokie,04/25/2006,W,2614
40140,Skokie,11/05/2002,W,2699
40140,Skokie,10/17/2001,W,2893
40140,Skokie,06/01/2009,W,2243
40140,Skokie,03/24/2010,W,2314
40140,Skokie,10/04/2002,W,2654
40140,Skokie,04/18/2009,A,1271
40140,Skokie,03/24/2007,A,0
40140,Skokie,09/11/2006,W,2552
40140,Skokie,09/02/2011,W,2866
40140,Skokie,08/03/2006,W,3077
40140,Skokie,11/21/2007,W,1850
40140,Skokie,11/03/2011,W,2713
40140,Skokie,06/28/2008,A,1296
40140,Skokie,08/12/2008,W,2529
40140,Skokie,09/04/2001,W,2590
40140,Skokie,11/16/2005,W,2291
40140,Skokie,07/30/2009,W,3304
40140,Skokie,11/02/2001,W,2745
40140,Skokie,05/21/2009,W,2360
40140,Skokie,10/25/2004,W,2508
40140,Skokie,12/23/2008,W,2015
40140,Skokie,09/03/2008,W,3178
40140,Skokie,07/06/2004,W,2190
40140,Skokie,01/31/2001,W,2692
40140,Skokie,01/31/2005,W,2262
40140,Skokie,01/25/2008,W,1958
40140,Skokie,08/23/2003,A,0
40140,Skokie,09/25/2003,W,2600
40140,Skokie,03/08/2001,W,2551
40140,Skokie,06/29/2001,W,2751
40140,Skokie,10/20/2006,W,2365
40140,Skokie,05/09/2001,W,2594
40140,Skokie,10/02/2001,W,3050
40140,Skokie,02/26/2008,W,2185
40140,Skokie,06/12/2006,W,2364
40140,Skokie,05/24/2005,W,2789
40140,Skokie,11/06/2002,W,2887
40140,Skokie,07/19/2007,W,2965
40140,Skokie,11/24/2001,A,0
40140,Skokie,03/29/2008,A,0
40140,Skokie,10/29/2005,A,0
40140,Skokie,11/23/2006,U,0
40140,Skokie,12/03/2003,W,2259
40140,Skokie,08/06/2010,W,3621
40140,Skokie,06/03/2007,U,0
40140,Skokie,02/28/2005,W,2187
40140,Skokie,02/24/2003,W,2416
40140,Skokie,07/09/2009,W,2471
40140,Skokie,04/18/2004,U,0
40140,Skokie,01/20/2009,W,2323
40140,Skokie,11/13/2003,W,2381
40140,Skokie,02/06/2011,U,649
40140,Skokie,03/03/2009,W,2195
40140,Skokie,05/22/2003,W,2471
40140,Skokie,12/16/2010,W,2253
40140,Skokie,04/03/2006,W,2284
40140,Skokie,04/05/2006,W,2475
40140,Skokie,11/01/2010,W,2628
40140,Skokie,06/14/2001,W,2583
40140,Skokie,08/26/2006,A,0
40140,Skokie,04/18/2011,W,2586
40140,Skokie,10/09/2003,W,2589
40140,Skokie,12/19/2007,W,1916
40140,Skokie,01/19/2001,W,2495
40140,Skokie,02/14/2007,W,2165
40140,Skokie,10/23/2006,W,2335
40140,Skokie,07/23/2006,U,0
40140,Skokie,01/24/2010,U,583
40140,Skokie,01/09/2010,A,785
40140,Skokie,08/06/2003,W,2332
40140,Skokie,09/10/2008,W,2812
40140,Skokie,09/03/2005,A,0
40140,Skokie,07/21/2001,A,0
40140,Skokie,04/03/2007,W,2088
40140,Skokie,09/22/2001,A,0
40140,Skokie,11/16/2001,W,2562
40140,Skokie,08/01/2003,W,2860
40140,Skokie,02/06/2002,W,2581
40140,Skokie,03/31/2005,W,2257
40140,Skokie,08/30/2007,W,3124
40140,Skokie,07/12/2008,A,1574
40140,Skokie,06/02/2006,W,2159
40140,Skokie,02/03/2004,W,2277
40140,Skokie,12/31/2009,W,1476
40140,Skokie,06/11/2006,U,0
40140,Skokie,07/19/2005,W,2376
40140,Skokie,01/28/2003,W,2506
40140,Skokie,09/29/2001,A,0
40140,Skokie,03/17/2010,W,2531
40140,Skokie,12/22/2007,A,0
40140,Skokie,08/15/2004,U,0
40140,Skokie,07/07/2009,W,3030
40140,Skokie,01/18/2006,W,2327
40140,Skokie,11/06/2006,W,2454
40140,Skokie,09/04/2009,W,2450
40140,Skokie,08/09/2007,W,2126
40140,Skokie,03/30/2004,W,2246
40140,Skokie,06/24/2006,A,0
40140,Skokie,12/02/2011,W,2555
