station_id,stationname,date,daytype,rides
40360,Southport,12/11/2017,W,3468
40360,Southport,12/03/2017,U,1617
40360,Southport,12/12/2017,W,3616
40360,Southport,12/20/2017,W,3606
40360,Southport,12/27/2017,W,1652
40360,Southport,12/30/2017,A,1348
40360,Southport,12/09/2017,A,2401
40360,Southport,12/05/2017,W,3608
40360,Southport,12/06/2017,W,3672
40360,Southport,12/19/2017,W,3753
40360,Southport,12/23/2017,A,1293
40360,Southport,12/17/2017,U,1595
40360,Southport,12/07/2017,W,3661
40360,Southport,12/04/2017,W,3601
40360,Southport,12/16/2017,A,2513
40360,Southport,12/25/2017,U,170
40360,Southport,12/10/2017,U,1558
40360,Southport,12/29/2017,W,2122
40360,Southport,12/13/2017,W,3642
40360,Southport,12/15/2017,W,3676
40360,Southport,12/02/2017,A,2850
40360,Southport,12/26/2017,W,969
40360,Southport,12/28/2017,W,1982
40360,Southport,12/08/2017,W,3798
40360,Southport,12/31/2017,U,1224
40360,Southport,12/14/2017,W,3647
40360,Southport,12/01/2017,W,4208
40360,Southport,12/22/2017,W,2737
40360,Southport,12/24/2017,U,582
40360,Southport,12/18/2017,W,3569
40360,Southport,12/21/2017,W,3323
40360,Southport,02/13/2018,W,3765
40360,Southport,03/15/2018,W,3722
40360,Southport,01/11/2018,W,3676
40360,Southport,02/05/2018,W,3329
40360,Southport,02/02/2018,W,3377
40360,Southport,01/22/2018,W,3502
40360,Southport,01/31/2018,W,3668
40360,Southport,02/23/2018,W,3664
40360,Southport,01/06/2018,A,1663
40360,Southport,03/03/2018,A,2224
40360,Southport,02/25/2018,U,1529
40360,Southport,03/21/2018,W,3547
40360,Southport,03/30/2018,W,3095
40360,Southport,03/31/2018,A,1613
40360,Southport,01/14/2018,U,1381
40360,Southport,02/11/2018,U,1649
40360,Southport,01/02/2018,W,2717
40360,Southport,03/23/2018,W,3493
40360,Southport,01/08/2018,W,3500
40360,Southport,01/10/2018,W,3625
40360,Southport,02/19/2018,W,2706
40360,Southport,01/15/2018,W,2469
40360,Southport,03/05/2018,W,3385
40360,Southport,01/12/2018,W,3616
40360,Southport,03/29/2018,W,3536
40360,Southport,01/29/2018,W,3518
40360,Southport,02/10/2018,A,2152
40360,Southport,03/02/2018,W,3670
40360,Southport,02/17/2018,A,2054
40360,Southport,01/30/2018,W,3575
40360,Southport,02/22/2018,W,3505
40360,Southport,01/13/2018,A,1809
40360,Southport,03/26/2018,W,3364
40360,Southport,02/12/2018,W,3556
40360,Southport,01/03/2018,W,3270
40360,Southport,01/17/2018,W,3612
40360,Southport,03/28/2018,W,3638
40360,Southport,01/09/2018,W,3690
40360,Southport,02/03/2018,A,1807
40360,Southport,01/01/2018,U,937
40360,Southport,03/24/2018,A,1938
40360,Southport,03/18/2018,U,1706
40360,Southport,03/04/2018,U,1417
40360,Southport,01/28/2018,U,1454
40360,Southport,01/25/2018,W,3687
40360,Southport,01/21/2018,U,1348
40360,Southport,02/16/2018,W,3649
40360,Southport,02/21/2018,W,3604
40360,Southport,02/01/2018,W,3562
40360,Southport,03/07/2018,W,3658
40360,Southport,03/27/2018,W,3467
40360,Southport,02/27/2018,W,3707
40360,Southport,02/09/2018,W,2693
40360,Southport,02/08/2018,W,3630
40360,Southport,01/18/2018,W,3711
40360,Southport,03/17/2018,A,3402
40360,Southport,02/15/2018,W,3650
40360,Southport,01/16/2018,W,3651
40360,Southport,01/24/2018,W,3754
40360,Southport,02/18/2018,U,1534
40360,Southport,03/06/2018,W,3559
40360,Southport,03/09/2018,W,3639
40360,Southport,02/24/2018,A,2088
40360,Southport,01/19/2018,W,3738
40360,Southport,03/01/2018,W,3531
40360,Southport,03/08/2018,W,3642
40360,Southport,01/27/2018,A,2259
40360,Southport,08/25/2007,A,0
40360,Southport,02/04/2018,U,1189
40360,Southport,03/20/2018,W,3473
40360,Southport,02/28/2018,W,3660
40360,Southport,03/11/2018,U,1463
40360,Southport,03/19/2018,W,3403
40360,Southport,03/14/2018,W,3781
40360,Southport,01/23/2018,W,3626
40360,Southport,01/26/2018,W,3836
40360,Southport,02/20/2018,W,3426
40360,Southport,02/14/2018,W,3899
40360,Southport,03/16/2018,W,3754
40360,Southport,03/22/2018,W,3584
40360,Southport,03/12/2018,W,3475
40360,Southport,01/04/2018,W,3263
40360,Southport,01/05/2018,W,3088
40360,Southport,02/26/2018,W,3567
40360,Southport,02/06/2018,W,3597
40360,Southport,03/13/2018,W,3634
40360,Southport,03/25/2018,U,1508
40360,Southport,03/10/2018,A,2286
40360,Southport,01/07/2018,U,1118
40360,Southport,02/07/2018,W,3549
40360,Southport,01/20/2018,A,2513
40360,Southport,05/28/2018,U,1400
40360,Southport,06/29/2018,W,3802
40360,Southport,05/19/2018,A,2072
40360,Southport,05/14/2018,W,3356
40360,Southport,04/27/2018,W,3785
40360,Southport,06/05/2018,W,4068
40360,Southport,06/18/2018,W,3499
40360,Southport,05/02/2018,W,3790
40360,Southport,04/10/2018,W,3740
40360,Southport,04/20/2018,W,3709
40360,Southport,06/07/2018,W,4086
40360,Southport,05/12/2018,A,2087
40360,Southport,05/11/2018,W,3715
40360,Southport,05/17/2018,W,3681
40360,Southport,05/07/2018,W,3712
40360,Southport,05/18/2018,W,3487
40360,Southport,06/25/2018,W,3537
40360,Southport,05/03/2018,W,3676
40360,Southport,04/17/2018,W,3711
40360,Southport,06/16/2018,A,2050
40360,Southport,05/30/2018,W,3584
40360,Southport,05/21/2018,W,3212
40360,Southport,05/27/2018,U,1991
40360,Southport,06/04/2018,W,3648
40360,Southport,06/10/2018,U,1644
40360,Southport,04/02/2018,W,3392
40360,Southport,04/15/2018,U,1232
40360,Southport,04/05/2018,W,3669
40360,Southport,05/20/2018,U,1387
40360,Southport,05/13/2018,U,1514
40360,Southport,06/02/2018,A,2251
40360,Southport,06/28/2018,W,3800
40360,Southport,04/26/2018,W,3821
40360,Southport,04/03/2018,W,3543
40360,Southport,04/01/2018,U,947
40360,Southport,04/18/2018,W,3584
40360,Southport,06/15/2018,W,3741
40360,Southport,06/14/2018,W,3729
40360,Southport,06/17/2018,U,1372
40360,Southport,05/06/2018,U,1613
40360,Southport,05/08/2018,W,4014
40360,Southport,04/07/2018,A,2039
40360,Southport,05/01/2018,W,3890
40360,Southport,05/05/2018,A,2242
40360,Southport,06/30/2018,A,2283
40360,Southport,04/16/2018,W,3446
40360,Southport,05/04/2018,W,3601
40360,Southport,06/13/2018,W,3843
40360,Southport,06/08/2018,W,4016
40360,Southport,05/22/2018,W,3814
40360,Southport,06/19/2018,W,3873
40360,Southport,04/09/2018,W,3529
40360,Southport,04/29/2018,U,1814
40360,Southport,06/22/2018,W,3304
40360,Southport,06/11/2018,W,3547
40360,Southport,04/13/2018,W,3500
40360,Southport,05/23/2018,W,3957
40360,Southport,06/09/2018,A,2948
40360,Southport,04/25/2018,W,3656
40360,Southport,06/21/2018,W,3324
40360,Southport,06/27/2018,W,3695
40360,Southport,04/19/2018,W,3749
40360,Southport,06/03/2018,U,1875
40360,Southport,04/30/2018,W,3711
40360,Southport,04/11/2018,W,3865
40360,Southport,04/04/2018,W,3728
40360,Southport,05/15/2018,W,3686
40360,Southport,04/21/2018,A,1942
40360,Southport,05/26/2018,A,2475
40360,Southport,06/24/2018,U,2459
40360,Southport,05/16/2018,W,3646
40360,Southport,05/31/2018,W,3897
40360,Southport,04/12/2018,W,3799
40360,Southport,05/29/2018,W,3610
40360,Southport,04/24/2018,W,3654
40360,Southport,04/14/2018,A,1804
40360,Southport,04/28/2018,A,2321
40360,Southport,06/23/2018,A,2190
40360,Southport,05/10/2018,W,3834
40360,Southport,04/06/2018,W,3579
40360,Southport,04/22/2018,U,1458
40360,Southport,04/23/2018,W,3443
40360,Southport,05/09/2018,W,3804
40360,Southport,05/25/2018,W,3791
40360,Southport,06/26/2018,W,3532
40360,Southport,06/12/2018,W,3746
40360,Southport,05/24/2018,W,3847
40360,Southport,06/20/2018,W,3941
40360,Southport,06/06/2018,W,4038
40360,Southport,06/01/2018,W,3789
40360,Southport,04/08/2018,U,1317
40360,Southport,07/01/2018,U,1698
40360,Southport,07/02/2018,W,3282
40360,Southport,07/03/2018,W,3601
40360,Southport,07/04/2018,U,1757
40360,Southport,07/05/2018,W,2807
40360,Southport,07/06/2018,W,3489
40360,Southport,07/07/2018,A,2238
40360,Southport,07/08/2018,U,1634
40360,Southport,07/09/2018,W,3526
40360,Southport,07/10/2018,W,3681
40360,Southport,07/11/2018,W,3733
40360,Southport,07/12/2018,W,3628
40360,Southport,07/13/2018,W,3906
40360,Southport,07/14/2018,A,2717
40360,Southport,07/15/2018,U,2119
40360,Southport,07/16/2018,W,3665
40360,Southport,07/17/2018,W,3720
40360,Southport,07/18/2018,W,3799
40360,Southport,07/19/2018,W,3903
40360,Southport,07/20/2018,W,3901
40360,Southport,07/21/2018,A,2806
40360,Southport,07/22/2018,U,1676
40360,Southport,07/23/2018,W,3672
40360,Southport,07/24/2018,W,3802
40360,Southport,07/25/2018,W,3894
40360,Southport,07/26/2018,W,3872
40360,Southport,07/27/2018,W,3635
40360,Southport,07/28/2018,A,2284
40360,Southport,07/29/2018,U,1909
40360,Southport,07/30/2018,W,3813
