station_id,stationname,date,daytype,rides
40730,Washington/Wells,12/16/2017,A,1256
40730,Washington/Wells,12/04/2017,W,8589
40730,Washington/Wells,12/30/2017,A,765
40730,Washington/Wells,12/25/2017,U,334
40730,Washington/Wells,12/24/2017,U,553
40730,Washington/Wells,12/31/2017,U,604
40730,Washington/Wells,12/11/2017,W,8490
40730,Washington/Wells,12/26/2017,W,3051
40730,Washington/Wells,12/06/2017,W,8437
40730,Washington/Wells,12/19/2017,W,8143
40730,Washington/Wells,12/27/2017,W,4692
40730,Washington/Wells,12/13/2017,W,8258
40730,Washington/Wells,12/28/2017,W,4865
40730,Washington/Wells,12/01/2017,W,7917
40730,Washington/Wells,12/14/2017,W,7809
40730,Washington/Wells,12/02/2017,A,1658
40730,Washington/Wells,12/17/2017,U,929
40730,Washington/Wells,12/10/2017,U,953
40730,Washington/Wells,12/08/2017,W,7679
40730,Washington/Wells,12/23/2017,A,920
40730,Washington/Wells,12/12/2017,W,8393
40730,Washington/Wells,12/05/2017,W,8596
40730,Washington/Wells,12/03/2017,U,990
40730,Washington/Wells,12/29/2017,W,4438
40730,Washington/Wells,12/20/2017,W,7725
40730,Washington/Wells,12/21/2017,W,7072
40730,Washington/Wells,12/15/2017,W,7102
40730,Washington/Wells,12/09/2017,A,1357
40730,Washington/Wells,12/18/2017,W,7906
40730,Washington/Wells,12/22/2017,W,4901
40730,Washington/Wells,12/07/2017,W,8312
40730,Washington/Wells,02/06/2018,W,8272
40730,Washington/Wells,03/16/2018,W,7827
40730,Washington/Wells,03/30/2018,W,5733
40730,Washington/Wells,01/12/2018,W,7750
40730,Washington/Wells,02/05/2018,W,8332
40730,Washington/Wells,02/07/2018,W,8294
40730,Washington/Wells,01/19/2018,W,7932
40730,Washington/Wells,03/27/2018,W,8087
40730,Washington/Wells,03/20/2018,W,8239
40730,Washington/Wells,01/07/2018,U,590
40730,Washington/Wells,01/29/2018,W,8239
40730,Washington/Wells,02/20/2018,W,8471
40730,Washington/Wells,01/09/2018,W,8506
40730,Washington/Wells,01/01/2018,U,459
40730,Washington/Wells,03/15/2018,W,8211
40730,Washington/Wells,02/21/2018,W,8391
40730,Washington/Wells,01/25/2018,W,8241
40730,Washington/Wells,03/21/2018,W,8393
40730,Washington/Wells,02/22/2018,W,8316
40730,Washington/Wells,02/15/2018,W,8188
40730,Washington/Wells,01/23/2018,W,8403
40730,Washington/Wells,02/10/2018,A,1052
40730,Washington/Wells,01/16/2018,W,8440
40730,Washington/Wells,01/26/2018,W,7714
40730,Washington/Wells,01/30/2018,W,8332
40730,Washington/Wells,03/14/2018,W,8362
40730,Washington/Wells,01/10/2018,W,8538
40730,Washington/Wells,02/28/2018,W,8373
40730,Washington/Wells,02/04/2018,U,790
40730,Washington/Wells,01/13/2018,A,1128
40730,Washington/Wells,03/26/2018,W,8077
40730,Washington/Wells,01/22/2018,W,8193
40730,Washington/Wells,01/31/2018,W,8343
40730,Washington/Wells,03/13/2018,W,8630
40730,Washington/Wells,01/15/2018,W,4483
40730,Washington/Wells,03/05/2018,W,7900
40730,Washington/Wells,01/21/2018,U,802
40730,Washington/Wells,02/24/2018,A,1257
40730,Washington/Wells,03/12/2018,W,8375
40730,Washington/Wells,02/09/2018,W,4982
40730,Washington/Wells,01/06/2018,A,886
40730,Washington/Wells,02/01/2018,W,8171
40730,Washington/Wells,01/03/2018,W,7867
40730,Washington/Wells,01/04/2018,W,7849
40730,Washington/Wells,03/06/2018,W,8478
40730,Washington/Wells,03/03/2018,A,1229
40730,Washington/Wells,02/11/2018,U,699
40730,Washington/Wells,03/01/2018,W,8041
40730,Washington/Wells,03/22/2018,W,8157
40730,Washington/Wells,02/17/2018,A,1155
40730,Washington/Wells,03/09/2018,W,7728
40730,Washington/Wells,02/26/2018,W,8277
40730,Washington/Wells,02/27/2018,W,8163
40730,Washington/Wells,01/14/2018,U,617
40730,Washington/Wells,01/17/2018,W,8454
40730,Washington/Wells,01/05/2018,W,7470
40730,Washington/Wells,03/07/2018,W,8189
40730,Washington/Wells,01/18/2018,W,8320
40730,Washington/Wells,03/11/2018,U,978
40730,Washington/Wells,03/23/2018,W,7529
40730,Washington/Wells,01/11/2018,W,8511
40730,Washington/Wells,02/23/2018,W,7821
40730,Washington/Wells,03/17/2018,A,1962
40730,Washington/Wells,03/28/2018,W,8242
40730,Washington/Wells,02/12/2018,W,7947
40730,Washington/Wells,02/08/2018,W,8529
40730,Washington/Wells,02/02/2018,W,7635
40730,Washington/Wells,03/31/2018,A,1060
40730,Washington/Wells,01/20/2018,A,1469
40730,Washington/Wells,03/18/2018,U,1070
40730,Washington/Wells,03/29/2018,W,7906
40730,Washington/Wells,01/08/2018,W,8405
40730,Washington/Wells,03/04/2018,U,952
40730,Washington/Wells,02/03/2018,A,981
40730,Washington/Wells,03/02/2018,W,7568
40730,Washington/Wells,02/14/2018,W,8846
40730,Washington/Wells,03/10/2018,A,1341
40730,Washington/Wells,02/19/2018,W,5150
40730,Washington/Wells,03/24/2018,A,1307
40730,Washington/Wells,01/27/2018,A,1241
40730,Washington/Wells,02/16/2018,W,7753
40730,Washington/Wells,02/18/2018,U,804
40730,Washington/Wells,01/24/2018,W,8388
40730,Washington/Wells,01/02/2018,W,6948
40730,Washington/Wells,03/25/2018,U,938
40730,Washington/Wells,02/13/2018,W,8914
40730,Washington/Wells,03/08/2018,W,8328
40730,Washington/Wells,01/28/2018,U,759
40730,Washington/Wells,02/25/2018,U,810
40730,Washington/Wells,03/19/2018,W,8258
40730,Washington/Wells,05/13/2018,U,795
40730,Washington/Wells,04/24/2018,W,8219
40730,Washington/Wells,06/23/2018,A,1336
40730,Washington/Wells,04/26/2018,W,8317
40730,Washington/Wells,06/02/2018,A,1205
40730,Washington/Wells,05/29/2018,W,8273
40730,Washington/Wells,06/26/2018,W,8780
40730,Washington/Wells,05/07/2018,W,8342
40730,Washington/Wells,05/11/2018,W,7485
40730,Washington/Wells,05/20/2018,U,804
40730,Washington/Wells,04/08/2018,U,765
40730,Washington/Wells,04/16/2018,W,8178
40730,Washington/Wells,06/25/2018,W,8439
40730,Washington/Wells,05/28/2018,U,949
40730,Washington/Wells,06/27/2018,W,8616
40730,Washington/Wells,05/05/2018,A,1328
40730,Washington/Wells,05/18/2018,W,7522
40730,Washington/Wells,04/01/2018,U,729
40730,Washington/Wells,05/01/2018,W,8247
40730,Washington/Wells,04/06/2018,W,7602
40730,Washington/Wells,05/15/2018,W,8540
40730,Washington/Wells,04/27/2018,W,7728
40730,Washington/Wells,06/01/2018,W,7644
40730,Washington/Wells,06/13/2018,W,8403
40730,Washington/Wells,04/20/2018,W,7406
40730,Washington/Wells,04/22/2018,U,794
40730,Washington/Wells,04/13/2018,W,7688
40730,Washington/Wells,06/28/2018,W,8401
40730,Washington/Wells,05/04/2018,W,7243
40730,Washington/Wells,05/19/2018,A,1284
40730,Washington/Wells,04/12/2018,W,8159
40730,Washington/Wells,05/09/2018,W,8431
40730,Washington/Wells,06/10/2018,U,935
40730,Washington/Wells,04/18/2018,W,8215
40730,Washington/Wells,05/10/2018,W,8345
40730,Washington/Wells,06/14/2018,W,8235
40730,Washington/Wells,04/30/2018,W,8085
40730,Washington/Wells,06/18/2018,W,8676
40730,Washington/Wells,04/21/2018,A,1169
40730,Washington/Wells,06/11/2018,W,8089
40730,Washington/Wells,06/05/2018,W,8834
40730,Washington/Wells,05/23/2018,W,8419
40730,Washington/Wells,06/12/2018,W,8689
40730,Washington/Wells,06/29/2018,W,7506
40730,Washington/Wells,06/04/2018,W,8489
40730,Washington/Wells,05/06/2018,U,850
40730,Washington/Wells,06/07/2018,W,8401
40730,Washington/Wells,04/05/2018,W,8257
40730,Washington/Wells,05/31/2018,W,8328
40730,Washington/Wells,05/24/2018,W,7667
40730,Washington/Wells,04/17/2018,W,8456
40730,Washington/Wells,05/02/2018,W,8451
40730,Washington/Wells,04/09/2018,W,8074
40730,Washington/Wells,04/15/2018,U,731
40730,Washington/Wells,05/26/2018,A,1270
40730,Washington/Wells,04/29/2018,U,1049
40730,Washington/Wells,05/30/2018,W,8628
40730,Washington/Wells,05/08/2018,W,8614
40730,Washington/Wells,06/21/2018,W,8381
40730,Washington/Wells,06/22/2018,W,7491
40730,Washington/Wells,06/17/2018,U,864
40730,Washington/Wells,06/06/2018,W,8599
40730,Washington/Wells,05/17/2018,W,8420
40730,Washington/Wells,05/14/2018,W,8022
40730,Washington/Wells,04/04/2018,W,8372
40730,Washington/Wells,06/08/2018,W,7412
40730,Washington/Wells,04/10/2018,W,8303
40730,Washington/Wells,05/22/2018,W,8667
40730,Washington/Wells,05/21/2018,W,7983
40730,Washington/Wells,04/11/2018,W,8474
40730,Washington/Wells,04/25/2018,W,8296
40730,Washington/Wells,06/19/2018,W,8792
