station_id,stationname,date,daytype,rides
40310,Western-Orange,12/25/2017,U,541
40310,Western-Orange,12/14/2017,W,3834
40310,Western-Orange,12/27/2017,W,2313
40310,Western-Orange,12/07/2017,W,3921
40310,Western-Orange,12/21/2017,W,3454
40310,Western-Orange,12/28/2017,W,2501
40310,Western-Orange,12/15/2017,W,3644
40310,Western-Orange,12/10/2017,U,1284
40310,Western-Orange,12/22/2017,W,3407
40310,Western-Orange,12/17/2017,U,1395
40310,Western-Orange,12/02/2017,A,2246
40310,Western-Orange,12/18/2017,W,3482
40310,Western-Orange,12/04/2017,W,3917
40310,Western-Orange,12/26/2017,W,2165
40310,Western-Orange,12/03/2017,U,1648
40310,Western-Orange,12/05/2017,W,3872
40310,Western-Orange,12/12/2017,W,3666
40310,Western-Orange,12/30/2017,A,1357
40310,Western-Orange,12/01/2017,W,3931
40310,Western-Orange,12/08/2017,W,3697
40310,Western-Orange,12/11/2017,W,3736
40310,Western-Orange,12/24/2017,U,1091
40310,Western-Orange,12/23/2017,A,1789
40310,Western-Orange,12/06/2017,W,3914
40310,Western-Orange,12/16/2017,A,1998
40310,Western-Orange,12/13/2017,W,3725
40310,Western-Orange,12/20/2017,W,3504
40310,Western-Orange,12/29/2017,W,2625
40310,Western-Orange,12/31/2017,U,1058
40310,Western-Orange,12/09/2017,A,1890
40310,Western-Orange,12/19/2017,W,3615
40310,Western-Orange,02/01/2018,W,3735
40310,Western-Orange,01/29/2018,W,3529
40310,Western-Orange,02/27/2018,W,3910
40310,Western-Orange,03/06/2018,W,3738
40310,Western-Orange,03/21/2018,W,3766
40310,Western-Orange,03/18/2018,U,1370
40310,Western-Orange,01/27/2018,A,1681
40310,Western-Orange,02/20/2018,W,3603
40310,Western-Orange,02/21/2018,W,3787
40310,Western-Orange,02/19/2018,W,2490
40310,Western-Orange,01/11/2018,W,3453
40310,Western-Orange,02/09/2018,W,2353
40310,Western-Orange,01/06/2018,A,1383
40310,Western-Orange,01/07/2018,U,1070
40310,Western-Orange,01/18/2018,W,3711
40310,Western-Orange,03/15/2018,W,3899
40310,Western-Orange,01/26/2018,W,3587
40310,Western-Orange,02/24/2018,A,1737
40310,Western-Orange,01/31/2018,W,3753
40310,Western-Orange,01/05/2018,W,2695
40310,Western-Orange,03/20/2018,W,3637
40310,Western-Orange,03/19/2018,W,3755
40310,Western-Orange,03/26/2018,W,3159
40310,Western-Orange,02/26/2018,W,3804
40310,Western-Orange,02/22/2018,W,3807
40310,Western-Orange,01/02/2018,W,2397
40310,Western-Orange,02/05/2018,W,3317
40310,Western-Orange,01/01/2018,U,763
40310,Western-Orange,02/13/2018,W,3783
40310,Western-Orange,01/22/2018,W,3577
40310,Western-Orange,03/01/2018,W,3675
40310,Western-Orange,03/12/2018,W,3761
40310,Western-Orange,01/04/2018,W,2719
40310,Western-Orange,02/02/2018,W,3141
40310,Western-Orange,01/03/2018,W,2697
40310,Western-Orange,01/25/2018,W,3828
40310,Western-Orange,03/22/2018,W,3782
40310,Western-Orange,02/28/2018,W,3838
40310,Western-Orange,03/30/2018,W,2997
40310,Western-Orange,02/15/2018,W,3798
40310,Western-Orange,03/16/2018,W,3684
40310,Western-Orange,02/18/2018,U,1252
40310,Western-Orange,03/27/2018,W,3241
40310,Western-Orange,01/15/2018,W,2109
40310,Western-Orange,02/04/2018,U,966
40310,Western-Orange,02/17/2018,A,1638
40310,Western-Orange,02/14/2018,W,3841
