station_id,stationname,date,daytype,rides
40670,Western/Milwaukee,12/08/2017,W,5733
40670,Western/Milwaukee,12/21/2017,W,5106
40670,Western/Milwaukee,12/29/2017,W,3059
40670,Western/Milwaukee,12/23/2017,A,2009
40670,Western/Milwaukee,12/30/2017,A,1638
40670,Western/Milwaukee,12/16/2017,A,2623
40670,Western/Milwaukee,12/28/2017,W,3244
40670,Western/Milwaukee,12/27/2017,W,2808
40670,Western/Milwaukee,12/05/2017,W,5616
40670,Western/Milwaukee,12/04/2017,W,5585
40670,Western/Milwaukee,12/22/2017,W,4311
40670,Western/Milwaukee,12/24/2017,U,1204
40670,Western/Milwaukee,12/20/2017,W,5403
40670,Western/Milwaukee,12/19/2017,W,5406
40670,Western/Milwaukee,12/13/2017,W,5510
40670,Western/Milwaukee,12/26/2017,W,1953
40670,Western/Milwaukee,12/11/2017,W,5390
40670,Western/Milwaukee,12/10/2017,U,1876
40670,Western/Milwaukee,12/09/2017,A,2650
40670,Western/Milwaukee,12/25/2017,U,589
40670,Western/Milwaukee,12/18/2017,W,5305
40670,Western/Milwaukee,12/14/2017,W,5490
40670,Western/Milwaukee,12/31/2017,U,1345
40670,Western/Milwaukee,12/17/2017,U,1874
40670,Western/Milwaukee,12/06/2017,W,5601
40670,Western/Milwaukee,12/02/2017,A,2665
40670,Western/Milwaukee,12/01/2017,W,5884
40670,Western/Milwaukee,12/12/2017,W,5480
40670,Western/Milwaukee,12/07/2017,W,5745
40670,Western/Milwaukee,12/15/2017,W,5373
40670,Western/Milwaukee,12/03/2017,U,2282
40670,Western/Milwaukee,03/08/2018,W,5636
40670,Western/Milwaukee,03/29/2018,W,5193
40670,Western/Milwaukee,02/10/2018,A,2348
40670,Western/Milwaukee,01/12/2018,W,5083
40670,Western/Milwaukee,02/05/2018,W,5010
40670,Western/Milwaukee,01/27/2018,A,2441
40670,Western/Milwaukee,02/23/2018,W,5460
40670,Western/Milwaukee,01/10/2018,W,5293
40670,Western/Milwaukee,01/20/2018,A,2828
40670,Western/Milwaukee,03/11/2018,U,1712
40670,Western/Milwaukee,02/19/2018,W,3751
40670,Western/Milwaukee,03/07/2018,W,5479
40670,Western/Milwaukee,01/03/2018,W,4354
40670,Western/Milwaukee,03/22/2018,W,5504
40670,Western/Milwaukee,01/25/2018,W,5593
40670,Western/Milwaukee,03/13/2018,W,5445
40670,Western/Milwaukee,03/03/2018,A,2471
40670,Western/Milwaukee,03/21/2018,W,5476
40670,Western/Milwaukee,02/13/2018,W,5644
40670,Western/Milwaukee,02/06/2018,W,5365
40670,Western/Milwaukee,01/05/2018,W,4422
40670,Western/Milwaukee,03/27/2018,W,5153
40670,Western/Milwaukee,03/26/2018,W,5070
40670,Western/Milwaukee,02/04/2018,U,1437
40670,Western/Milwaukee,01/26/2018,W,5325
40670,Western/Milwaukee,02/16/2018,W,5497
40670,Western/Milwaukee,03/20/2018,W,5341
40670,Western/Milwaukee,03/31/2018,A,2313
40670,Western/Milwaukee,02/14/2018,W,5677
40670,Western/Milwaukee,02/27/2018,W,5514
40670,Western/Milwaukee,01/31/2018,W,5557
40670,Western/Milwaukee,03/10/2018,A,2470
40670,Western/Milwaukee,03/23/2018,W,5396
40670,Western/Milwaukee,03/09/2018,W,5448
40670,Western/Milwaukee,03/06/2018,W,5458
40670,Western/Milwaukee,03/30/2018,W,4475
40670,Western/Milwaukee,02/18/2018,U,1735
40670,Western/Milwaukee,02/07/2018,W,5396
40670,Western/Milwaukee,03/05/2018,W,5205
40670,Western/Milwaukee,03/25/2018,U,1789
40670,Western/Milwaukee,01/15/2018,W,3097
40670,Western/Milwaukee,02/08/2018,W,5413
40670,Western/Milwaukee,02/01/2018,W,5453
40670,Western/Milwaukee,01/23/2018,W,5493
40670,Western/Milwaukee,01/14/2018,U,1488
40670,Western/Milwaukee,02/26/2018,W,5338
40670,Western/Milwaukee,01/30/2018,W,5552
40670,Western/Milwaukee,01/18/2018,W,5350
40670,Western/Milwaukee,01/09/2018,W,5260
40670,Western/Milwaukee,02/09/2018,W,3734
40670,Western/Milwaukee,02/17/2018,A,2453
40670,Western/Milwaukee,02/21/2018,W,5467
40670,Western/Milwaukee,01/13/2018,A,2146
40670,Western/Milwaukee,03/02/2018,W,5282
40670,Western/Milwaukee,01/07/2018,U,1369
40670,Western/Milwaukee,01/28/2018,U,1504
40670,Western/Milwaukee,01/11/2018,W,5252
40670,Western/Milwaukee,01/21/2018,U,1483
40670,Western/Milwaukee,01/24/2018,W,5501
40670,Western/Milwaukee,02/22/2018,W,5712
40670,Western/Milwaukee,01/22/2018,W,5258
40670,Western/Milwaukee,03/01/2018,W,5388
40670,Western/Milwaukee,03/18/2018,U,1944
40670,Western/Milwaukee,02/24/2018,A,2284
40670,Western/Milwaukee,01/19/2018,W,5281
40670,Western/Milwaukee,01/04/2018,W,4494
40670,Western/Milwaukee,01/16/2018,W,5525
40670,Western/Milwaukee,01/17/2018,W,5419
40670,Western/Milwaukee,02/15/2018,W,5659
40670,Western/Milwaukee,03/14/2018,W,5572
40670,Western/Milwaukee,03/17/2018,A,3780
40670,Western/Milwaukee,02/11/2018,U,1735
40670,Western/Milwaukee,03/04/2018,U,1792
40670,Western/Milwaukee,03/24/2018,A,2269
40670,Western/Milwaukee,03/28/2018,W,5268
40670,Western/Milwaukee,02/25/2018,U,1755
40670,Western/Milwaukee,01/06/2018,A,1729
40670,Western/Milwaukee,01/02/2018,W,3909
40670,Western/Milwaukee,03/19/2018,W,5368
40670,Western/Milwaukee,01/29/2018,W,5264
40670,Western/Milwaukee,02/20/2018,W,5285
40670,Western/Milwaukee,03/15/2018,W,5537
40670,Western/Milwaukee,03/12/2018,W,5390
40670,Western/Milwaukee,02/28/2018,W,5413
40670,Western/Milwaukee,01/08/2018,W,5024
40670,Western/Milwaukee,02/03/2018,A,2183
40670,Western/Milwaukee,03/16/2018,W,5514
40670,Western/Milwaukee,01/01/2018,U,1446
40670,Western/Milwaukee,02/02/2018,W,4931
40670,Western/Milwaukee,02/12/2018,W,5421
40670,Western/Milwaukee,04/06/2018,W,5482
40670,Western/Milwaukee,04/29/2018,U,1859
40670,Western/Milwaukee,05/20/2018,U,1782
40670,Western/Milwaukee,04/25/2018,W,5553
40670,Western/Milwaukee,05/04/2018,W,5721
40670,Western/Milwaukee,06/27/2018,W,5714
40670,Western/Milwaukee,06/25/2018,W,5487
40670,Western/Milwaukee,06/05/2018,W,5683
40670,Western/Milwaukee,06/17/2018,U,2009
40670,Western/Milwaukee,04/09/2018,W,5267
40670,Western/Milwaukee,04/13/2018,W,5251
40670,Western/Milwaukee,04/28/2018,A,2430
40670,Western/Milwaukee,06/02/2018,A,2710
40670,Western/Milwaukee,05/01/2018,W,5631
40670,Western/Milwaukee,04/12/2018,W,5667
40670,Western/Milwaukee,05/23/2018,W,5615
40670,Western/Milwaukee,06/18/2018,W,5418
40670,Western/Milwaukee,06/10/2018,U,1991
40670,Western/Milwaukee,05/24/2018,W,5680
40670,Western/Milwaukee,05/31/2018,W,5689
40670,Western/Milwaukee,05/12/2018,A,2254
40670,Western/Milwaukee,06/20/2018,W,5693
40670,Western/Milwaukee,04/22/2018,U,1777
40670,Western/Milwaukee,05/03/2018,W,5796
40670,Western/Milwaukee,05/13/2018,U,1699
40670,Western/Milwaukee,04/17/2018,W,5613
40670,Western/Milwaukee,05/21/2018,W,5147
40670,Western/Milwaukee,04/24/2018,W,5517
40670,Western/Milwaukee,06/03/2018,U,2361
40670,Western/Milwaukee,04/23/2018,W,5417
40670,Western/Milwaukee,06/11/2018,W,5658
40670,Western/Milwaukee,04/05/2018,W,5434
40670,Western/Milwaukee,06/09/2018,A,2707
40670,Western/Milwaukee,04/03/2018,W,5379
40670,Western/Milwaukee,05/08/2018,W,5771
40670,Western/Milwaukee,04/10/2018,W,5404
40670,Western/Milwaukee,06/15/2018,W,5512
40670,Western/Milwaukee,06/26/2018,W,5706
40670,Western/Milwaukee,04/15/2018,U,1574
40670,Western/Milwaukee,06/13/2018,W,5745
40670,Western/Milwaukee,04/16/2018,W,5303
40670,Western/Milwaukee,04/18/2018,W,5484
40670,Western/Milwaukee,04/02/2018,W,5133
40670,Western/Milwaukee,06/21/2018,W,5334
40670,Western/Milwaukee,06/08/2018,W,5623
40670,Western/Milwaukee,05/22/2018,W,5527
40670,Western/Milwaukee,04/07/2018,A,2409
40670,Western/Milwaukee,04/14/2018,A,2347
40670,Western/Milwaukee,06/12/2018,W,5748
40670,Western/Milwaukee,04/27/2018,W,5598
40670,Western/Milwaukee,05/06/2018,U,1874
40670,Western/Milwaukee,05/26/2018,A,2580
