station_id,stationname,date,daytype,rides
40540,Wilson,12/22/2017,W,4861
40540,Wilson,12/17/2017,U,2858
40540,Wilson,12/12/2017,W,6215
40540,Wilson,12/09/2017,A,4228
40540,Wilson,12/03/2017,U,3193
40540,Wilson,12/11/2017,W,6248
40540,Wilson,12/13/2017,W,6145
40540,Wilson,12/28/2017,W,3779
40540,Wilson,12/24/2017,U,2241
40540,Wilson,12/10/2017,U,3221
40540,Wilson,12/07/2017,W,6608
40540,Wilson,12/26/2017,W,2761
40540,Wilson,12/15/2017,W,5932
40540,Wilson,12/20/2017,W,5361
40540,Wilson,12/06/2017,W,6631
40540,Wilson,12/08/2017,W,5861
40540,Wilson,12/04/2017,W,6674
40540,Wilson,12/25/2017,U,1172
40540,Wilson,12/27/2017,W,3327
40540,Wilson,12/18/2017,W,5236
40540,Wilson,12/02/2017,A,4551
40540,Wilson,12/14/2017,W,6319
40540,Wilson,12/16/2017,A,4095
40540,Wilson,12/19/2017,W,5544
40540,Wilson,12/31/2017,U,2464
40540,Wilson,12/23/2017,A,3237
40540,Wilson,12/29/2017,W,4158
40540,Wilson,12/30/2017,A,2881
40540,Wilson,12/01/2017,W,6361
40540,Wilson,12/05/2017,W,6628
40540,Wilson,12/21/2017,W,5323
40540,Wilson,03/05/2018,W,6492
40540,Wilson,02/13/2018,W,7079
40540,Wilson,01/04/2018,W,4566
40540,Wilson,03/16/2018,W,6285
40540,Wilson,01/24/2018,W,6886
40540,Wilson,03/10/2018,A,4315
40540,Wilson,02/22/2018,W,6908
40540,Wilson,03/13/2018,W,6839
40540,Wilson,02/27/2018,W,6899
40540,Wilson,02/12/2018,W,6609
40540,Wilson,01/10/2018,W,5951
40540,Wilson,02/18/2018,U,3026
40540,Wilson,03/22/2018,W,6766
40540,Wilson,01/01/2018,U,1727
40540,Wilson,01/17/2018,W,6689
40540,Wilson,03/14/2018,W,6952
40540,Wilson,03/19/2018,W,6742
40540,Wilson,02/21/2018,W,6947
40540,Wilson,03/27/2018,W,5270
40540,Wilson,03/02/2018,W,6280
40540,Wilson,01/21/2018,U,2767
40540,Wilson,03/09/2018,W,5965
40540,Wilson,01/15/2018,W,3881
40540,Wilson,01/29/2018,W,6406
40540,Wilson,03/07/2018,W,6900
40540,Wilson,03/23/2018,W,5784
40540,Wilson,01/20/2018,A,4426
40540,Wilson,03/15/2018,W,7082
40540,Wilson,02/07/2018,W,6793
40540,Wilson,01/27/2018,A,4144
40540,Wilson,03/12/2018,W,6807
40540,Wilson,03/29/2018,W,5200
40540,Wilson,01/31/2018,W,6832
40540,Wilson,01/07/2018,U,2471
40540,Wilson,03/30/2018,W,4975
40540,Wilson,03/28/2018,W,5403
40540,Wilson,02/06/2018,W,6607
40540,Wilson,03/21/2018,W,6643
40540,Wilson,01/02/2018,W,4152
40540,Wilson,01/11/2018,W,5860
40540,Wilson,02/15/2018,W,6971
40540,Wilson,02/01/2018,W,6704
40540,Wilson,02/02/2018,W,5610
40540,Wilson,01/05/2018,W,4475
40540,Wilson,01/26/2018,W,6130
40540,Wilson,02/20/2018,W,6666
40540,Wilson,02/28/2018,W,6989
40540,Wilson,01/16/2018,W,6770
40540,Wilson,01/08/2018,W,5569
40540,Wilson,01/14/2018,U,2564
40540,Wilson,02/16/2018,W,6065
40540,Wilson,01/25/2018,W,6918
40540,Wilson,01/13/2018,A,3528
40540,Wilson,02/05/2018,W,6287
40540,Wilson,01/03/2018,W,4587
40540,Wilson,03/18/2018,U,3203
40540,Wilson,02/23/2018,W,5963
40540,Wilson,03/06/2018,W,6827
40540,Wilson,03/25/2018,U,2956
40540,Wilson,02/11/2018,U,2793
40540,Wilson,03/17/2018,A,4889
40540,Wilson,03/03/2018,A,4398
40540,Wilson,03/24/2018,A,4426
40540,Wilson,03/04/2018,U,2920
40540,Wilson,01/06/2018,A,3357
40540,Wilson,03/20/2018,W,6640
40540,Wilson,02/14/2018,W,7130
40540,Wilson,03/31/2018,A,3577
40540,Wilson,01/19/2018,W,5786
40540,Wilson,02/17/2018,A,4152
40540,Wilson,02/09/2018,W,4384
40540,Wilson,02/04/2018,U,2485
40540,Wilson,02/24/2018,A,4391
40540,Wilson,01/22/2018,W,6836
40540,Wilson,02/25/2018,U,2905
40540,Wilson,02/19/2018,W,4337
40540,Wilson,01/23/2018,W,6718
40540,Wilson,01/09/2018,W,5760
40540,Wilson,02/10/2018,A,4037
40540,Wilson,02/26/2018,W,6683
40540,Wilson,01/12/2018,W,5060
40540,Wilson,01/18/2018,W,6781
40540,Wilson,02/03/2018,A,4053
40540,Wilson,02/08/2018,W,6880
40540,Wilson,03/08/2018,W,6791
40540,Wilson,03/11/2018,U,2886
40540,Wilson,03/01/2018,W,6821
40540,Wilson,01/28/2018,U,2836
40540,Wilson,03/26/2018,W,5116
40540,Wilson,01/30/2018,W,6771
40540,Wilson,06/17/2018,U,3091
40540,Wilson,05/11/2018,W,5897
40540,Wilson,04/25/2018,W,6906
40540,Wilson,04/14/2018,A,3964
40540,Wilson,04/20/2018,W,6092
40540,Wilson,06/26/2018,W,6158
40540,Wilson,06/05/2018,W,6551
40540,Wilson,04/06/2018,W,5815
40540,Wilson,05/24/2018,W,6332
40540,Wilson,06/11/2018,W,6380
40540,Wilson,04/28/2018,A,4327
40540,Wilson,05/25/2018,W,5915
40540,Wilson,06/03/2018,U,3184
40540,Wilson,05/20/2018,U,2930
40540,Wilson,04/24/2018,W,6788
40540,Wilson,04/23/2018,W,6605
40540,Wilson,06/06/2018,W,6565
40540,Wilson,04/01/2018,U,2267
40540,Wilson,05/10/2018,W,6521
40540,Wilson,06/15/2018,W,6038
40540,Wilson,05/16/2018,W,6222
40540,Wilson,05/15/2018,W,6118
40540,Wilson,06/01/2018,W,6269
40540,Wilson,04/13/2018,W,5717
40540,Wilson,04/09/2018,W,6436
40540,Wilson,04/18/2018,W,6701
40540,Wilson,05/03/2018,W,6961
40540,Wilson,05/19/2018,A,4139
40540,Wilson,04/30/2018,W,6751
40540,Wilson,06/23/2018,A,4660
40540,Wilson,05/26/2018,A,4664
40540,Wilson,04/08/2018,U,2883
40540,Wilson,06/20/2018,W,6299
40540,Wilson,06/10/2018,U,3106
40540,Wilson,06/21/2018,W,6043
40540,Wilson,05/28/2018,U,3328
40540,Wilson,06/18/2018,W,6047
40540,Wilson,04/27/2018,W,6077
40540,Wilson,04/16/2018,W,6564
40540,Wilson,05/23/2018,W,6328
40540,Wilson,04/17/2018,W,6862
40540,Wilson,05/09/2018,W,6356
40540,Wilson,05/14/2018,W,5796
40540,Wilson,05/27/2018,U,3497
40540,Wilson,04/26/2018,W,6858
40540,Wilson,05/01/2018,W,6991
40540,Wilson,05/07/2018,W,6403
40540,Wilson,04/03/2018,W,6578
40540,Wilson,05/31/2018,W,6307
40540,Wilson,04/22/2018,U,2904
40540,Wilson,05/06/2018,U,3433
40540,Wilson,06/24/2018,U,8641
40540,Wilson,06/16/2018,A,4457
40540,Wilson,06/27/2018,W,6215
40540,Wilson,05/05/2018,A,5183
40540,Wilson,05/12/2018,A,3858
40540,Wilson,04/21/2018,A,4346
40540,Wilson,06/29/2018,W,5979
40540,Wilson,06/04/2018,W,6323
40540,Wilson,05/29/2018,W,5999
40540,Wilson,05/13/2018,U,2941
40540,Wilson,05/04/2018,W,6241
40540,Wilson,06/12/2018,W,6574
40540,Wilson,04/02/2018,W,6392
40540,Wilson,04/19/2018,W,6663
40540,Wilson,04/29/2018,U,3152
40540,Wilson,06/25/2018,W,6003
40540,Wilson,06/22/2018,W,5589
40540,Wilson,04/04/2018,W,6882
40540,Wilson,06/08/2018,W,5999
40540,Wilson,05/02/2018,W,6801
40540,Wilson,06/09/2018,A,4398
40540,Wilson,04/10/2018,W,6789
40540,Wilson,06/07/2018,W,6686
40540,Wilson,06/30/2018,A,4544
40540,Wilson,06/13/2018,W,6626
40540,Wilson,05/30/2018,W,6105
40540,Wilson,05/08/2018,W,6677
40540,Wilson,04/07/2018,A,4317
40540,Wilson,04/11/2018,W,7075
40540,Wilson,06/14/2018,W,6584
40540,Wilson,05/21/2018,W,5652
40540,Wilson,05/18/2018,W,5758
40540,Wilson,06/02/2018,A,4173
40540,Wilson,06/19/2018,W,6362
40540,Wilson,04/12/2018,W,7055
40540,Wilson,05/22/2018,W,6315
40540,Wilson,05/17/2018,W,6204
40540,Wilson,06/28/2018,W,6419
40540,Wilson,04/05/2018,W,6872
40540,Wilson,04/15/2018,U,2519
40540,Wilson,07/01/2018,U,3217
40540,Wilson,07/02/2018,W,6184
40540,Wilson,07/03/2018,W,6472
40540,Wilson,07/04/2018,U,3564
40540,Wilson,07/05/2018,W,5715
40540,Wilson,07/06/2018,W,5671
40540,Wilson,07/07/2018,A,4363
40540,Wilson,07/08/2018,U,3113
40540,Wilson,07/09/2018,W,6305
40540,Wilson,07/10/2018,W,6500
40540,Wilson,07/11/2018,W,6557
40540,Wilson,07/12/2018,W,6530
40540,Wilson,07/13/2018,W,6084
40540,Wilson,07/14/2018,A,4340
40540,Wilson,07/15/2018,U,3270
40540,Wilson,07/16/2018,W,6133
40540,Wilson,07/17/2018,W,6438
40540,Wilson,07/18/2018,W,6377
40540,Wilson,07/19/2018,W,6603
40540,Wilson,07/20/2018,W,6011
40540,Wilson,07/21/2018,A,4317
40540,Wilson,07/22/2018,U,2977
40540,Wilson,07/23/2018,W,6185
40540,Wilson,07/24/2018,W,6558
40540,Wilson,07/25/2018,W,6538
40540,Wilson,07/26/2018,W,6608
40540,Wilson,07/27/2018,W,6070
40540,Wilson,07/28/2018,A,4374
40540,Wilson,07/29/2018,U,3304
40540,Wilson,07/30/2018,W,5852
40540,Wilson,07/31/2018,W,5968
40540,Wilson,08/01/2018,W,6262
40540,Wilson,08/02/2018,W,6662
40540,Wilson,08/03/2018,W,6207
40540,Wilson,08/04/2018,A,4599
40540,Wilson,08/05/2018,U,3459
40540,Wilson,08/06/2018,W,5416
40540,Wilson,08/07/2018,W,5507
40540,Wilson,08/08/2018,W,5749
40540,Wilson,08/09/2018,W,6016
40540,Wilson,08/10/2018,W,6072
40540,Wilson,08/11/2018,A,4629
40540,Wilson,08/12/2018,U,3443
40540,Wilson,08/13/2018,W,5458
40540,Wilson,08/14/2018,W,5720
40540,Wilson,08/15/2018,W,5589
40540,Wilson,08/16/2018,W,5689
40540,Wilson,08/17/2018,W,5799
40540,Wilson,08/18/2018,A,4310
40540,Wilson,08/19/2018,U,3425
40540,Wilson,08/20/2018,W,6070
40540,Wilson,08/21/2018,W,6345
40540,Wilson,08/22/2018,W,6317
40540,Wilson,08/23/2018,W,6711
40540,Wilson,08/24/2018,W,5867
40540,Wilson,08/25/2018,A,4686
40540,Wilson,08/26/2018,U,3854
40540,Wilson,08/27/2018,W,7547
40540,Wilson,08/28/2018,W,7474
40540,Wilson,08/29/2018,W,7618
40540,Wilson,08/30/2018,W,7645
40540,Wilson,08/31/2018,W,6351
40540,Wilson,09/01/2018,A,4359
40540,Wilson,09/02/2018,U,3652
40540,Wilson,09/03/2018,U,3068
40540,Wilson,09/04/2018,W,7481
40540,Wilson,09/05/2018,W,7810
40540,Wilson,09/06/2018,W,7643
40540,Wilson,09/07/2018,W,6955
40540,Wilson,09/08/2018,A,4889
40540,Wilson,09/09/2018,U,3365
40540,Wilson,09/10/2018,W,7625
40540,Wilson,09/11/2018,W,7849
40540,Wilson,09/12/2018,W,7921
40540,Wilson,09/13/2018,W,7888
40540,Wilson,09/14/2018,W,7039
40540,Wilson,09/15/2018,A,5137
